"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"FO538757.2",3,3,1,1,1,1,1,2,2,2,1,1,6,4,0,2,4,0,4,2,1,0,0,0,3,90,2
"AP006222.2",17,5,0,0,0,0,0,0,0,2,1,1,4,1,0,1,1,0,2,1,0,0,0,0,3,31,0
"RP4-669L17.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"RP11-206L10.9",0,2,0,0,0,0,1,1,0,1,1,0,3,1,0,0,0,1,1,3,0,1,0,2,2,7,1
"LINC00115",1,1,0,0,2,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,1
"FAM41C",2,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,1,0,2,0,1,0,0,0,0,5,2
"RP11-54O7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-54O7.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"NOC2L",4,4,3,2,5,2,3,8,6,3,6,9,28,12,5,5,7,4,4,13,3,2,2,1,24,204,5
"KLHL17",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0
"PLEKHN1",0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,4,0
"RP11-54O7.17",3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,1
"HES4",64,39,0,5,1,0,1,8,18,29,6,2,32,3,0,7,2,1,53,1,28,0,1,1,31,169,24
"ISG15",124,180,19,9,38,32,4,33,40,40,39,19,231,69,4,53,40,10,96,39,103,1,10,18,155,1215,127
"AGRN",4,5,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,11,0,1,0,0,0,0,29,20
"RP11-54O7.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
"C1orf159",1,2,0,1,0,1,0,1,0,1,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,22,2
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,29,0
"TTLL10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,6,0
"TNFRSF18",7,7,1,0,14,0,4,64,91,30,146,0,108,5,0,14,189,40,1,6,7,1,7,15,173,8,3
"TNFRSF4",7,4,0,1,2,0,1,39,2,14,1,0,82,0,0,29,4,1,0,7,1,0,5,0,275,15,47
"SDF4",50,33,3,5,7,2,0,9,10,16,17,3,73,12,0,9,22,4,10,36,12,0,1,5,40,295,20
"B3GALT6",7,3,0,0,1,0,1,0,0,2,6,1,12,0,0,3,1,1,3,3,0,0,0,0,7,45,2
"FAM132A",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,25,3
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"UBE2J2",15,11,1,1,9,0,2,7,8,3,3,2,30,8,0,8,11,3,10,14,1,1,1,1,12,142,5
"SCNN1D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
"ACAP3",3,4,1,0,1,0,0,1,1,2,0,1,3,1,0,3,0,5,3,2,1,0,0,1,4,22,3
"PUSL1",3,4,1,2,3,3,0,2,2,1,3,1,11,3,0,1,2,1,1,3,0,1,0,2,8,36,1
"CPSF3L",7,7,1,2,5,4,2,5,4,7,4,2,23,3,0,5,9,2,7,11,0,1,2,0,10,122,5
"CPTP",3,1,0,0,0,1,0,2,1,2,1,0,11,1,0,0,0,1,1,7,0,0,0,0,5,49,5
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"DVL1",4,1,0,0,0,0,0,0,1,0,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,84,1
"MXRA8",0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
"AURKAIP1",69,30,6,11,10,6,2,28,14,22,21,9,105,24,6,19,18,8,29,77,13,3,8,5,60,920,28
"CCNL2",6,4,2,3,3,1,3,6,5,5,5,2,16,3,1,2,3,4,2,1,0,2,1,1,6,114,11
"MRPL20",53,19,6,5,4,7,3,21,13,12,11,17,79,9,2,15,21,4,16,63,9,3,3,2,30,617,28
"RP4-758J18.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1
"ANKRD65",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,5
"RP4-758J18.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"VWA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,41,94
"ATAD3C",0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,14,7
"ATAD3B",1,0,2,1,0,1,0,0,2,1,0,1,7,0,1,2,3,0,2,4,0,0,0,1,2,70,3
"ATAD3A",3,4,1,0,1,1,0,2,2,1,1,1,7,3,0,3,0,0,5,7,4,0,0,1,5,106,2
"TMEM240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"SSU72",63,30,7,7,16,10,1,34,15,28,20,9,126,20,4,18,13,15,18,33,6,7,3,6,60,631,31
"RP5-832C2.5",3,0,0,0,0,0,0,2,0,1,1,0,1,1,0,0,1,2,1,1,0,0,0,0,1,8,0
"C1orf233",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
"RP11-345P4.9",1,0,0,1,0,0,0,2,0,1,1,1,4,1,0,2,1,0,0,2,0,0,1,1,0,11,0
"MIB2",3,1,1,0,1,4,0,5,3,0,4,2,17,7,0,2,2,1,3,6,1,1,3,1,8,77,6
"MMP23B",0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,8,0
"CDK11B",5,4,2,0,1,1,3,2,0,5,4,4,16,3,1,5,4,1,4,0,1,0,0,1,5,82,6
"RP11-345P4.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"SLC35E2B",3,6,0,0,1,1,0,3,5,5,1,0,23,1,3,2,0,0,6,1,1,0,0,0,5,94,5
"RP11-345P4.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CDK11A",3,3,1,0,0,1,0,5,7,7,1,4,31,5,0,11,1,2,1,2,3,0,0,0,10,70,7
"SLC35E2",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
"NADK",23,6,1,1,1,1,0,2,0,1,2,0,8,1,1,0,2,1,7,6,3,1,0,1,3,86,4
"GNB1",51,23,1,8,6,1,0,14,11,9,15,8,56,10,3,13,18,1,19,18,7,6,3,6,26,262,34
"RP1-140A9.1",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0
"TMEM52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,24,0
"CFAP74",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2
"GABRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8
"PRKCZ",0,0,1,0,0,0,0,0,2,0,1,0,5,0,2,0,0,0,1,0,0,0,1,3,1,66,3
"RP5-892K4.1",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"FAAP20",45,44,7,4,5,5,5,23,13,19,10,8,58,10,9,9,21,4,26,14,7,0,7,7,26,248,15
"SKI",6,6,0,0,3,1,2,2,8,3,10,4,20,4,0,4,1,3,7,1,1,0,1,0,3,47,14
"MORN1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,7,0
"RER1",47,15,6,5,8,5,1,11,13,21,12,8,51,9,1,10,12,0,18,34,11,4,4,4,22,408,16
"PEX10",3,5,0,1,0,0,0,0,2,1,0,0,2,0,0,0,0,0,2,1,0,0,0,1,1,77,2
"PLCH2",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
"PANK4",1,0,1,0,2,0,1,0,1,0,0,0,3,2,0,1,1,0,1,1,0,1,0,0,0,6,1
"RP3-395M20.12",16,1,1,2,3,1,0,2,1,2,0,0,14,1,1,7,4,3,7,1,2,1,0,0,3,12,1
"RP3-395M20.8",3,2,0,1,2,1,0,1,1,0,2,1,2,2,0,0,0,1,0,2,2,0,0,0,2,20,1
