"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FO538757.2",43,45,6,2,1,0,1,2,1,9,4,5,1,8,4,4,5,7,33,15,147,21
"AP006222.2",39,59,0,0,0,0,0,0,0,1,5,3,0,0,0,1,2,15,5,0,24,11
"RP4-669L17.10",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RP11-206L10.9",3,4,1,0,0,1,0,0,0,1,1,0,0,0,0,0,2,4,5,1,24,0
"FAM87B",0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"LINC00115",2,4,1,0,0,0,0,2,0,2,1,1,0,0,1,0,0,0,2,0,11,5
"FAM41C",16,5,0,1,0,3,1,1,1,2,1,2,0,3,0,1,1,3,6,4,11,1
"RP11-54O7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"RP11-54O7.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",1,42,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,1,0,1,0,0
"NOC2L",27,69,5,4,0,7,2,1,11,28,17,6,1,5,3,5,6,14,16,25,140,30
"KLHL17",1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0
