"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"FO538757.2",18,16,2,2,3,1,0,3,5,5,1,0,14,9,4,4,7,0,1,0,19,0,1,0,18,142,14
"AP006222.2",11,30,0,0,2,0,0,1,3,1,0,1,7,2,2,1,2,0,0,0,29,1,2,0,8,36,20
"RP4-669L17.10",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RP11-206L10.9",0,3,0,0,2,0,0,0,0,2,1,0,3,2,0,0,3,0,0,0,3,0,1,0,2,20,0
"FAM87B",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"LINC00115",2,3,0,0,1,0,0,0,0,3,0,0,4,3,0,1,3,0,0,0,2,0,0,0,0,8,2
"FAM41C",2,2,0,0,1,0,0,1,0,1,2,0,6,7,1,2,1,0,0,1,1,0,1,0,6,19,3
"RP11-54O7.1",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-54O7.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"SAMD11",0,33,0,0,0,0,0,0,19,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1
"NOC2L",15,31,3,3,4,3,6,1,6,11,2,2,35,23,10,7,19,2,1,3,25,6,4,0,47,183,29
"KLHL17",0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,10,2
"PLEKHN1",0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,13,1
"PERM1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"RP11-54O7.17",4,5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,3,6
"HES4",94,198,3,51,13,0,0,12,23,19,9,2,22,61,11,8,47,9,15,27,268,5,80,1,86,394,128
"ISG15",197,448,23,156,69,20,11,19,98,60,28,12,110,253,69,18,71,10,24,7,403,4,267,8,341,523,491
"AGRN",8,47,0,1,1,0,0,1,10,0,0,0,0,0,2,0,1,0,0,0,51,0,0,0,2,92,98
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
"C1orf159",2,6,0,1,1,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,2,0,1,0,3,49,5
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-465B22.8",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,1
"TTLL10-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"TTLL10",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"TNFRSF18",9,10,0,6,78,0,0,0,6,107,4,8,10,137,15,1,21,3,9,4,15,1,3,15,514,25,11
"TNFRSF4",9,12,0,5,26,1,1,1,4,76,1,19,14,98,3,0,61,1,2,14,24,1,3,4,584,58,328
"SDF4",48,192,5,11,9,5,3,19,34,29,2,1,49,60,9,7,26,2,5,7,101,11,14,3,117,499,194
"B3GALT6",6,14,0,1,2,0,0,1,1,6,0,1,1,5,1,1,4,0,1,1,11,0,1,0,8,54,14
"FAM132A",1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,8,19
"RP5-902P8.12",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"UBE2J2",11,43,2,7,8,4,1,1,10,8,0,1,30,19,7,6,8,0,4,1,35,7,1,0,34,244,53
"RP5-902P8.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SCNN1D",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,2,1
"ACAP3",3,18,0,1,2,2,0,2,4,2,0,0,1,7,0,0,2,1,0,0,13,1,3,1,9,35,11
"PUSL1",3,15,0,2,0,2,1,0,3,4,0,0,7,6,3,0,6,0,0,0,12,1,2,2,5,54,9
"CPSF3L",14,40,3,5,5,3,2,1,13,4,1,0,16,11,4,4,5,0,2,0,32,1,2,2,26,145,35
"CPTP",7,14,0,2,0,1,0,1,0,4,0,1,5,9,5,1,5,0,0,2,12,3,0,0,10,114,18
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"DVL1",2,11,0,1,1,0,0,1,2,0,0,0,3,1,0,1,1,0,0,2,5,0,0,0,2,113,16
"MXRA8",0,431,0,0,0,0,0,9,74,2,0,0,5,1,1,0,1,0,0,0,123,0,1,0,0,8,13
"AURKAIP1",80,186,10,16,24,10,11,11,42,24,3,7,89,69,26,9,53,4,21,9,129,23,29,5,130,1219,193
"CCNL2",8,39,4,3,5,1,2,3,10,9,2,1,27,19,5,6,10,0,3,1,22,1,4,1,29,165,42
