"","Anti-inflammatory macro/mono","CAFs","CXCL13+ CD8 Tcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NKT cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,13,0
"FO538757.2",3,3,1,0,0,2,2,1,1,542,1
"AP006222.2",3,1,0,0,0,0,0,0,1,457,2
"RP4-669L17.10",0,0,0,0,0,0,0,0,0,21,0
"RP11-206L10.9",0,0,0,0,0,0,0,0,0,84,0
"LINC00115",0,0,0,0,0,0,0,0,1,57,0
"FAM41C",1,0,0,0,0,0,0,0,0,138,0
"RP11-54O7.1",0,0,0,0,0,0,0,0,0,11,0
"RP11-54O7.2",0,0,0,0,0,0,0,0,0,1,0
"RP11-54O7.3",0,1,0,0,0,0,0,0,0,0,0
"SAMD11",0,3,0,0,0,0,0,0,0,14,0
"NOC2L",3,5,3,3,3,5,0,0,3,2995,3
"KLHL17",0,0,0,1,0,0,0,0,0,106,0
"PLEKHN1",0,0,0,0,0,0,0,0,0,184,0
"PERM1",0,0,0,0,0,0,0,0,0,5,0
"RP11-54O7.17",0,1,0,0,0,0,0,0,0,229,3
"HES4",28,22,0,6,2,0,0,10,5,7384,13
"ISG15",46,46,2,36,16,6,4,29,44,9145,15
"AGRN",1,2,0,2,0,0,0,1,0,2545,2
"RP11-54O7.18",0,0,0,0,0,0,0,0,0,1,0
"RNF223",0,0,0,0,0,0,0,0,0,443,0
"C1orf159",0,0,0,0,0,0,0,0,0,333,1
"LINC01342",0,0,0,0,0,0,0,0,0,6,0
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,502,0
"TTLL10-AS1",0,0,0,0,0,0,0,0,0,1,0
"TTLL10",0,0,0,0,0,0,0,0,0,20,0
"TNFRSF18",1,1,15,27,3,3,3,0,111,77,0
"TNFRSF4",0,1,0,33,0,11,0,0,148,13,13
"SDF4",9,19,1,12,2,4,1,0,10,4428,7
"B3GALT6",3,4,0,4,3,0,0,0,1,441,3
"FAM132A",0,0,0,0,0,0,0,0,1,58,0
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,4,0
"UBE2J2",5,4,0,5,0,1,0,0,1,1685,4
"SCNN1D",0,0,0,0,0,0,0,0,0,9,0
"ACAP3",0,1,1,0,1,0,0,0,2,789,2
"PUSL1",4,2,1,2,1,0,1,0,1,662,0
"CPSF3L",4,2,0,3,4,0,1,1,2,1858,2
"CPTP",1,1,0,1,0,0,0,0,1,465,0
"TAS1R3",0,0,0,0,0,0,0,0,0,29,0
"DVL1",0,2,0,0,0,0,0,1,0,1033,0
"MXRA8",0,32,0,0,0,0,0,0,0,7,0
"AURKAIP1",17,23,1,9,5,6,6,2,15,14906,11
"CCNL2",5,7,2,0,1,3,0,1,2,1598,4
"MRPL20",14,24,2,9,6,6,2,3,17,7165,10
"RP4-758J18.13",0,0,0,0,0,0,0,0,0,77,2
"ANKRD65",0,2,0,0,0,0,0,0,0,2,1
"RP4-758J18.10",0,0,0,0,0,0,0,0,0,12,0
"VWA1",1,1,0,0,0,0,0,0,0,1082,31
"ATAD3C",0,0,0,0,0,0,0,0,0,38,0
"ATAD3B",1,0,0,0,0,0,0,0,0,660,0
"ATAD3A",0,1,0,2,0,0,0,0,1,1477,0
"TMEM240",0,1,0,0,0,0,0,0,0,20,0
"SSU72",16,16,0,22,5,10,1,5,16,7901,7
"RP5-832C2.5",1,0,0,1,0,0,0,0,1,115,0
"C1orf233",0,0,0,0,0,0,0,0,0,35,0
"RP11-345P4.9",1,3,0,0,0,0,0,0,0,193,0
"MIB2",2,2,1,3,1,1,0,0,0,2117,0
"MMP23B",0,6,0,0,0,0,0,0,0,26,0
"CDK11B",1,3,1,0,1,2,1,0,0,756,1
"RP11-345P4.10",0,0,0,0,0,0,0,0,0,1,0
"SLC35E2B",1,3,0,0,0,2,0,0,1,858,2
"RP11-345P4.7",0,0,0,0,0,0,0,0,0,1,0
"CDK11A",3,1,0,2,0,2,1,0,1,413,0
"SLC35E2",0,1,0,0,0,0,0,0,0,47,0
"NADK",2,0,1,0,0,0,0,0,3,1279,5
"GNB1",14,15,0,7,2,4,0,6,3,3964,12
"RP1-140A9.1",0,0,0,0,0,0,0,0,0,5,0
"CALML6",0,0,0,0,0,0,0,0,0,1,0
"TMEM52",0,0,0,0,0,0,0,0,0,162,0
"CFAP74",0,0,0,0,0,0,0,0,0,3,0
"GABRD",0,0,0,0,0,0,0,0,0,0,1
"PRKCZ",2,1,0,0,1,1,0,0,1,733,0
"RP5-892K4.1",0,0,0,0,0,0,0,0,0,12,0
"RP11-181G12.2",0,0,0,0,0,0,0,0,0,9,0
"FAAP20",6,13,2,10,4,5,0,3,3,5840,7
"RP11-181G12.4",0,0,0,0,0,0,0,0,0,1,0
"SKI",3,5,1,1,1,0,0,0,2,427,2
"MORN1",0,0,0,0,0,0,0,0,0,90,0
"RER1",24,10,0,4,6,1,2,7,9,6143,7
"PEX10",2,2,0,0,0,0,0,0,0,681,0
"PLCH2",0,0,0,0,0,0,0,0,0,39,0
"PANK4",0,1,0,0,0,0,0,1,0,111,0
"HES5",0,0,0,0,0,0,0,0,0,1,0
"RP3-395M20.12",1,0,1,3,1,0,0,0,0,206,1
"RP3-395M20.8",0,2,0,1,0,0,0,0,1,116,0
"TNFRSF14",7,2,0,5,2,6,0,1,8,839,6
"RP3-395M20.9",0,0,0,0,0,0,0,0,0,45,0
"FAM213B",5,1,0,1,0,1,0,0,0,1234,5
"MMEL1",0,0,0,0,0,0,0,0,1,89,1
"TTC34",0,0,0,0,0,0,0,0,0,6,0
"LINC00982",0,0,0,0,0,0,0,0,0,45,0
"PRDM16",0,0,0,0,0,0,0,0,0,214,0
"RP1-163G9.2",0,0,0,0,0,0,0,0,0,2,0
"RP11-22L13.1",0,0,0,0,0,0,0,0,0,1,0
"ARHGEF16",0,0,0,0,0,0,0,0,0,1012,0
"RP11-168F9.2",0,0,0,0,0,0,0,0,0,4,0
"MEGF6",0,0,0,0,0,0,0,0,1,687,0
"RP11-46F15.2",0,0,0,0,0,0,0,0,0,3,0
"TPRG1L",2,1,0,1,0,1,0,0,0,926,3
"WRAP73",0,1,1,0,1,0,0,0,2,831,1
"TP73",0,0,0,0,0,0,0,0,0,5,0
"TP73-AS1",0,1,0,0,0,0,0,0,2,0,0
"SMIM1",0,0,0,0,0,0,0,0,1,111,0
"LRRC47",1,3,0,1,0,0,2,0,2,1014,0
"RP1-286D6.5",0,0,0,0,0,0,0,0,0,2,0
"CEP104",0,1,1,1,1,1,0,0,0,676,3
"DFFB",0,0,0,0,0,0,0,0,0,128,0
"C1orf174",2,6,0,2,1,0,0,0,2,813,0
"LINC01134",0,0,0,0,0,0,0,0,0,74,0
"RP13-614K11.2",0,0,0,0,0,0,0,0,0,19,0
"NPHP4",0,0,0,0,0,0,0,0,0,165,0
"KCNAB2",7,0,1,2,0,2,0,0,2,174,0
"CHD5",0,0,0,0,0,0,0,0,0,4,0
"RPL22",128,104,15,102,33,91,6,25,63,84009,82
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,9,0
"RNF207",0,1,0,3,1,1,0,0,2,316,0
"ICMT",0,1,0,1,0,0,2,1,0,1428,0
"LINC00337",0,0,0,0,0,0,0,0,0,6,0
"GPR153",0,1,0,0,0,0,0,1,0,360,0
"ACOT7",1,1,1,0,1,0,1,0,2,1456,5
"RP1-202O8.3",0,0,0,0,0,0,0,0,0,11,0
"HES2",0,0,0,0,0,0,0,0,0,125,0
"ESPN",0,0,0,0,0,0,0,0,0,1146,0
"TNFRSF25",1,0,0,19,5,7,1,0,17,110,2
"PLEKHG5",0,0,0,0,0,0,0,0,0,95,1
"NOL9",1,0,0,0,0,1,0,0,1,471,0
"TAS1R1",0,0,0,0,0,0,0,0,0,12,0
"ZBTB48",1,1,0,2,1,1,0,0,1,201,0
"KLHL21",6,2,0,2,0,0,0,0,1,877,1
"PHF13",0,1,0,0,1,0,0,0,0,315,0
"THAP3",1,2,0,0,0,0,0,0,1,229,0
"DNAJC11",0,1,0,2,0,0,0,0,0,350,0
"RP11-242F24.1",0,0,0,0,0,0,0,0,0,1,0
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,8,0
"CAMTA1",17,19,0,4,0,4,0,5,5,6251,10
"VAMP3",8,4,2,4,0,1,0,5,3,1751,5
"PER3",1,1,0,1,0,0,0,0,0,4,0
"RP3-467L1.4",0,0,0,0,0,0,0,0,0,1,0
"UTS2",0,0,0,0,1,0,0,0,1,3,0
"TNFRSF9",1,0,2,0,0,0,3,0,21,7,2
"PARK7",22,53,15,17,16,12,5,6,36,14343,15
"ERRFI1",34,20,1,0,0,1,1,2,2,7032,2
"RP11-431K24.1",1,0,0,0,0,0,0,0,0,94,0
"SLC45A1",0,0,0,0,0,0,0,0,0,3,0
"RERE",2,4,0,1,0,0,0,0,1,1594,8
"ENO1",76,53,9,43,24,25,3,15,68,25665,18
"ENO1-AS1",0,0,0,0,0,1,0,0,0,31,0
"CA6",0,0,0,0,0,2,0,0,0,1,0
"SLC2A5",3,0,0,0,0,0,0,0,0,0,0
"GPR157",0,0,0,0,0,0,0,0,0,308,0
"MIR34AHG",0,0,0,0,0,0,0,0,0,124,1
"RP3-510D11.2",0,0,0,0,0,0,0,0,0,40,1
"H6PD",3,6,1,0,1,0,0,0,1,445,2
"SPSB1",1,7,0,2,0,0,0,1,1,353,0
"SLC25A33",4,3,3,2,1,2,1,4,1,2298,2
"TMEM201",1,1,0,0,0,0,0,0,0,256,1
"PIK3CD",1,1,0,2,2,0,0,1,1,4,0
"PIK3CD-AS1",0,0,0,0,0,0,1,0,0,0,0
"PIK3CD-AS2",0,1,0,0,0,0,0,0,1,18,0
"CLSTN1",4,5,0,3,2,1,0,0,3,1864,5
"CTNNBIP1",9,2,1,0,0,4,0,0,2,2977,7
"LZIC",5,1,1,3,1,2,0,1,0,862,0
"NMNAT1",1,0,0,1,0,0,0,0,0,247,1
"RBP7",0,0,0,0,0,0,0,0,0,4,2
"UBE4B",0,4,1,2,0,1,0,0,2,1011,0
"KIF1B",4,3,0,0,0,0,0,2,0,932,0
"PGD",7,3,2,3,0,1,1,2,0,3298,0
"RP4-736L20.3",0,0,0,1,0,0,0,0,0,0,0
"APITD1-CORT",0,0,0,0,0,0,0,0,0,8,0
"APITD1",1,1,0,0,1,0,0,0,0,908,0
"CORT",0,0,0,0,0,0,0,0,0,5,0
"DFFA",2,2,0,1,1,1,0,0,2,1559,1
"RP5-1113E3.3",0,0,0,0,0,0,0,0,0,1,0
"PEX14",0,1,0,3,0,2,0,0,0,343,0
"CASZ1",1,0,0,0,1,0,0,0,0,887,0
"RP4-734G22.3",0,0,0,0,0,0,0,0,0,2,0
"C1orf127",0,0,0,0,0,0,0,0,0,4,0
"TARDBP",5,7,0,3,0,1,0,2,1,1764,5
"MASP2",0,0,0,0,0,0,0,0,0,1,0
"RP4-635E18.8",0,0,0,0,0,0,0,0,0,11,1
"SRM",4,10,3,3,2,0,1,0,3,3853,4
"EXOSC10",1,1,1,1,0,0,0,0,0,512,1
"RP4-635E18.7",0,0,0,0,0,0,0,0,0,1,0
"RP4-635E18.6",0,0,0,0,0,0,0,0,0,169,0
"MTOR",2,1,0,0,0,0,1,0,0,486,0
"UBIAD1",2,0,0,0,0,0,1,0,0,531,1
"PTCHD2",0,0,0,0,0,0,0,0,0,5,0
"FBXO2",0,1,0,1,0,0,0,0,0,13,0
"FBXO44",2,0,0,2,1,1,0,0,1,91,0
"FBXO6",4,2,0,0,1,1,0,0,0,202,0
"MAD2L2",2,1,0,5,7,1,0,3,3,1992,1
"DRAXIN",0,0,1,0,0,0,0,0,0,23,0
"AGTRAP",5,8,3,2,1,0,0,2,2,2247,1
"C1orf167",0,3,0,0,0,0,0,0,0,10,0
"MTHFR",2,0,0,0,0,0,0,0,0,409,0
"CLCN6",0,1,0,1,0,0,0,0,0,149,0
"NPPA-AS1",0,0,0,0,0,0,0,0,0,24,0
"NPPA",0,0,0,0,0,0,0,0,0,2,0
"KIAA2013",5,6,0,1,2,0,0,0,0,2604,3
"PLOD1",6,8,0,0,0,0,0,0,0,861,4
"MFN2",1,1,0,0,0,0,0,0,1,834,0
"MIIP",4,0,0,1,1,1,0,0,0,946,1
"TNFRSF8",0,0,0,0,0,0,0,0,2,0,0
"TNFRSF1B",10,0,4,14,7,7,0,6,35,441,3
"VPS13D",1,1,0,1,1,1,0,0,0,334,3
"DHRS3",7,2,0,0,0,0,0,0,0,853,3
"RP11-474O21.5",0,0,0,0,0,0,0,0,0,4,0
"HNRNPCL1",0,0,0,0,0,0,0,0,0,1,0
"HNRNPCL2",0,0,0,0,0,0,0,0,0,1,0
"LRRC38",0,0,0,0,0,0,0,0,0,0,0
"PDPN",7,56,0,0,0,0,0,1,0,1,0
"PRDM2",3,2,1,6,1,5,0,3,11,732,2
"RP11-344F13.1",0,0,0,0,0,0,0,0,0,3,0
"KAZN",0,3,0,0,0,0,0,0,0,201,2
"TMEM51-AS1",0,0,0,0,0,0,0,0,0,50,0
"TMEM51",9,3,0,0,0,0,0,1,0,1090,1
"FHAD1",2,0,0,0,0,0,0,0,0,38,0
"RP3-467K16.2",0,0,0,0,0,0,0,0,0,2,0
"RP3-467K16.4",0,0,0,0,0,0,0,0,0,37,0
"EFHD2",25,6,2,9,6,1,1,7,12,5686,6
"CASP9",0,0,0,2,0,0,0,0,0,200,1
"DNAJC16",1,1,0,0,0,0,0,0,0,305,0
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,25,0
"AGMAT",0,0,0,0,0,0,0,0,1,631,0
"RP4-680D5.2",0,0,0,0,0,0,0,0,0,11,0
"DDI2",0,2,0,0,1,1,0,0,5,762,7
"RP4-680D5.9",0,0,0,0,0,0,0,0,0,2,0
"PLEKHM2",3,4,1,0,0,0,0,1,0,466,2
"SLC25A34",0,0,0,0,0,0,0,0,0,2,0
"TMEM82",0,0,0,0,0,0,0,0,0,3,0
"FBLIM1",0,7,0,1,0,0,0,0,0,919,1
"UQCRHL",1,0,0,0,1,0,0,0,2,1030,1
"FLJ37453",0,1,0,0,0,0,1,0,0,226,0
"SPEN",4,0,0,3,1,4,0,0,1,1008,2
"ZBTB17",1,3,0,1,0,0,0,0,0,303,1
"HSPB7",0,0,0,0,0,0,0,0,0,0,0
"FAM131C",0,0,0,0,0,0,0,0,0,68,0
"EPHA2",2,2,0,3,1,1,1,2,2,6654,3
"RP11-276H7.2",0,0,0,0,0,0,0,0,0,29,0
"RP11-276H7.3",0,0,0,0,0,0,0,0,0,14,0
"ARHGEF19",0,0,0,0,0,0,0,0,0,327,1
"RSG1",0,0,0,1,0,0,0,0,0,53,0
"FBXO42",1,1,0,1,1,0,0,0,1,269,0
"SZRD1",7,5,2,3,3,1,1,0,3,1794,2
"SPATA21",0,0,0,0,0,0,0,0,0,2,0
"NECAP2",4,3,0,7,3,3,1,1,7,1315,4
"RP4-798A10.2",0,0,0,0,0,0,0,0,0,17,0
"RP4-798A10.7",0,0,0,0,0,0,0,0,0,48,0
"NBPF1",0,0,0,0,0,1,0,0,1,265,0
"CROCC",1,1,1,0,0,1,0,0,0,225,1
"RP11-108M9.4",2,1,0,0,0,0,0,0,0,201,3
"RP11-108M9.6",0,0,0,1,0,0,0,0,0,17,0
"MFAP2",0,19,0,0,0,0,0,0,0,25,1
"ATP13A2",1,1,0,1,0,1,0,0,1,1647,4
"SDHB",15,2,0,5,2,3,1,1,4,5102,2
"PADI2",0,0,0,0,0,0,0,0,0,800,0
"RP11-380J14.4",0,0,0,0,0,0,0,0,0,4,0
"PADI1",0,0,0,0,0,0,0,0,0,31,0
