"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0
"FO538757.2",21,24,0,1,1,0,2,0,0,0,0,1,24,9,4,208,18
"AP006222.2",23,20,0,0,3,0,0,1,0,0,0,0,43,8,1,80,20
"RP4-669L17.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"RP11-206L10.9",1,4,0,0,0,0,1,0,0,0,0,0,0,2,0,23,0
"FAM87B",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"LINC00115",1,2,0,1,0,0,2,0,0,0,0,0,2,2,1,13,4
"FAM41C",5,3,1,0,0,0,1,0,1,0,0,0,6,1,0,27,2
"RP11-54O7.2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"NOC2L",17,36,1,5,3,1,10,1,4,1,1,3,20,13,8,269,32
"KLHL17",0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,11,2
"PLEKHN1",3,2,0,0,0,0,2,0,0,0,0,0,0,1,0,66,1
"PERM1",1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"RP11-54O7.17",3,4,0,0,0,0,0,0,0,0,0,0,9,2,0,12,2
"HES4",36,109,0,3,1,0,2,0,0,1,0,17,171,32,3,268,58
"ISG15",326,236,5,23,23,1,32,5,7,5,3,8,242,279,43,1022,136
"AGRN",12,31,0,0,1,0,1,0,0,0,0,0,74,7,3,616,86
"RP11-54O7.18",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,67,0
"C1orf159",5,6,0,0,1,0,1,0,1,0,0,0,2,1,1,62,6
"RP11-465B22.8",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,37,1
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"TNFRSF18",10,3,1,5,62,0,49,16,7,5,0,1,3,11,161,24,4
"TNFRSF4",9,1,0,3,0,0,46,1,18,1,1,18,3,12,135,25,139
"SDF4",71,155,0,2,7,1,18,2,4,4,1,9,138,32,19,826,141
"B3GALT6",8,18,0,2,0,0,3,0,1,0,0,0,7,4,1,62,14
"FAM132A",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,25,7
"UBE2J2",16,34,0,3,6,0,13,1,3,0,0,3,33,8,6,203,44
"RP5-902P8.10",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SCNN1D",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"ACAP3",9,26,1,1,1,2,2,0,1,1,0,2,21,1,2,91,15
"PUSL1",7,25,0,1,1,0,4,0,0,0,0,1,13,1,1,133,12
"CPSF3L",14,22,2,2,0,2,8,0,3,1,0,5,37,13,4,255,28
"CPTP",7,12,2,0,3,0,1,1,2,0,0,0,11,1,4,121,19
"DVL1",6,7,0,0,0,0,1,0,0,1,0,0,3,1,0,141,9
"MXRA8",1,380,1,0,0,0,0,0,0,0,0,0,127,1,0,15,4
"AURKAIP1",156,232,3,7,13,2,18,5,7,4,1,9,166,70,31,2153,181
"CCNL2",19,50,3,1,4,0,9,1,5,0,1,1,43,8,5,222,51
"MRPL20",110,150,1,5,11,0,22,3,12,2,1,5,149,49,25,1148,120
"RP4-758J18.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
"ANKRD65",0,11,1,0,0,0,0,0,0,0,0,0,1,0,0,1,12
"RP4-758J18.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"VWA1",6,31,1,0,0,0,0,0,1,0,0,1,19,2,0,273,415
"ATAD3C",2,1,0,0,1,0,2,0,0,0,0,1,0,0,1,6,4
"ATAD3B",8,6,2,0,0,0,1,0,1,0,0,0,9,2,1,138,8
"ATAD3A",6,28,0,1,1,1,1,0,3,0,0,2,19,9,1,181,23
"TMEM240",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"SSU72",88,182,3,8,7,4,24,4,11,3,3,9,128,50,23,999,113
"RP5-832C2.5",2,0,0,0,0,1,2,1,1,0,0,1,0,1,0,28,0
"C1orf233",5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0
"RP11-345P4.9",2,4,1,0,1,0,0,0,1,0,0,0,3,1,0,26,3
"MIB2",3,14,2,0,4,1,7,0,2,1,1,1,17,3,4,258,12
"MMP23B",0,56,1,0,0,0,0,0,0,0,0,0,16,0,0,7,0
"CDK11B",7,16,1,0,1,1,6,0,0,1,0,2,9,4,4,171,19
"RP11-345P4.10",1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,0
"SLC35E2B",12,13,1,0,1,0,2,0,2,1,0,0,14,2,3,77,18
"RP11-345P4.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CDK11A",6,4,0,0,0,2,1,1,1,2,0,2,6,3,5,76,12
"SLC35E2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"NADK",26,8,0,2,2,1,1,2,2,0,0,4,19,12,3,189,20
"GNB1",89,126,0,4,4,1,6,1,4,1,1,7,88,49,8,746,163
