"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Double-Negative Tcells","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NKT cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"FO538757.2",3,0,2,1,0,0,0,0,1,2,0,0,0,0,0,1,756
"AP006222.2",5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,233
"RP4-669L17.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-206L10.9",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,84
"LINC00115",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,57
"FAM41C",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88
"RP11-54O7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"SAMD11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"NOC2L",2,1,2,0,0,1,0,0,5,5,1,0,1,2,2,7,1990
"KLHL17",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59
"PLEKHN1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,130
"PERM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"RP11-54O7.17",2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,286
"HES4",86,1,42,0,3,2,5,8,3,20,3,1,6,1,59,19,2747
"ISG15",52,9,17,7,3,8,8,8,10,68,26,1,17,2,69,52,1883
"AGRN",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,589
"RP11-54O7.18",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333
"C1orf159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"RP11-465B22.8",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,295
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
