"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NKT cells","Normal Epithelial cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FO538757.2",0,2,1,5,2,1,0,0,2,0,4,17,1,6,4,0,0,9,2,3,99,0
"AP006222.2",0,3,1,1,1,1,1,0,1,0,3,2,0,0,4,0,0,0,0,1,37,1
"RP4-669L17.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"RP11-206L10.9",0,0,0,1,0,0,0,1,1,0,3,1,0,2,3,0,0,0,0,0,7,0
"LINC00115",0,1,0,1,0,0,0,0,0,0,3,5,2,4,1,0,0,0,0,1,22,0
"FAM41C",1,0,0,0,0,1,0,0,0,0,0,2,1,1,3,0,1,0,0,2,21,0
"RP11-54O7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"SAMD11",0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
"NOC2L",0,3,3,3,2,2,3,2,5,1,22,30,8,16,27,1,0,4,0,14,291,1
"KLHL17",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0
"PLEKHN1",0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,34,0
"RP11-54O7.17",0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,6,3
"HES4",8,30,1,4,1,0,3,0,13,4,7,38,1,5,31,1,0,2,14,13,132,4
"ISG15",10,86,29,11,35,2,9,20,34,8,34,218,33,42,135,4,6,7,67,91,281,15
"AGRN",1,3,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,4,1,0,77,0
"RNF223",0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,88,0
"C1orf159",1,1,1,0,1,0,0,0,0,0,3,1,0,1,2,0,0,2,0,1,21,0
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,49,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0
"TNFRSF18",0,1,2,1,0,0,0,0,18,4,1,84,1,0,44,0,2,0,1,87,4,0
"TNFRSF4",0,4,1,0,1,1,3,1,22,2,1,172,0,2,141,0,0,1,1,167,20,3
"SDF4",7,28,2,16,4,1,9,3,16,3,16,74,13,8,63,2,3,12,3,35,461,3
"B3GALT6",0,6,2,2,0,0,1,0,2,2,2,14,3,0,6,1,0,0,0,6,46,1
"FAM132A",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0
"UBE2J2",2,5,1,5,2,2,1,0,3,1,13,15,7,4,10,0,0,2,0,8,150,1
"SCNN1D",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
"ACAP3",0,6,0,2,0,0,2,0,2,0,4,5,3,2,8,0,0,2,0,3,46,1
"PUSL1",2,2,0,0,0,0,1,0,4,1,2,12,5,4,7,0,0,0,0,4,55,0
"CPSF3L",1,5,1,4,6,3,5,1,4,0,9,14,5,5,20,1,0,4,0,11,204,4
"CPTP",0,2,0,0,2,0,0,0,1,0,3,4,1,2,5,0,0,3,0,2,76,0
"TAS1R3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0
"DVL1",0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,3,0,1,58,1
"MXRA8",0,67,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AURKAIP1",5,21,3,16,10,2,7,3,15,1,33,57,21,23,63,1,3,37,3,23,1014,3
"CCNL2",1,5,2,4,1,3,4,1,7,0,20,32,5,16,30,1,2,14,0,10,154,2
"MRPL20",5,14,3,13,8,1,8,2,10,0,32,53,10,17,54,6,3,6,1,30,711,3
"RP4-758J18.13",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0
"ANKRD65",0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP4-758J18.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0
"VWA1",0,8,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,3,0,0,81,5
"ATAD3C",0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,1,0,1,7,0
"ATAD3B",1,0,1,0,0,0,0,0,1,0,2,4,0,3,12,0,1,2,0,3,65,0
"ATAD3A",0,3,2,2,1,0,1,0,0,0,4,5,2,3,9,0,0,4,1,0,91,0
"TMEM240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SSU72",5,17,7,11,16,8,9,6,10,2,44,96,10,34,97,4,6,15,1,28,812,2
"RP5-832C2.5",0,0,1,0,1,0,0,0,2,0,2,7,1,2,7,0,0,3,0,1,12,0
"C1orf233",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0
"RP11-345P4.9",0,0,0,0,0,0,1,0,0,0,1,1,0,3,3,0,0,2,0,1,15,0
"MIB2",1,3,6,3,1,2,2,0,2,1,10,15,8,4,14,2,0,5,0,5,175,3
"MMP23B",0,3,1,0,0,1,3,0,1,0,0,1,1,1,2,0,0,0,0,0,12,0
"CDK11B",0,2,3,3,6,2,1,1,7,1,16,28,3,19,33,1,0,8,1,10,126,1
"SLC35E2B",1,4,1,0,0,0,2,2,2,0,11,18,3,6,18,1,1,1,0,2,80,1
"RP11-345P4.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
