"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","gdTcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"FO538757.2",22,61,0,3,1,1,0,0,3,1,1,1,0,2,0,2,0,10,5,2,284,7
"AP006222.2",18,119,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,29,3,0,95,9
"RP4-669L17.10",0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0
"RP11-206L10.9",2,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,27,1
"FAM87B",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00115",5,7,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,1,2,0,14,1
"FAM41C",4,8,0,2,0,0,0,0,2,0,0,1,0,0,0,1,1,3,4,2,56,0
"RP11-54O7.3",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"NOC2L",16,105,0,8,1,5,3,6,7,1,4,1,0,8,1,0,2,18,6,11,695,11
"KLHL17",2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,23,1
"PLEKHN1",1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,180,0
"RP11-54O7.17",4,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,23,1
"HES4",45,392,0,17,0,1,3,1,0,6,0,1,0,5,0,0,31,142,18,8,671,54
"ISG15",409,818,5,94,8,3,7,16,8,23,11,2,3,25,12,9,9,135,218,77,673,76
"AGRN",9,89,0,3,0,0,1,0,1,0,2,1,0,1,0,0,0,33,4,0,733,29
"RP11-54O7.18",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNF223",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0
"C1orf159",4,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,114,1
