"","Anti-inflammatory macro/mono","CXCL13+ CD8 Tcells","Double-Negative Tcells","gdTcells","IL17+ CD4 Tcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells"
"RP11-34P13.7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"FO538757.2",7,3,0,0,4,0,2,12,3,0,1,2,0,1,5,1163
"AP006222.2",21,0,0,0,1,0,1,6,0,0,0,1,0,0,6,289
"RP4-669L17.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"RP11-206L10.9",0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,117
"FAM87B",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"LINC00115",0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,68
"FAM41C",4,0,0,0,1,0,3,0,0,0,0,0,0,1,2,152
"RP11-54O7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"SAMD11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"NOC2L",7,7,1,2,5,1,5,39,10,3,5,1,2,1,14,2588
"KLHL17",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,44
"PLEKHN1",1,0,0,1,0,0,0,1,1,0,0,0,0,0,3,75
"PERM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-54O7.17",3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,78
"HES4",222,10,1,1,31,8,5,173,16,1,13,15,1,21,60,3017
"ISG15",190,42,2,9,66,11,12,409,91,6,15,25,17,17,152,3706
"AGRN",2,0,0,0,0,0,1,1,0,0,1,1,0,0,1,427
"RP11-54O7.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RNF223",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,285
"C1orf159",2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,165
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"RP11-465B22.8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15
"TNFRSF18",3,47,0,36,22,38,0,132,10,0,2,83,9,4,217,44
"TNFRSF4",1,0,0,0,26,0,0,120,1,0,37,0,0,1,335,37
"SDF4",56,15,2,1,9,2,9,122,17,2,4,6,3,6,42,3186
"B3GALT6",3,1,0,0,1,0,0,10,2,0,2,0,0,0,10,257
"FAM132A",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,42
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"UBE2J2",10,3,2,0,5,2,2,50,5,0,2,4,1,3,14,1105
"SCNN1D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"ACAP3",3,2,1,0,0,0,2,11,1,0,1,0,0,0,5,374
"PUSL1",3,4,1,0,2,0,1,13,4,0,2,0,0,0,7,466
"CPSF3L",12,1,0,1,1,2,3,31,5,1,2,1,0,1,9,1295
"CPTP",0,3,0,0,1,0,0,5,2,0,1,0,0,0,4,547
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"DVL1",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,527
"MXRA8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"AURKAIP1",58,12,4,2,12,7,9,119,29,4,11,13,2,6,49,8317
"CCNL2",6,6,0,3,3,1,1,22,4,4,4,0,0,1,12,1534
"MRPL20",23,11,3,1,11,3,5,94,20,1,10,8,1,3,37,5423
"RP4-758J18.13",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22
"ANKRD65",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"RP4-758J18.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"VWA1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808
"ATAD3C",0,0,0,1,2,0,0,6,0,0,0,0,0,0,0,669
"ATAD3B",1,2,0,0,2,0,1,9,2,1,0,1,0,0,5,779
"ATAD3A",5,2,0,1,1,1,0,11,1,1,1,2,0,0,2,1289
"TMEM240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SSU72",33,9,0,2,13,5,15,86,17,1,13,6,1,3,35,4011
"RP5-832C2.5",0,0,0,0,0,0,0,9,1,2,0,0,0,0,2,111
"AL645728.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"C1orf233",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"RP11-345P4.9",0,0,0,0,1,0,0,3,1,1,0,0,0,0,1,71
"MIB2",5,2,0,2,2,1,0,22,4,1,1,4,0,0,3,936
"MMP23B",0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,36
"CDK11B",6,0,0,1,1,0,4,23,5,2,1,1,0,0,9,929
"RP11-345P4.10",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16
"SLC35E2B",2,1,0,1,1,0,3,8,2,1,0,1,1,0,3,552
"CDK11A",12,2,0,0,4,0,4,35,7,3,9,1,0,1,14,764
"SLC35E2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31
"NADK",23,1,0,0,2,1,1,18,1,3,1,1,0,1,3,619
"GNB1",50,6,1,3,2,1,5,57,15,3,6,3,2,6,18,2072
"RP1-140A9.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16
"CALML6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TMEM52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223
"CFAP74",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
"RP11-547D24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"RP11-547D24.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PRKCZ",1,2,0,0,1,0,3,9,1,0,1,1,1,0,6,689
