"","Anti-inflammatory macro/mono","CD8aa IELs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","IL17+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"FO538757.2",9,0,4,0,8,2,7,0,1,3,3,1,5,756,1
"AP006222.2",8,0,1,0,1,1,1,0,1,2,0,0,0,579,0
"RP4-669L17.10",0,0,0,0,0,0,0,0,0,0,0,1,0,14,0
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"RP11-206L10.9",1,0,0,0,0,0,0,0,0,0,0,0,0,44,0
"LINC00115",0,0,0,0,0,0,1,0,0,0,0,0,1,111,0
"FAM41C",1,0,1,0,1,0,2,1,0,0,0,0,0,127,1
"RP11-54O7.1",0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
"SAMD11",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"NOC2L",5,1,6,2,6,0,5,2,7,4,2,1,8,2038,2
"KLHL17",0,0,0,1,0,0,0,0,0,0,0,0,1,52,0
"PLEKHN1",0,0,0,0,0,0,1,0,0,0,0,0,3,92,0
"RP11-54O7.17",5,0,0,0,0,0,1,0,0,0,0,0,2,334,0
"HES4",51,0,1,1,8,2,19,0,4,2,0,20,12,3504,24
"ISG15",177,5,34,34,48,3,195,21,23,1,3,140,65,6458,27
"AGRN",4,0,0,0,0,0,0,0,1,0,0,2,3,984,9
"RP11-54O7.18",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,199,0
"C1orf159",1,0,0,0,2,1,0,0,0,0,0,0,1,239,0
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"RP11-465B22.8",1,0,0,0,1,0,1,0,0,0,0,0,0,570,1
"TTLL10-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
"TNFRSF18",1,0,56,0,54,0,81,8,5,0,0,1,179,26,0
"TNFRSF4",1,0,3,0,26,1,35,4,18,0,0,2,261,50,9
"SDF4",32,4,16,3,11,3,36,5,10,1,1,7,36,3916,8
"B3GALT6",3,0,0,0,2,0,6,0,1,0,0,1,1,368,4
"FAM132A",0,0,0,0,0,0,0,0,0,0,0,0,0,58,5
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"UBE2J2",17,0,5,0,6,0,11,7,2,0,2,0,7,1355,1
"RP5-902P8.10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SCNN1D",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"ACAP3",3,0,0,0,1,0,3,0,1,0,1,2,2,579,2
"PUSL1",3,0,2,0,1,0,8,1,0,0,1,1,3,771,0
"CPSF3L",7,1,3,0,6,0,11,4,2,0,1,5,5,1547,0
"CPTP",6,0,2,0,1,0,0,0,0,0,0,0,0,766,1
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
"DVL1",3,0,0,0,0,0,0,0,1,0,0,0,2,951,4
"MXRA8",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AURKAIP1",59,0,13,6,27,3,46,11,11,3,2,14,25,12543,17
"CCNL2",6,1,7,0,2,1,10,5,3,1,1,1,4,1188,4
"MRPL20",52,0,14,2,15,3,42,8,10,4,2,12,29,8297,17
"RP4-758J18.13",0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"ANKRD65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP4-758J18.10",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"VWA1",1,0,1,0,0,0,0,0,0,0,0,0,0,212,27
"ATAD3C",0,0,0,0,0,0,0,0,0,0,0,0,0,129,0
"ATAD3B",1,0,1,0,0,2,2,0,1,0,0,2,2,771,0
"ATAD3A",5,1,1,0,2,0,3,0,1,0,2,0,0,1515,2
"TMEM240",0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
"SSU72",40,6,20,1,29,11,45,4,12,1,2,10,26,5759,17
"RP5-832C2.5",0,0,0,0,0,2,1,0,0,0,0,0,0,86,0
"C1orf233",2,0,0,0,0,0,1,0,0,0,0,0,0,128,0
"RP11-345P4.9",1,0,1,0,3,0,1,0,0,0,0,1,3,132,0
"MIB2",1,0,5,2,6,0,13,3,1,3,1,2,8,1152,1
"MMP23B",0,0,0,0,0,0,0,0,0,1,0,0,0,14,0
"CDK11B",6,0,1,1,0,0,7,1,2,1,1,0,11,913,0
"RP11-345P4.10",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"SLC35E2B",0,0,3,0,3,0,1,2,3,1,1,0,2,532,2
"RP11-345P4.7",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CDK11A",3,0,1,0,4,2,12,0,3,0,1,1,4,600,2
"SLC35E2",0,0,0,0,0,0,0,0,0,0,0,0,1,35,0
"NADK",11,0,1,0,3,1,3,0,1,1,0,2,4,930,0
"GNB1",36,3,3,4,14,1,18,2,7,0,0,7,11,2988,12
"RP1-140A9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
"CALML6",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TMEM52",1,0,0,0,0,0,0,0,0,0,0,0,0,164,0
"CFAP74",0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
"GABRD",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PRKCZ",1,0,0,1,1,2,1,1,0,0,0,0,2,827,0
"RP5-892K4.1",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"RP11-181G12.2",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"FAAP20",29,1,13,6,15,7,28,7,3,0,2,8,22,2611,12
"SKI",7,0,1,2,4,1,2,2,2,0,0,3,5,381,8
"MORN1",1,0,0,0,0,0,1,0,0,0,0,0,0,108,0
"RER1",31,0,11,1,18,3,24,4,3,2,1,10,16,4200,5
"PEX10",4,0,1,0,3,2,1,0,0,0,0,2,0,877,2
"PLCH2",0,0,2,0,0,0,1,0,0,0,0,0,0,14,0
"PANK4",3,0,1,0,0,0,1,0,0,0,0,1,1,118,0
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
"RP3-395M20.12",7,0,1,0,1,0,6,2,2,2,2,6,5,629,0
"RP3-395M20.8",4,0,1,0,0,1,2,1,0,1,0,1,4,331,1
"TNFRSF14",36,3,11,3,17,4,37,8,10,0,1,2,20,1495,4
"RP3-395M20.9",0,1,0,0,0,0,0,0,0,0,0,0,1,65,0
"FAM213B",10,0,1,0,2,1,1,0,0,0,0,0,4,1351,1
"MMEL1",0,0,0,0,0,0,0,0,0,0,0,0,0,128,1
"RP13-436F16.1",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"TTC34",0,0,0,0,0,0,1,0,1,0,0,0,0,5,0
"LINC00982",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"PRDM16",0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
"RP11-22L13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"ARHGEF16",1,0,0,0,0,0,0,0,0,0,0,0,0,658,0
"RP11-168F9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"MEGF6",0,0,0,0,0,0,0,0,0,0,0,0,0,69,0
"RP11-46F15.2",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"TPRG1L",1,0,1,2,0,0,1,2,0,0,0,0,1,907,2
"WRAP73",1,0,5,0,1,0,9,2,2,0,0,0,4,496,2
"TP73",0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"TP73-AS1",1,0,0,0,0,0,1,0,1,0,0,0,1,2,0
"SMIM1",1,0,1,0,0,0,0,0,0,0,0,0,1,5,0
"LRRC47",5,2,2,0,1,0,5,2,2,0,0,1,3,1090,1
"CEP104",5,0,0,2,1,0,2,0,0,0,0,0,2,390,0
"DFFB",1,0,0,0,0,0,0,0,0,0,0,0,0,159,0
"C1orf174",3,1,3,0,2,0,4,3,0,0,0,1,3,725,1
"LINC01134",0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
"RP13-614K11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"AJAP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NPHP4",0,1,0,0,1,0,1,0,0,0,0,0,0,85,0
"KCNAB2",11,1,1,1,10,1,18,1,3,0,2,1,7,68,0
"CHD5",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"RPL22",274,14,115,30,188,81,398,55,190,14,20,131,243,62729,89
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
"RNF207",0,0,0,0,1,0,1,1,0,0,0,0,2,101,1
"ICMT",6,0,4,0,4,0,4,0,0,1,0,1,6,878,3
