"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FO538757.2",21,5,0,2,0,3,2,1,1,0,0,0,19,0,0,8,0,1,0,1,8,9,178,6
"AP006222.2",27,7,0,0,0,0,0,0,0,0,2,0,4,0,0,2,0,0,1,2,2,1,43,1
"RP4-669L17.10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"RP11-206L10.9",5,0,0,0,1,1,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,11,0
"LINC00115",1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0
"FAM41C",7,0,0,1,0,0,0,0,1,1,0,1,3,0,0,1,0,0,0,0,1,2,6,0
"RP11-54O7.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NOC2L",16,6,1,5,5,3,2,2,0,0,4,2,31,2,2,8,6,3,3,6,13,18,200,1
"KLHL17",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4,1
"PLEKHN1",2,1,0,0,0,0,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,1,8,0
"RP11-54O7.17",16,2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,6,1
"HES4",303,68,2,46,0,6,1,0,0,5,4,5,88,7,0,21,18,3,46,3,169,67,64,25
"ISG15",798,252,33,79,9,168,29,67,11,42,52,20,681,79,13,146,33,12,75,390,954,452,1660,126
"AGRN",17,9,0,5,0,2,0,0,1,1,0,0,2,1,0,0,2,0,0,0,8,1,55,15
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0
"C1orf159",11,2,0,2,0,0,0,0,0,0,1,0,2,0,0,2,1,0,1,1,0,0,43,1
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-465B22.8",3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,33,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0
"TNFRSF18",27,12,2,3,1,1,3,19,22,9,23,0,117,6,0,38,20,11,2,6,5,223,20,3
"TNFRSF4",35,11,0,4,0,0,0,26,1,17,68,0,321,1,1,135,3,0,11,7,16,563,54,30
"SDF4",119,27,9,9,1,3,1,6,2,6,5,1,82,8,0,24,7,3,7,13,43,58,289,29
