"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"FO538757.2",14,8,4,2,2,2,2,5,6,3,3,4,1,0,0,4,4,1,3,21,18,127,7
"AP006222.2",23,10,1,1,2,0,1,1,1,1,2,1,2,0,0,1,0,1,3,7,5,71,8
"RP4-669L17.10",1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,4,0
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-206L10.9",3,3,0,1,0,0,0,1,1,0,1,1,0,2,0,1,0,0,0,1,3,14,0
"LINC00115",1,1,0,0,0,0,0,0,2,0,2,2,2,0,0,0,1,0,0,5,3,14,0
"FAM41C",3,3,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,1,4,3,28,1
"RP11-54O7.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NOC2L",16,11,3,3,3,3,4,10,8,13,9,8,4,10,1,3,4,2,3,19,25,268,2
"KLHL17",1,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,4,1,9,2
"PLEKHN1",1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,2,4,15,0
"PERM1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
"RP11-54O7.17",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
"HES4",120,31,5,31,3,4,0,5,12,4,7,15,12,20,1,7,12,39,38,299,26,77,30
"ISG15",1230,274,44,83,125,138,41,138,174,51,204,225,44,112,2,64,91,109,85,2381,489,1546,112
"AGRN",12,17,0,2,0,1,0,2,5,0,2,1,1,0,0,0,1,0,15,12,1,105,21
"RP11-54O7.18",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"RNF223",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0
"C1orf159",6,2,0,0,0,0,0,1,0,0,2,0,1,0,0,1,2,0,1,1,0,47,2
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,33,1
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,1
"TNFRSF18",12,10,2,4,35,4,4,93,59,4,26,18,4,15,0,47,14,1,0,39,466,42,2
"TNFRSF4",19,6,1,3,6,0,2,113,9,2,54,0,4,49,1,5,10,3,2,57,583,59,90
"SDF4",118,76,4,12,10,12,3,33,18,10,19,16,8,15,1,10,8,10,15,88,82,589,49
"B3GALT6",10,7,1,4,2,1,0,1,2,4,2,0,1,3,0,4,0,0,0,10,10,44,5
"FAM132A",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"UBE2J2",36,11,1,2,6,4,1,8,6,5,6,8,8,8,0,5,2,2,2,19,36,211,18
"RP5-902P8.10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCNN1D",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0
"ACAP3",12,9,2,0,1,0,0,1,7,2,1,6,0,0,0,2,2,0,4,3,4,25,6
"PUSL1",6,4,1,0,2,0,1,0,2,2,3,1,0,1,2,3,2,1,1,11,5,98,4
"CPSF3L",22,15,1,1,6,3,1,5,6,6,8,5,3,2,0,0,3,4,8,18,20,222,8
"CPTP",6,5,0,0,0,0,0,1,0,1,2,1,1,0,0,1,1,0,0,5,4,72,9
"DVL1",9,1,0,1,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,2,2,82,1
"MXRA8",0,143,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,4,0
"AURKAIP1",136,59,10,16,9,19,6,25,33,25,29,33,14,28,3,24,10,9,17,112,94,1123,61
"CCNL2",12,10,4,0,8,6,4,12,10,10,3,3,1,6,0,4,1,3,2,12,9,181,14
"MRPL20",103,55,11,14,9,11,7,29,31,24,25,30,9,22,4,10,7,11,11,78,82,772,49
"RP4-758J18.13",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0
"ANKRD65",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17
"VWA1",0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,3,0,0,40,155
"ATAD3C",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,3,0
"ATAD3B",7,3,2,1,2,1,2,1,6,7,3,5,1,0,0,2,1,1,2,12,8,127,4
"ATAD3A",13,8,0,1,1,0,1,2,1,2,1,3,0,2,0,3,0,1,2,7,4,160,7
"TMEM240",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SSU72",108,50,19,11,16,13,7,21,23,29,30,28,23,36,6,16,7,12,11,83,82,614,42
"RP5-832C2.5",0,0,1,0,0,0,1,0,3,4,1,6,2,6,0,0,0,0,0,3,3,15,1
"C1orf233",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"RP11-345P4.9",4,0,1,0,0,0,1,0,0,2,0,2,0,4,0,1,0,1,0,8,3,23,1
"MIB2",8,10,4,2,3,5,1,6,8,3,7,10,0,6,0,2,2,0,1,9,18,186,6
"MMP23B",0,30,1,0,0,2,0,1,1,0,0,2,0,0,0,0,2,0,0,1,1,10,0
"CDK11B",13,10,5,4,6,7,2,13,11,20,10,11,9,13,1,5,7,3,3,19,19,258,9
