"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FO538757.2",5,3,2,0,3,2,1,3,3,2,7,8,4,6,9,2,1,0,2,0,12,94,3
"AP006222.2",4,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,3,0,1,0,0,63,3
"RP4-669L17.10",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-206L10.9",1,1,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,1,1,0,2,21,0
"LINC00115",0,0,0,0,1,0,0,1,0,0,4,1,0,1,2,1,0,0,0,0,1,12,0
"FAM41C",1,1,1,0,0,0,0,0,0,0,3,2,1,1,1,0,0,0,0,0,0,15,0
"SAMD11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"NOC2L",5,5,4,1,2,4,1,4,2,2,18,21,5,5,11,1,2,1,2,2,8,203,1
"KLHL17",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,5,0
"PLEKHN1",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,7,1
"PERM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.17",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2
"HES4",113,4,39,0,0,0,2,4,2,3,6,57,3,7,18,7,3,0,36,1,26,92,18
"ISG15",88,29,26,12,44,17,13,59,25,11,34,280,45,21,91,12,18,3,53,21,144,452,27
"AGRN",1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,71,7
"RP11-54O7.18",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"C1orf159",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,24,1
"RP11-465B22.8",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
"TNFRSF18",5,4,0,5,2,3,4,39,4,19,3,73,12,1,18,13,8,4,1,9,194,15,0
"TNFRSF4",9,1,2,0,0,0,0,19,7,6,2,118,2,1,87,4,0,5,1,5,324,28,9
"SDF4",15,7,4,0,1,4,4,19,7,6,11,63,5,4,36,3,2,14,4,0,32,403,14
"B3GALT6",3,0,0,0,0,0,0,0,0,0,1,7,1,1,1,0,2,1,0,0,3,24,2
"FAM132A",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,119,0
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"UBE2J2",7,0,1,0,2,2,1,1,2,2,8,30,6,4,8,4,0,3,3,2,8,146,5
"SCNN1D",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ACAP3",0,0,3,0,0,0,0,1,0,0,2,9,4,0,4,0,0,2,1,1,4,34,1
"PUSL1",0,4,1,0,0,1,1,0,1,0,3,8,2,0,3,1,1,1,1,0,4,64,2
"CPSF3L",4,1,2,1,1,3,1,2,0,0,4,15,3,3,5,1,3,6,6,0,3,141,9
"CPTP",2,1,0,0,1,0,1,2,0,1,0,1,1,0,3,2,0,1,0,0,1,42,2
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
"DVL1",0,1,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,1,56,2
"MXRA8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AURKAIP1",25,16,13,1,7,10,1,18,5,5,38,85,13,10,38,6,11,28,16,10,37,1047,30
"CCNL2",1,2,2,2,1,3,1,3,2,0,7,10,5,5,9,3,2,4,0,1,10,124,8
