"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"RP11-34P13.7",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"FO538757.2",30,92,1,0,1,12,1,0,4,0,10,1,3,1,1,0,0,17,2,3,3,7,316,28,5
"AP006222.2",53,144,1,0,2,19,0,1,2,1,3,2,4,0,1,0,1,26,0,6,1,6,126,22,14
"RP4-669L17.10",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,1
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-206L10.9",3,11,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,4,0,0,0,1,20,2,4
"FAM87B",0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00115",9,8,0,0,0,1,0,1,1,0,2,0,0,0,3,0,0,1,0,0,0,1,25,4,0
"FAM41C",5,11,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,6,0,0,0,2,14,1,3
"RP11-54O7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP11-54O7.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",1,49,0,0,0,30,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,3,0,0
"NOC2L",29,131,0,2,2,13,0,0,3,1,8,0,3,2,2,2,1,10,0,8,1,16,451,43,5
"KLHL17",1,7,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,24,2,0
"PLEKHN1",8,12,1,0,0,1,0,1,0,0,5,0,1,0,1,0,0,0,0,0,0,10,123,2,0
"PERM1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.17",1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,7,1,2
"HES4",5,80,0,0,0,14,0,1,2,1,0,0,1,0,0,0,0,50,0,3,1,2,143,23,25
"ISG15",950,1464,2,4,23,92,7,17,24,12,83,9,2,10,19,4,46,159,8,152,18,150,8510,349,51
"AGRN",36,133,0,0,1,9,0,1,7,0,1,0,0,0,0,0,1,34,0,6,1,2,192,80,1
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0
"C1orf159",7,26,0,0,0,2,0,0,0,0,3,1,1,0,0,0,0,2,0,3,0,3,83,4,0
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-465B22.8",8,12,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,3,156,3,1
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0
"TNFRSF18",50,54,0,1,3,3,0,12,1,6,64,1,0,6,13,2,0,5,1,13,30,771,16,3,0
"TNFRSF4",27,40,0,2,1,4,0,0,15,4,26,1,0,19,1,0,0,2,2,8,25,1004,26,376,1
"SDF4",205,1005,5,5,4,108,0,4,22,4,26,3,6,4,7,0,7,86,4,55,9,84,1709,190,38
"B3GALT6",16,38,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,5,0,3,0,3,64,21,0
"FAM132A",1,2,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,84,9,1
"UBE2J2",54,244,1,2,5,20,2,4,5,2,15,5,2,0,6,0,0,14,2,19,2,36,384,51,13
"RP5-902P8.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SCNN1D",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
"ACAP3",24,65,0,0,0,8,0,0,4,1,3,1,0,2,0,0,0,3,1,2,0,2,126,14,2
"PUSL1",12,66,0,0,0,8,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2,5,218,15,2
"CPSF3L",48,205,0,6,0,20,1,3,5,2,22,6,2,3,5,1,1,31,0,11,8,17,562,53,9
"CPTP",18,61,0,0,0,10,0,1,2,0,1,0,0,2,1,0,1,4,0,0,0,7,168,30,6
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DVL1",16,48,0,0,0,2,0,0,2,0,3,0,0,0,0,0,0,3,0,7,0,1,338,13,2
"MXRA8",9,2056,0,0,8,209,0,0,3,1,0,1,8,1,1,0,0,74,0,0,1,5,39,10,27
"AURKAIP1",327,864,3,7,10,81,1,9,24,5,43,13,1,5,11,0,18,94,8,86,13,102,3083,197,38
"CCNL2",34,188,2,0,1,15,2,0,5,0,14,1,1,2,1,1,2,29,0,10,3,14,348,58,6
"MRPL20",267,819,2,9,7,81,2,10,16,14,49,6,10,5,13,1,7,113,4,53,8,109,2765,170,52
"RP4-758J18.13",0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0
"ANKRD65",0,69,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,16,0
"RP4-758J18.10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"VWA1",4,29,0,1,5,1,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1,252,366,0
"ATAD3C",1,6,0,1,0,2,0,0,1,0,3,0,0,0,0,0,1,1,0,0,2,0,44,10,0
"ATAD3B",15,26,0,0,0,2,0,0,0,0,3,1,0,3,1,0,0,3,0,2,0,5,189,11,3
"ATAD3A",22,97,1,0,0,7,0,1,2,0,4,0,0,0,1,0,1,14,2,1,4,11,297,9,4
"TMEM240",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"SSU72",123,450,3,5,6,45,2,4,12,4,23,6,2,6,4,0,2,48,3,31,9,72,699,116,16
"RP5-832C2.5",2,2,1,0,0,1,0,0,0,1,2,0,0,0,1,0,0,2,0,2,0,5,12,0,0
"C1orf233",17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"RP11-345P4.9",2,23,0,0,0,4,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,2,30,4,1
"MIB2",32,112,1,0,1,6,1,1,3,1,13,2,2,5,2,1,4,11,0,8,4,12,1009,22,6
"MMP23B",4,561,0,1,0,134,1,0,0,0,0,0,4,0,2,0,0,3,1,0,0,2,23,3,0
"CDK11B",30,112,1,1,2,7,1,2,5,2,11,2,1,1,0,0,0,19,1,9,3,28,451,46,8
