"","Anti-inflammatory macro/mono","CAFs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Vascular ECs","VSMCs"
"RP11-34P13.7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"FO538757.2",21,7,2,5,177,1,2,5,1,3,3,7,1,1,0,53,4,0,19,11,8
"AP006222.2",18,1,1,1,162,1,0,0,0,2,0,1,0,2,0,7,6,0,3,3,9
"RP4-669L17.10",0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"RP11-206L10.9",4,1,0,3,13,0,0,1,0,0,1,0,0,0,0,7,0,0,0,1,2
"FAM87B",0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"LINC00115",0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1,0
"FAM41C",2,1,0,0,9,1,0,0,0,3,1,0,0,0,0,1,0,0,1,0,3
"RP11-54O7.1",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,6,0,0,122,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"NOC2L",14,5,4,5,142,1,3,2,0,8,5,2,1,4,0,43,2,1,6,6,8
"KLHL17",1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0
"PLEKHN1",0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,2,0,0
"PERM1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.17",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,4
"HES4",0,0,1,2,14,0,0,2,0,0,1,4,0,0,0,7,16,0,3,7,71
"ISG15",84,11,20,59,644,7,10,16,0,55,30,12,6,23,0,121,20,6,216,100,32
"AGRN",4,10,1,1,12,0,0,3,0,0,1,0,0,0,0,21,3,0,1,18,2
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"C1orf159",3,0,0,3,17,1,0,0,0,1,2,1,0,0,0,5,0,0,3,2,1
"RP11-465B22.8",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,27,0,0,1,0,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"TNFRSF18",2,0,2,0,6,30,1,0,0,13,2,0,0,18,6,1,1,9,2,0,0
"TNFRSF4",11,0,3,0,8,0,14,3,1,7,1,0,2,0,0,3,0,8,4,24,0
"SDF4",43,33,14,25,1155,4,9,5,0,22,15,6,2,7,2,139,4,7,32,15,13
"B3GALT6",8,2,3,3,17,0,0,0,0,2,0,0,0,0,1,9,0,0,5,2,1
"FAM132A",0,1,0,0,13,0,0,0,0,1,0,0,0,0,0,15,0,0,2,3,0
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"UBE2J2",25,2,5,5,288,3,4,6,0,14,9,2,1,4,1,41,4,2,23,9,10
"SCNN1D",0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ACAP3",13,4,0,2,93,0,0,0,0,1,1,3,0,2,0,15,1,0,6,2,2
"PUSL1",6,2,5,0,66,0,1,1,0,3,1,1,0,1,0,13,0,0,7,2,1
"CPSF3L",13,19,7,8,266,1,2,2,0,9,12,3,0,6,1,66,6,1,22,12,7
"CPTP",3,1,0,2,66,0,1,2,0,2,0,1,1,1,0,39,1,0,4,9,3
"TAS1R3",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"DVL1",8,6,2,0,26,0,0,1,0,0,0,1,1,0,0,17,1,0,4,2,1
"MXRA8",4,7,1,38,1414,0,0,0,0,1,0,13,0,0,0,5,9,0,2,1,6
"AURKAIP1",114,43,29,27,834,2,12,19,5,39,32,17,1,8,3,469,12,8,123,32,47
"CCNL2",17,9,5,3,181,1,1,2,1,3,2,2,1,0,2,36,1,1,7,14,8
"MRPL20",93,37,25,23,932,7,12,8,2,32,19,20,5,15,3,221,4,5,73,40,38
"RP4-758J18.13",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKRD65",1,0,2,1,107,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0
"VWA1",0,0,0,12,21,0,0,0,0,0,0,0,0,0,0,7,0,0,0,30,1
"ATAD3C",2,2,0,0,4,0,0,1,0,5,0,0,0,0,0,4,0,0,1,1,0
"ATAD3B",1,0,0,1,17,0,1,1,0,0,0,1,0,0,0,12,0,1,3,1,0
"ATAD3A",5,1,1,0,48,0,0,1,0,1,3,0,0,2,0,19,0,0,3,0,1
"TMEM240",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SSU72",50,28,12,6,438,3,10,7,1,18,24,7,3,9,2,130,4,0,45,25,13
"RP5-832C2.5",2,2,0,0,12,1,0,0,0,1,1,0,0,1,0,5,1,0,4,1,0
"C1orf233",2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0
"RP11-345P4.9",2,0,0,2,29,0,0,1,0,0,0,0,0,2,0,8,0,1,0,0,2
"MIB2",2,3,1,3,94,4,5,1,0,12,11,0,0,1,0,42,0,0,5,2,4
"MMP23B",8,14,0,1,2700,0,0,2,0,2,3,4,0,3,0,7,7,0,1,1,0
"CDK11B",16,6,2,3,107,1,4,2,0,8,4,1,1,3,0,28,2,0,12,4,8
"RP11-345P4.10",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0
"SLC35E2B",14,6,3,2,126,0,2,4,0,6,3,2,0,3,0,33,1,1,6,4,1
"RP11-345P4.7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK11A",9,5,0,1,76,1,1,1,1,6,5,2,4,2,2,25,3,0,12,6,4
"SLC35E2",0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0
"NADK",27,8,5,1,85,0,1,2,0,3,2,0,0,2,0,49,1,0,26,4,7
"GNB1",76,9,11,11,262,0,3,9,0,15,6,7,2,3,0,89,3,1,46,11,12
"RP1-140A9.1",0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CALML6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TMEM52",0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,14,0,2,1,0,1
"CFAP74",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,1
"PRKCZ",0,0,0,0,49,2,1,4,1,5,2,1,0,2,0,20,0,0,0,0,0
"RP5-892K4.1",0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP11-181G12.2",1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"FAAP20",77,18,21,16,478,3,3,6,3,24,19,6,0,10,1,78,7,0,39,10,19
"SKI",22,5,3,8,156,0,2,1,0,3,4,4,0,2,0,8,4,1,9,6,6
"MORN1",0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3
"RER1",68,31,23,23,786,2,12,9,1,28,27,7,2,13,3,220,11,8,58,17,20
"PEX10",9,9,2,5,113,0,2,1,0,3,1,2,0,0,0,22,2,0,4,7,1
"PLCH2",0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0
"PANK4",2,6,0,1,56,0,0,2,0,3,1,2,0,1,0,11,3,0,2,2,2
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP3-395M20.12",5,0,0,2,4,0,2,0,0,3,0,0,0,1,0,23,0,1,11,1,2
"RP3-395M20.8",2,0,2,0,10,0,0,2,0,1,0,0,0,2,0,28,0,0,2,1,0
"TNFRSF14",85,9,14,3,335,5,8,9,1,29,17,5,2,9,2,76,4,7,60,13,4
"RP3-395M20.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0
"FAM213B",7,1,1,0,28,0,0,1,0,2,1,1,0,1,0,39,1,0,1,5,2
"MMEL1",4,6,0,0,1,0,0,0,0,0,0,1,0,0,0,26,0,0,0,0,0
"TTC34",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00982",0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"PRDM16",0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"RP11-22L13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"ARHGEF16",2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,50,2,0,1,0,0
"RP11-168F9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"MEGF6",0,3,0,11,28,0,0,2,0,1,0,0,0,1,0,1,0,0,0,2,0
"TPRG1L",12,3,2,2,133,0,0,1,0,1,1,1,0,2,0,31,2,0,4,8,6
"WRAP73",8,1,2,3,104,0,0,0,1,8,6,2,0,0,1,17,1,1,3,1,1
"TP73",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TP73-AS1",4,1,0,2,50,1,0,0,0,2,0,2,0,1,0,1,1,0,2,3,5
"SMIM1",8,16,2,2,89,0,0,0,2,1,1,2,0,0,0,5,1,2,4,1,4
"LRRC47",8,2,4,0,117,2,3,0,1,4,4,3,0,0,0,16,2,0,6,5,5
"RP1-286D6.5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CEP104",10,4,3,1,40,1,0,1,0,5,5,0,0,1,0,14,1,0,6,2,2
"DFFB",0,0,1,0,14,0,0,1,0,1,0,0,0,0,0,4,0,0,2,0,0
"C1orf174",11,4,5,0,132,0,3,1,1,7,1,3,1,3,0,26,0,1,16,8,4
"LINC01134",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AJAP1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NPHP4",1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,1
"KCNAB2",36,0,6,0,13,1,2,0,1,15,13,0,0,5,0,1,0,0,33,0,0
"CHD5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPL22",1579,671,382,122,9375,58,146,155,49,478,304,80,75,106,29,2897,105,60,946,291,303
"RP1-120G22.11",0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RNF207",2,1,2,1,22,0,0,0,0,0,0,1,0,0,0,9,0,0,0,1,0
"ICMT",13,1,1,2,127,1,0,6,0,3,3,2,0,1,0,25,2,2,10,4,4
"LINC00337",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GPR153",1,0,0,0,57,0,0,0,1,0,0,0,0,0,0,22,0,0,1,0,0
"ACOT7",4,1,1,2,73,0,1,0,7,3,6,4,0,2,0,80,0,0,1,4,1
"RP1-202O8.3",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2
"HES2",1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
"ESPN",0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,52,0,1,0,0,0
"TNFRSF25",15,0,1,0,2,1,8,1,0,19,5,0,3,1,0,16,0,0,3,0,1
"PLEKHG5",14,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
"NOL9",5,0,0,1,49,0,0,0,0,2,2,0,0,0,0,13,1,1,5,4,3
"TAS1R1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"ZBTB48",5,0,1,2,54,0,2,1,0,4,4,0,0,1,0,16,0,0,4,2,6
"KLHL21",5,1,0,2,44,0,0,0,0,1,0,4,0,0,0,0,0,1,6,1,3
"PHF13",1,3,0,0,31,0,0,3,0,2,1,1,0,0,0,6,2,0,0,1,0
"THAP3",3,0,0,4,138,2,0,2,0,2,3,1,0,1,1,15,4,1,3,2,4
