"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","LTi cells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"FO538757.2",90,41,11,10,11,1,8,1,22,5,1,3,0,1,5,27,22,14,1,6,28,0,2,1,2,3,1,2,13,5,9,47,92,57,4
"AP006222.2",112,29,7,5,5,2,3,0,21,2,2,0,0,2,2,15,3,12,3,2,3,0,0,0,0,21,1,1,4,4,4,8,45,42,16
"RP4-669L17.10",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"RP11-206L10.9",5,4,1,4,2,1,0,0,2,1,0,0,0,0,1,7,2,3,0,2,1,0,0,0,0,2,0,1,2,0,0,4,9,5,5
"FAM87B",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"LINC00115",5,4,2,2,0,0,0,0,2,0,0,0,0,2,1,3,0,1,0,3,2,0,0,0,1,1,0,0,2,0,0,1,8,3,3
"FAM41C",9,0,0,0,1,0,0,0,1,0,1,1,1,0,0,2,0,0,0,1,1,0,0,0,1,1,0,1,4,0,1,1,5,2,0
"RP11-54O7.3",0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,69,0,0,0,0,0,0,52,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,4,0
"NOC2L",68,49,9,10,19,3,6,4,26,10,2,0,1,2,5,44,20,17,6,4,20,2,10,0,3,10,3,1,30,18,6,33,139,51,7
"KLHL17",4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,4,2,0
"PLEKHN1",2,1,0,1,2,1,0,0,0,0,1,0,0,0,0,0,5,1,0,1,5,0,2,0,0,0,0,0,0,2,2,8,34,4,0
"PERM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"RP11-54O7.17",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1
"HES4",42,184,1,5,0,1,0,3,31,0,0,2,0,17,3,1,3,2,1,1,0,0,0,0,0,78,0,2,1,0,2,11,70,194,123
"ISG15",798,640,46,51,219,10,12,10,108,35,8,11,24,14,20,78,245,117,6,16,25,3,11,35,9,126,14,48,43,35,137,335,617,718,28
"AGRN",24,35,0,1,0,0,0,1,5,0,0,0,0,0,1,3,0,0,1,0,2,0,1,0,0,10,0,1,0,0,0,0,53,157,0
"RNF223",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0
"C1orf159",15,5,1,1,2,1,1,0,2,1,0,0,0,0,0,3,2,3,0,0,2,0,0,0,0,4,0,0,1,2,4,4,17,7,0
"RP11-465B22.8",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0
"TTLL10-AS1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,3,0
"TNFRSF18",21,40,1,0,99,1,2,1,5,93,49,17,14,2,31,6,56,31,1,3,25,3,99,1,0,9,3,1,4,61,136,1074,22,17,2
"TNFRSF4",41,40,3,2,31,0,5,0,13,123,1,2,19,8,14,2,77,6,0,1,55,3,9,4,1,11,4,4,3,99,15,1340,23,311,0
"SDF4",253,208,7,39,29,2,5,7,193,34,5,6,4,13,23,61,40,27,3,14,44,2,5,4,2,42,10,10,32,22,30,138,198,271,19
"B3GALT6",11,7,1,5,6,0,0,0,5,0,1,0,0,0,2,2,3,3,0,0,2,1,0,0,0,1,0,1,0,1,2,11,13,19,2
"FAM132A",0,0,1,0,0,0,0,0,4,1,0,1,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,88,54,0
"RP5-902P8.12",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"UBE2J2",99,66,6,12,17,0,5,0,39,15,2,1,0,5,6,33,22,21,2,9,22,1,7,2,2,15,2,5,43,19,18,64,84,76,5
"RP5-902P8.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCNN1D",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ACAP3",21,24,1,8,5,0,3,0,14,1,0,2,0,1,1,6,10,2,0,3,6,0,0,0,0,6,1,2,4,5,4,7,45,22,3
"PUSL1",30,20,3,3,5,0,1,0,16,3,0,0,0,1,1,9,2,4,0,1,4,0,0,0,0,2,0,0,12,7,8,9,29,20,2
"CPSF3L",87,62,7,10,9,3,2,1,37,16,1,4,0,5,6,25,30,20,2,0,26,3,2,1,4,12,2,4,42,11,19,45,126,68,2
"CPTP",22,18,2,5,5,0,3,0,8,4,1,0,0,1,3,11,11,6,1,0,13,0,3,1,0,5,1,4,13,1,3,16,46,43,3
"TAS1R3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0
"DVL1",6,6,1,1,0,0,2,0,6,0,0,0,0,0,0,1,3,2,1,1,1,1,0,0,0,2,1,1,0,0,0,2,60,29,1
"MXRA8",5,524,1,1,1,0,0,10,413,0,1,0,0,0,0,1,0,2,8,0,0,0,0,0,0,43,0,0,0,0,0,1,2,2,3
"AURKAIP1",433,236,22,53,53,7,13,8,117,38,5,6,1,9,12,102,94,57,13,30,85,0,8,2,7,51,7,20,163,54,59,170,698,286,48
"CCNL2",63,48,7,12,13,2,2,0,33,7,3,0,0,3,1,28,20,14,0,8,28,1,3,0,1,16,2,4,28,10,15,44,93,83,15
"MRPL20",369,211,35,55,35,7,12,5,142,41,7,9,5,5,26,117,100,68,15,26,67,6,19,3,13,43,19,26,144,72,36,179,472,281,37
"RP4-758J18.13",1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ANKRD65",5,23,0,1,0,0,0,0,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0
"RP4-758J18.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"VWA1",13,11,0,1,0,0,0,7,9,0,0,0,0,3,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,50,697,2
"ATAD3C",6,0,0,1,0,0,0,0,3,1,0,0,0,1,2,6,5,1,0,0,1,1,0,0,0,1,1,0,0,1,1,4,28,19,0
"ATAD3B",21,8,5,4,1,1,1,0,8,3,0,0,0,0,2,8,8,7,0,3,7,0,0,0,1,3,1,2,23,13,2,9,43,24,2
"ATAD3A",31,25,3,2,5,1,3,0,11,3,3,0,0,1,2,10,6,6,1,2,8,0,2,1,0,5,3,1,25,10,5,14,95,29,2
"TMEM240",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SSU72",288,207,43,52,51,7,15,2,104,47,6,4,3,6,20,141,117,78,9,30,98,8,11,7,2,36,10,13,115,35,36,179,363,226,27
"RP5-832C2.5",3,1,1,2,1,1,1,0,0,3,1,0,0,0,0,3,6,3,0,3,8,0,2,1,0,2,1,0,4,2,4,8,3,4,0
"C1orf233",7,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
"RP11-345P4.9",4,6,2,0,0,1,0,0,5,0,1,1,0,1,0,1,1,2,0,1,5,0,0,0,0,0,0,0,5,0,0,3,9,4,2
"MIB2",20,33,17,4,12,1,7,0,18,11,1,2,0,2,2,17,20,34,0,6,22,2,10,0,0,7,4,0,11,8,12,36,191,27,5
"MMP23B",2,113,1,1,0,1,1,0,256,1,0,0,0,1,1,0,2,6,0,1,0,0,0,1,4,2,0,0,0,1,0,2,7,2,1
"CDK11B",55,37,12,11,11,5,3,0,15,5,4,0,0,2,2,33,23,36,2,10,41,3,4,4,0,11,2,0,36,14,11,59,151,80,12
"RP11-345P4.10",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0
"SLC35E2B",35,29,8,4,6,0,3,0,30,8,3,1,1,1,2,16,16,12,0,2,18,1,1,1,4,6,4,1,6,3,3,21,66,36,7
"RP11-345P4.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
