"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","LTi cells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"FO538757.2",19,10,10,21,6,3,3,5,70,9,0,1,3,3,55,19,13,4,21,39,2,2,1,0,10,1,2,41,1,3,31,60,57,4
"AP006222.2",37,8,3,5,1,0,2,6,49,3,1,0,1,2,15,5,4,4,5,8,0,0,0,0,4,1,0,25,3,1,6,27,40,11
"RP4-669L17.10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-206L10.9",1,2,1,0,0,1,0,0,5,2,1,1,1,0,7,2,0,0,1,4,0,0,0,0,1,1,0,8,0,0,2,12,2,1
"FAM87B",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00115",1,0,1,1,0,0,0,0,6,2,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,8,6,0
"FAM41C",3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,3,0,2,2,0,1,0,0,0,0,0,6,0,1,2,4,3,0
"RP11-54O7.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RP11-54O7.3",0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,26,0,0,0,1,0,0,104,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1
"NOC2L",26,17,9,13,6,1,2,2,47,7,2,1,3,1,50,11,9,2,24,34,0,2,0,0,3,3,2,67,3,5,28,64,36,3
"KLHL17",2,1,0,1,1,0,0,0,5,0,0,0,0,0,2,1,2,0,0,5,0,0,0,0,0,0,1,0,0,0,3,3,0,0
"PLEKHN1",0,0,0,1,3,0,0,0,3,0,1,0,0,0,0,1,3,0,0,4,1,0,0,0,0,1,0,0,0,2,7,11,0,0
"PERM1",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-54O7.17",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,3
"HES4",27,49,0,1,0,1,0,3,57,1,0,0,5,0,4,2,0,3,0,5,0,0,0,0,56,0,4,0,0,0,5,24,93,123
"ISG15",885,159,58,49,185,21,10,16,183,31,5,0,7,10,128,125,73,15,62,59,2,8,1,5,77,4,49,104,15,48,207,331,312,24
"AGRN",10,17,0,1,0,0,0,2,25,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,4,0,0,2,0,0,2,42,103,4
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"C1orf159",3,4,0,0,1,0,0,0,6,1,0,1,0,1,3,1,2,0,3,0,0,2,0,0,1,1,1,6,0,0,0,5,8,1
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-465B22.8",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,0,0
"TTLL10",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10,0
"TNFRSF18",4,1,2,2,41,0,1,1,3,89,29,10,0,3,16,28,9,0,5,37,0,27,4,0,0,1,0,19,53,35,568,3,11,2
"TNFRSF4",11,6,6,12,7,0,2,1,17,104,5,7,10,6,15,63,3,0,4,69,2,9,0,0,0,2,0,4,43,1,875,5,129,0
"SDF4",96,78,14,37,13,7,6,7,291,33,2,1,9,9,68,38,25,9,28,63,2,5,0,2,23,13,1,75,14,10,108,187,171,15
"B3GALT6",9,2,0,3,2,1,0,0,13,0,0,0,1,0,6,1,0,0,0,2,0,0,0,1,1,0,1,2,0,0,3,6,16,1
"FAM132A",1,1,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,61,29,0
"UBE2J2",48,24,17,19,8,3,3,6,80,14,2,2,4,4,56,23,25,3,28,45,2,5,3,1,4,3,1,113,6,15,38,49,57,4
"RP5-902P8.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCNN1D",1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ACAP3",14,4,2,2,4,0,3,0,34,1,0,0,2,0,18,1,3,0,4,10,1,0,0,0,0,1,1,5,0,2,6,13,15,4
"PUSL1",10,3,6,12,0,0,0,2,9,4,3,0,1,0,12,8,2,1,8,8,0,0,0,0,0,2,2,22,2,2,11,30,22,2
"CPSF3L",30,13,15,16,10,2,2,2,76,18,3,0,1,1,54,19,12,5,16,37,1,2,2,2,10,3,2,101,7,3,36,50,42,12
"CPTP",8,5,2,3,2,2,3,3,13,6,0,0,1,0,20,7,2,1,7,10,0,1,0,0,0,0,0,44,6,3,10,30,39,1
"TAS1R3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,2,1,0
"DVL1",2,2,3,0,0,0,0,0,9,0,1,0,2,2,2,0,0,0,1,2,0,0,0,1,1,1,0,3,0,0,2,31,12,1
"MXRA8",3,191,0,1,0,0,1,11,537,2,0,0,0,0,1,1,0,9,1,1,0,2,0,0,24,0,0,6,0,0,0,1,12,12
"AURKAIP1",194,92,48,67,21,12,12,17,210,45,5,2,16,6,145,60,41,17,57,96,4,7,1,6,18,15,6,375,17,19,101,428,185,27
"CCNL2",16,15,10,10,2,1,1,5,51,7,2,3,2,2,35,19,7,1,17,37,2,0,1,2,7,4,3,63,3,3,41,44,70,9
"MRPL20",156,60,44,78,17,9,7,21,211,39,8,3,12,9,184,76,58,10,41,77,6,11,2,7,27,8,14,318,15,17,117,285,226,32
"RP4-758J18.13",0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"ANKRD65",1,5,0,0,1,0,0,1,25,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,54,0
"RP4-758J18.10",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VWA1",1,1,0,0,0,0,0,15,22,0,0,0,0,0,1,0,0,6,2,1,0,0,0,0,0,0,1,0,0,0,0,22,445,2
"ATAD3C",6,1,2,0,0,0,1,1,1,0,0,0,1,0,6,4,0,0,1,6,0,0,0,0,0,1,0,0,1,0,2,12,16,0
"ATAD3B",13,4,3,7,3,0,1,0,7,4,0,0,0,1,9,5,2,0,11,3,0,0,0,0,1,3,0,33,1,6,9,31,11,0
"ATAD3A",18,5,3,11,2,0,1,2,15,1,1,1,0,0,19,5,2,0,5,7,1,1,0,0,1,2,0,51,5,9,8,46,18,2
"TMEM240",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1
"SSU72",113,51,44,54,23,6,9,12,156,57,4,2,10,9,180,102,55,6,66,144,4,8,3,1,15,14,13,221,13,12,103,206,143,14
"RP5-832C2.5",5,1,2,2,0,0,1,0,5,1,0,1,0,0,6,7,4,0,3,7,2,0,0,0,0,0,0,6,1,0,3,0,4,0
"C1orf233",4,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
"RP11-345P4.9",2,1,0,2,1,0,0,4,6,0,0,0,1,1,9,2,1,0,3,7,0,0,0,0,1,1,0,8,0,0,3,7,2,4
"MIB2",7,7,19,3,5,5,4,4,35,11,5,1,4,3,27,17,16,1,14,29,2,2,3,4,4,3,0,35,1,6,28,72,14,3
"MMP23B",0,24,3,0,0,0,1,1,279,0,1,0,0,0,2,0,6,1,1,0,0,0,0,1,0,0,0,2,0,1,0,1,7,0
"CDK11B",32,17,10,9,6,2,4,2,42,13,0,0,5,1,46,30,22,1,19,29,2,3,2,2,6,7,0,93,2,10,36,79,48,7
"RP11-345P4.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,1,2,0
"SLC35E2B",17,6,9,6,2,2,3,4,39,6,1,1,4,0,38,13,10,4,14,32,1,1,1,0,4,3,0,12,1,1,18,41,20,3
"RP11-345P4.7",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK11A",20,8,8,16,4,2,0,5,35,19,3,0,1,1,54,27,12,1,22,47,1,0,0,1,6,3,0,57,5,5,28,44,36,1
"SLC35E2",0,0,0,1,0,0,0,0,8,0,0,0,0,0,4,2,2,0,0,5,0,0,0,0,1,0,0,4,0,0,0,3,2,0
"NADK",82,6,2,10,2,1,0,1,36,6,0,1,1,0,36,8,3,2,6,8,0,0,0,5,1,3,3,103,1,1,8,71,35,2
"GNB1",79,28,24,27,12,3,6,8,93,16,1,1,12,2,56,29,22,5,16,35,1,2,1,0,13,6,13,130,8,9,38,143,169,21
"RP1-140A9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
"CALML6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TMEM52",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"CFAP74",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1
"RP11-547D24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"GABRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,19,3
"PRKCZ",5,2,2,0,2,0,0,1,7,7,1,1,1,1,12,9,14,0,4,10,0,0,0,0,0,1,0,11,2,2,5,41,11,0
"RP5-892K4.1",1,0,4,0,0,0,0,0,1,1,0,0,0,0,5,2,2,0,1,2,0,0,0,0,0,0,0,1,0,0,4,2,1,0
"RP11-181G12.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FAAP20",101,53,35,45,10,4,7,9,198,40,7,0,9,9,141,72,38,11,53,78,3,6,0,2,19,9,4,135,17,11,65,119,126,25
"SKI",15,22,11,4,3,0,1,3,71,1,1,0,1,1,10,16,17,2,5,16,1,2,1,0,6,0,1,4,1,1,9,18,69,18
"MORN1",2,0,0,0,0,0,1,1,7,0,0,0,0,1,2,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,6,2,0
"RER1",148,77,30,44,18,7,8,8,228,48,0,0,4,5,104,53,39,8,36,71,4,7,0,6,18,22,5,186,22,17,104,248,122,19
"PEX10",12,6,2,2,1,0,3,6,38,4,1,1,2,0,12,3,9,0,7,3,0,1,0,0,4,1,0,21,2,2,8,24,19,4
