"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"RP11-34P13.7",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FO538757.2",34,2,7,1,4,94,4,2,3,2,2,4,3,0,1,82,2,0,4,1,5,2
"AP006222.2",20,0,4,0,7,58,0,0,1,2,1,0,0,1,0,18,5,0,2,0,4,6
"RP4-669L17.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RP5-857K21.4",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-206L10.9",2,0,1,0,1,9,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,5
"FAM87B",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00115",0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,1
"FAM41C",2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1
"RP11-54O7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP11-54O7.3",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,0,0,0,1,104,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0
"NOC2L",17,2,10,2,8,102,1,1,2,5,4,2,0,0,1,111,2,1,5,2,8,1
"KLHL17",2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
"PLEKHN1",0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0
"PERM1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"RP11-54O7.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0
"HES4",9,0,2,0,12,59,2,2,0,0,0,5,0,1,0,248,14,0,10,1,17,111
"ISG15",166,0,59,3,34,352,6,1,7,16,7,5,3,2,3,75,6,3,60,8,104,16
"AGRN",3,0,1,0,4,35,0,4,0,0,0,1,0,0,1,46,1,1,0,0,11,2
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"C1orf159",2,0,2,0,3,12,0,0,0,1,0,1,0,0,1,19,0,1,0,1,0,1
"RP11-465B22.8",1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0
"TNFRSF18",4,0,6,1,2,5,20,0,0,24,2,0,4,4,6,2,0,9,1,38,1,0
"TNFRSF4",23,0,13,0,2,16,0,4,0,28,0,0,1,6,5,4,0,4,6,30,17,0
"SDF4",54,1,31,1,29,659,2,3,3,15,8,9,5,1,2,440,7,7,8,6,35,9
"B3GALT6",9,0,1,0,0,8,1,0,1,1,0,0,0,0,0,10,0,0,0,0,0,0
"FAM132A",1,0,1,0,1,7,0,0,0,0,1,0,0,0,0,93,0,0,1,0,3,0
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"UBE2J2",26,0,16,1,12,157,3,4,4,6,3,4,1,0,2,133,5,5,8,3,10,2
"RP5-902P8.10",0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCNN1D",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"ACAP3",13,0,5,2,2,80,1,0,1,1,3,3,0,0,0,56,0,0,1,0,3,5
"PUSL1",6,0,3,0,3,34,0,1,2,1,1,2,0,0,1,79,1,1,2,1,3,1
"CPSF3L",23,1,13,2,10,153,3,1,3,5,5,4,0,1,2,141,1,5,7,1,9,5
"CPTP",8,0,2,0,7,34,2,1,2,0,1,4,0,0,1,81,1,0,3,0,4,1
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
"DVL1",4,0,1,0,0,29,0,1,0,0,0,0,0,1,0,45,0,1,0,0,1,2
"MXRA8",0,0,0,1,49,793,0,0,0,0,0,6,0,0,0,7,4,0,0,1,1,4
"AURKAIP1",129,2,55,2,28,457,2,5,11,23,9,24,1,3,5,1301,6,18,24,5,33,24
"CCNL2",19,2,11,0,8,121,2,1,0,2,3,3,2,1,0,108,2,2,5,2,8,5
