"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"FO538757.2",9,138,2,2,6,2,6,2,1,0,0,15,2,6,1,2,226,18
"AP006222.2",23,280,0,2,2,0,0,0,2,0,0,28,4,3,3,5,99,11
"RP4-669L17.10",0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-206L10.9",1,21,0,0,1,0,0,0,0,0,1,1,2,1,0,0,34,2
"LINC00115",2,27,0,0,0,0,0,0,1,0,1,3,2,1,0,1,35,6
"FAM41C",2,10,0,0,0,1,0,0,0,0,0,2,0,0,0,0,22,0
"RP11-54O7.1",0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-54O7.3",0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,311,0,0,0,0,0,0,4,0,0,3,0,0,0,0,7,5
"NOC2L",19,261,1,1,1,2,6,3,10,5,1,24,8,1,3,4,505,39
"KLHL17",0,19,0,0,0,0,0,0,0,1,0,1,0,0,0,0,31,2
"PLEKHN1",2,69,0,0,2,0,3,1,0,1,0,2,0,1,0,0,155,5
"PERM1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.17",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2
"HES4",2,88,0,0,0,0,0,0,0,0,0,16,1,2,0,0,80,7
"ISG15",209,1363,0,6,6,1,22,17,14,13,1,165,15,143,22,60,1108,172
"AGRN",7,167,0,0,0,1,1,0,0,1,0,32,1,4,1,0,923,64
"RNF223",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,0
"C1orf159",4,33,0,1,0,0,0,0,1,1,0,3,0,1,1,1,78,1
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-465B22.8",1,13,0,1,0,0,0,0,0,0,0,0,2,0,0,0,193,4
"TTLL10-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0
"TNFRSF18",3,29,0,0,9,1,20,1,0,6,13,1,1,0,29,148,78,2
"TNFRSF4",2,26,0,0,12,0,10,1,0,10,2,2,4,2,42,211,17,149
"SDF4",67,1276,1,11,5,1,11,3,10,4,2,68,39,8,11,19,882,110
"B3GALT6",4,60,0,0,0,0,1,0,0,0,0,5,1,0,0,0,99,10
