"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Enteric glia cells","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","Pericytes","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"FO538757.2",14,82,0,2,0,6,6,1,0,2,0,9,1,2,5,251,8
"AP006222.2",25,145,0,2,1,6,4,0,4,0,0,16,0,0,5,97,8
"RP4-669L17.10",1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
"RP11-206L10.9",2,12,0,0,0,0,1,0,1,0,0,0,0,1,0,32,1
"LINC00115",6,15,0,1,0,1,1,0,0,0,0,4,1,0,1,30,2
"FAM41C",4,10,0,1,0,0,0,0,1,0,0,2,1,0,1,23,0
"RP11-54O7.1",0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-54O7.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SAMD11",0,212,0,0,0,0,0,0,11,0,0,0,0,0,0,6,1
"NOC2L",7,109,1,5,0,1,5,1,7,0,0,15,1,6,6,440,17
"KLHL17",2,8,0,0,0,0,0,0,1,0,0,2,0,0,0,33,1
"PLEKHN1",3,21,0,0,0,4,1,0,0,1,0,0,0,0,4,172,2
"PERM1",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-54O7.17",0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0
"HES4",1,157,0,0,1,0,0,0,8,0,0,59,0,0,0,164,15
"ISG15",344,1291,1,2,7,70,57,13,152,7,4,123,21,29,48,1895,87
"AGRN",9,113,1,0,0,0,1,0,3,0,0,38,1,1,1,967,30
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
"C1orf159",3,28,0,0,0,0,0,0,1,1,0,3,0,0,0,62,1
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-465B22.8",0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,183,1
"TTLL10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"TNFRSF18",0,9,0,2,0,12,20,3,0,5,4,0,3,23,131,79,2
"TNFRSF4",2,7,0,0,0,14,13,1,3,2,0,2,0,23,139,19,98
"SDF4",75,763,1,9,1,15,9,3,13,1,2,50,1,6,18,905,56
"B3GALT6",10,43,0,0,0,0,0,0,0,0,0,1,0,0,1,88,4
"FAM132A",0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,68,12
"RP5-902P8.12",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"UBE2J2",20,121,0,5,0,3,4,4,6,0,1,7,2,2,7,240,20
"RP5-902P8.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"SCNN1D",0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,26,0
"ACAP3",10,75,0,0,0,2,2,2,4,0,0,10,0,2,1,78,2
"PUSL1",9,42,0,1,0,1,1,1,1,1,0,4,0,3,1,61,6
"CPSF3L",20,156,0,2,0,2,4,4,8,3,1,13,2,4,8,377,18
"CPTP",4,48,0,1,0,1,0,2,4,0,0,2,0,1,0,114,10
"TAS1R3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
"DVL1",5,27,0,0,0,0,1,0,4,0,0,4,0,1,3,293,13
"MXRA8",4,1348,0,0,6,0,0,0,50,0,0,66,1,0,3,46,2
"AURKAIP1",150,560,0,9,2,22,18,8,29,7,5,74,10,35,39,1745,86
"CCNL2",9,143,0,1,0,3,5,1,2,0,0,18,1,1,5,403,22
"MRPL20",114,449,1,20,6,20,13,9,23,3,0,55,6,19,20,1146,53
"RP4-758J18.13",1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1
"ANKRD65",0,39,0,0,0,0,0,0,2,0,0,1,0,0,0,14,9
"RP4-758J18.10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"VWA1",2,45,0,0,3,0,1,1,8,0,0,6,0,0,0,322,137
"ATAD3C",1,17,1,0,0,1,0,0,1,1,0,2,0,0,1,41,8
"ATAD3B",12,27,0,0,0,2,2,2,0,0,1,6,0,3,4,135,15
"ATAD3A",11,51,1,0,1,0,3,1,1,0,0,13,1,3,1,154,5
"TMEM240",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"SSU72",70,367,4,6,3,10,12,10,12,2,0,35,5,12,21,793,40
"RP5-832C2.5",2,6,0,1,0,1,0,2,0,0,0,0,0,0,0,11,2
