"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"RP11-34P13.7",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"FO538757.2",13,14,0,1,11,1,0,8,1,0,5,5,22,13,12,0,6,6,2,0,19,9,5,1,12,5,16,108,29,0
"AP006222.2",21,12,0,0,3,0,0,7,2,0,1,2,2,1,6,0,0,2,0,1,30,2,2,0,4,2,5,38,23,0
"RP4-669L17.10",0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,2,3,0
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"RP11-206L10.9",5,3,0,0,3,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,9,3,0,0,2,4,2,14,3,1
"FAM87B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"LINC00115",2,1,0,1,2,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2,0,1,0,1,0,3,11,3,0
"FAM41C",0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,2,1,0
"RP11-54O7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,17,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0
"NOC2L",8,24,1,0,12,3,0,18,2,0,3,3,33,15,19,0,7,6,2,3,26,4,8,3,10,9,14,157,57,3
"KLHL17",2,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0
"PLEKHN1",2,2,0,0,4,0,0,0,2,0,0,0,0,3,4,0,0,0,0,0,2,3,0,0,1,3,7,10,2,0
