"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Double-Negative Tcells","Fibroblasts","Follicular CD4 Tcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FO538757.2",12,10,3,4,8,1,18,1,1,1,4,2,2,9,0,3,2,20,1,2,4,4,4,64,24
"AP006222.2",12,9,1,1,1,0,8,1,0,0,2,1,2,2,1,0,0,35,0,2,0,1,1,28,25
"RP4-669L17.10",3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
"RP11-206L10.9",0,1,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,5,2,1,1,0,0,6,2
"LINC00115",0,1,0,1,0,0,1,0,0,0,1,0,0,4,0,0,1,2,0,2,1,0,0,6,3
"FAM41C",2,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,3,0,0,0,0,1,2,2
"RP11-54O7.1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SAMD11",0,14,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
"NOC2L",14,15,2,0,6,3,22,2,4,2,4,1,4,12,1,3,2,31,5,4,3,5,5,87,49
"KLHL17",0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,6,2
"PLEKHN1",1,1,1,0,3,0,2,0,0,0,1,0,0,3,2,0,0,0,3,0,0,0,0,10,3
"RP11-54O7.17",5,2,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,18,0,2,0,0,0,3,8
"HES4",1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,14,0,0,0,0,0,1,4
"ISG15",277,270,12,29,41,1,137,17,36,1,120,9,76,84,6,7,12,863,8,17,23,22,57,422,399
"AGRN",7,12,0,0,0,0,16,0,0,1,2,0,1,1,0,0,0,122,1,0,0,1,1,77,176
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
