"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"RP11-34P13.7",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FO538757.2",11,1,1,5,86,2,1,6,3,7,3,1,1,0,1,46,2,3,7,0,17,3
"AP006222.2",4,0,3,8,86,1,1,0,0,0,1,0,2,1,0,11,5,0,0,0,10,11
"RP4-669L17.10",1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"RP11-206L10.9",2,0,1,2,15,1,0,1,0,0,0,1,0,0,1,9,0,0,1,0,3,2
"FAM87B",0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"LINC00115",2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1
"FAM41C",0,0,1,1,8,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,1,1
"RP11-54O7.1",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"SAMD11",0,0,0,0,132,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
"NOC2L",6,2,1,4,123,0,2,3,1,7,2,2,1,1,1,65,2,6,7,0,17,6
"KLHL17",2,1,0,0,7,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1
"PLEKHN1",0,0,1,0,1,0,0,2,0,1,0,0,0,0,1,2,0,1,1,0,1,0
"PERM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"RP11-54O7.17",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,2,7
"HES4",0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,3,1,0,0,2,8
"ISG15",78,13,14,28,442,12,12,23,5,28,37,4,8,1,5,120,40,13,121,5,132,40
