"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","Normal Epithelial cells","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"RP11-34P13.7",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"FO538757.2",29,85,1,0,11,1,0,4,0,9,1,3,1,1,0,15,3,4,315,26,5
"AP006222.2",51,117,1,0,19,0,2,1,1,3,2,4,0,1,1,24,6,5,126,18,14
"RP4-669L17.10",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,1
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-206L10.9",3,9,0,0,0,0,1,1,0,1,0,0,1,0,0,4,0,1,20,2,4
"FAM87B",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00115",9,6,0,0,1,0,1,1,0,2,0,0,0,3,1,1,0,1,23,4,0
"FAM41C",5,10,0,0,0,0,0,0,0,2,0,1,0,1,0,5,0,2,14,1,3
"RP11-54O7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RP11-54O7.2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",1,40,0,0,27,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0
"NOC2L",28,117,0,2,13,0,0,3,0,7,0,3,2,2,4,9,8,13,446,39,5
"KLHL17",1,6,0,0,1,0,0,1,0,1,0,0,0,0,1,2,0,0,23,2,0
"PLEKHN1",8,10,1,0,1,0,1,0,0,5,0,1,0,1,0,0,0,9,123,2,0
"PERM1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.17",1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,6,2,0,7,1,2
"HES4",5,75,0,0,14,0,1,2,1,0,0,1,0,0,2,48,2,0,141,20,25
"ISG15",944,1326,2,4,87,10,18,24,9,80,9,2,10,19,90,153,148,112,8445,325,51
"AGRN",34,120,0,0,9,0,1,7,0,1,0,0,0,0,1,33,6,2,192,73,1
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0
"C1orf159",7,22,0,0,2,0,0,0,0,3,1,1,0,0,0,2,3,3,83,3,0
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-465B22.8",8,11,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,3,157,2,1
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
"TNFRSF18",49,38,0,1,1,0,11,1,3,46,1,0,6,13,1,2,13,527,15,3,0
"TNFRSF4",26,24,0,2,4,0,0,15,4,16,1,0,17,1,0,0,8,605,26,356,1
"SDF4",201,875,5,5,105,0,2,22,3,26,3,6,4,7,19,83,55,61,1691,170,38
"B3GALT6",16,32,0,0,4,0,0,1,0,0,0,0,0,0,0,4,3,2,64,18,0
"FAM132A",1,2,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,84,8,1
"UBE2J2",53,210,1,2,20,2,3,4,1,13,5,2,0,6,0,12,19,23,381,41,13
"RP5-902P8.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SCNN1D",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
"ACAP3",24,56,0,0,8,0,0,4,0,2,1,0,1,0,0,2,2,2,126,13,2
"PUSL1",12,57,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,5,217,13,2
"CPSF3L",46,183,0,6,18,1,3,5,1,21,6,2,4,5,2,29,10,12,561,47,9
"CPTP",18,45,0,0,10,0,1,2,0,1,0,0,2,1,1,4,0,5,168,28,6
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DVL1",16,40,0,0,2,0,0,1,0,3,0,0,0,0,1,2,5,0,336,12,2
"MXRA8",8,1811,0,0,195,0,0,3,1,0,1,8,1,1,0,71,0,4,38,9,27
"AURKAIP1",320,729,3,7,73,1,8,23,2,36,13,1,5,11,48,77,86,72,3040,177,38
"CCNL2",33,159,2,0,15,2,0,5,0,14,1,1,2,1,1,28,10,10,348,54,6
"MRPL20",262,710,2,9,81,2,12,16,5,45,6,10,5,13,20,102,53,80,2733,151,52
"RP4-758J18.13",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0
"ANKRD65",0,58,0,0,9,0,0,0,1,0,0,0,0,0,0,2,0,0,1,16,0
"RP4-758J18.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"VWA1",4,24,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,1,252,341,0
"ATAD3C",1,6,0,1,2,0,0,1,0,3,0,0,0,0,1,1,0,0,44,9,0
"ATAD3B",15,23,0,0,2,0,0,0,0,2,1,0,2,1,1,2,2,4,188,9,3
"ATAD3A",21,84,1,0,7,0,1,2,0,2,0,0,0,1,2,14,1,10,295,8,4
"TMEM240",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"SSU72",118,378,3,5,44,2,4,10,3,18,6,2,6,4,3,45,30,48,694,102,16
"RP5-832C2.5",2,2,1,0,1,0,0,0,0,2,0,0,0,1,0,2,2,4,11,0,0
"C1orf233",17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP11-345P4.9",2,21,0,0,4,0,0,0,0,2,0,1,0,1,1,0,1,2,29,4,1
"MIB2",30,95,1,0,6,1,1,3,1,14,2,2,4,2,4,11,8,5,1005,20,6
"MMP23B",4,461,0,1,128,1,0,0,0,0,0,4,0,2,0,3,0,1,23,3,0
"CDK11B",29,95,1,1,7,1,1,4,2,7,2,1,1,0,0,19,9,18,449,43,8
"RP11-345P4.10",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1
"SLC35E2B",26,76,1,0,6,1,1,2,0,7,1,2,2,1,0,13,2,6,183,30,2
"CDK11A",24,50,0,4,6,0,0,3,1,5,0,0,0,5,1,9,5,16,307,32,4
"SLC35E2",2,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,18,0,0
"NADK",71,62,0,0,12,0,0,2,1,4,0,1,1,0,2,5,18,1,267,24,7
"GNB1",232,332,3,3,21,1,4,22,2,17,4,4,3,7,4,46,53,26,885,122,15
"RP1-140A9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"TMEM52",0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,0,0
"CFAP74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
"RP11-547D24.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"GABRD",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,30,3
