"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","LTi cells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"FO538757.2",12,9,8,20,5,3,3,5,70,7,0,0,3,1,55,18,14,4,19,38,2,2,1,0,10,1,2,21,28,57,51,4
"AP006222.2",23,8,3,5,1,0,2,6,49,2,1,0,1,2,14,4,4,4,5,7,0,0,0,0,4,1,0,9,6,27,39,11
"RP4-669L17.10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-206L10.9",0,2,1,0,0,1,0,0,5,2,1,1,1,0,6,2,0,0,1,4,0,0,0,0,1,1,0,6,2,12,2,1
"FAM87B",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00115",1,0,1,1,0,0,0,0,6,2,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,1,1,8,6,0
"FAM41C",3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,3,0,2,1,0,1,0,0,0,0,0,2,2,3,3,0
"RP11-54O7.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RP11-54O7.3",0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,26,0,0,0,1,0,0,104,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,3,1
"NOC2L",12,15,9,13,5,1,2,2,47,5,2,1,3,1,46,9,9,2,23,34,2,2,0,0,3,2,2,28,21,61,34,3
"KLHL17",2,1,0,1,1,0,0,0,5,0,0,0,0,0,2,1,2,0,0,4,0,0,0,0,0,0,1,0,3,2,0,0
"PLEKHN1",0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,1,3,0,0,4,1,0,0,0,0,0,0,0,6,11,0,0
"PERM1",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-54O7.17",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,3
"HES4",8,47,0,1,0,1,0,3,57,0,0,0,5,0,4,2,0,3,0,5,0,0,0,0,56,0,4,0,2,23,80,123
"ISG15",338,157,47,47,168,21,10,15,183,28,5,0,7,10,113,124,71,15,58,56,3,8,1,5,77,2,49,42,141,329,284,24
"AGRN",6,17,0,1,0,0,0,1,25,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,4,0,0,2,2,42,94,4
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"C1orf159",3,4,0,0,1,0,0,0,6,1,0,1,0,1,3,1,2,0,3,0,0,2,0,0,1,0,1,2,0,5,7,1
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-465B22.8",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0
"TNFRSF18",3,1,2,2,31,0,1,0,3,61,5,10,0,2,11,27,8,0,2,37,0,24,4,0,0,0,0,4,392,2,8,2
"TNFRSF4",5,4,5,12,4,0,2,1,17,89,5,7,10,5,3,62,4,0,1,63,2,4,0,0,0,0,0,0,593,5,114,0
"SDF4",54,77,12,36,12,8,6,5,291,27,2,1,9,8,61,39,24,9,28,59,2,3,0,2,23,7,1,33,85,187,155,15
"B3GALT6",6,2,0,2,1,1,0,0,13,0,0,0,1,0,4,1,0,0,0,2,0,0,0,1,1,0,1,0,2,6,13,1
"FAM132A",0,1,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,61,27,0
"UBE2J2",23,23,16,17,6,3,3,3,80,11,0,2,4,4,54,22,26,3,26,43,2,4,3,1,4,2,1,49,32,49,54,4
"RP5-902P8.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCNN1D",0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ACAP3",6,4,2,2,4,0,3,0,34,1,0,0,2,0,18,1,3,0,4,10,1,0,0,0,0,0,1,1,5,13,13,4
"PUSL1",4,3,6,12,0,0,0,1,9,3,1,0,1,0,13,7,2,1,7,6,0,0,0,0,0,0,2,8,8,30,19,2
"CPSF3L",20,13,12,15,7,2,2,1,76,14,2,0,1,1,52,21,12,5,16,33,1,1,2,2,10,3,2,35,31,47,42,12
"CPTP",5,4,2,3,1,2,3,3,13,4,0,0,1,0,19,7,2,1,6,10,0,1,0,0,0,0,0,18,10,30,36,1
"TAS1R3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,5,0,2,1,0
"DVL1",1,2,3,0,0,0,0,0,9,0,1,0,2,1,2,0,0,0,1,1,0,0,0,1,1,1,0,0,2,30,12,1
"MXRA8",1,191,0,1,0,0,1,9,537,2,0,0,0,0,1,1,0,9,1,1,0,2,0,0,24,0,0,4,0,1,12,12
"AURKAIP1",99,90,40,60,20,12,12,12,210,38,2,2,16,5,135,58,43,17,52,92,5,6,1,6,18,3,6,132,81,419,169,27
"CCNL2",10,15,9,10,2,1,1,4,51,6,2,2,2,2,32,20,7,1,17,35,2,0,1,2,7,1,3,26,35,42,68,9
"MRPL20",90,60,37,76,11,9,8,18,211,33,2,2,12,9,172,77,57,10,37,69,6,10,2,7,27,2,14,116,95,278,205,32
"RP4-758J18.13",0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"ANKRD65",1,5,0,0,1,0,0,1,25,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,46,0
"RP4-758J18.10",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VWA1",0,1,0,0,0,0,0,11,22,0,0,0,0,0,1,0,0,6,2,1,0,0,0,0,0,0,1,0,0,22,395,2
"ATAD3C",3,1,1,0,0,0,1,1,1,0,0,0,1,0,5,4,0,0,1,6,0,0,0,0,0,1,0,0,2,12,16,0
"ATAD3B",3,3,2,7,2,0,1,0,7,3,0,0,0,1,7,6,2,0,11,3,0,0,0,0,1,1,0,10,7,31,10,0
"ATAD3A",7,5,3,10,1,0,1,1,15,0,0,0,0,0,13,4,2,0,5,7,1,0,0,0,1,1,0,15,6,45,18,2
"TMEM240",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1
"SSU72",72,49,41,52,17,8,9,9,156,50,2,0,10,7,167,108,54,6,62,133,4,8,3,1,15,9,13,91,88,197,132,14
"RP5-832C2.5",4,1,2,2,0,0,0,0,5,1,0,1,0,0,6,8,4,0,3,7,2,0,0,0,0,0,0,1,3,0,4,0
"C1orf233",2,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
"RP11-345P4.9",1,1,0,2,1,0,0,4,6,0,0,0,1,1,9,2,1,0,3,7,0,0,0,0,1,0,0,4,2,7,2,4
"MIB2",5,7,16,2,3,6,4,4,35,9,2,0,4,3,26,17,15,1,13,29,2,2,3,4,4,2,0,13,25,69,13,3
"MMP23B",0,24,3,0,0,0,1,1,279,0,0,0,0,0,2,0,6,1,0,0,0,0,0,1,0,0,0,1,0,0,6,0
"CDK11B",18,15,9,9,5,2,4,2,42,13,0,0,5,0,43,31,22,1,19,27,2,3,2,2,6,1,0,34,30,78,44,7
"RP11-345P4.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,2,0,1,2,0
