"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","LTi cells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"FO538757.2",61,40,11,10,11,1,8,1,22,2,1,0,1,2,26,22,13,1,6,27,0,0,1,1,3,0,2,1,41,90,47,4
"AP006222.2",64,27,6,4,3,2,3,0,21,1,2,0,2,0,15,2,12,3,2,3,0,0,0,0,21,1,1,2,7,43,37,16
"RP4-669L17.10",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"RP11-206L10.9",4,4,1,4,2,1,0,0,2,1,0,0,0,0,7,2,1,0,2,1,0,0,0,0,2,0,1,1,3,9,4,5
"FAM87B",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"LINC00115",3,4,2,2,0,0,0,0,2,0,0,0,2,1,3,0,1,0,3,2,0,0,0,1,1,0,0,1,1,8,2,2
"FAM41C",5,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,1,1,0,0,0,1,1,0,1,1,1,5,2,0
"RP11-54O7.3",0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"SAMD11",0,66,0,0,0,0,0,0,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0
"NOC2L",39,46,7,10,14,2,6,4,26,7,2,1,2,2,44,21,15,6,4,17,1,4,0,3,10,2,1,5,28,138,45,7
"KLHL17",4,3,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,4,2,0
"PLEKHN1",2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,3,1,0,1,5,0,1,0,0,0,0,0,0,7,34,4,0
"PERM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"RP11-54O7.17",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1
"HES4",30,170,1,5,0,1,0,3,31,0,0,0,17,3,1,2,2,1,1,0,0,0,0,0,78,0,2,1,7,69,166,122
"ISG15",567,628,43,50,175,10,13,10,108,26,7,3,14,12,74,234,79,6,16,22,3,4,35,2,126,4,48,18,265,612,533,26
"AGRN",11,35,0,1,0,0,0,1,5,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,10,0,1,0,0,52,145,0
"RNF223",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0
"C1orf159",9,5,1,1,2,1,1,0,2,1,0,0,0,0,3,2,2,0,0,2,0,0,0,0,4,0,0,0,3,17,7,0
"RP11-465B22.8",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0
"TTLL10-AS1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,3,0
"TNFRSF18",10,19,0,0,67,1,2,1,5,69,11,8,2,8,6,45,23,1,3,22,3,22,1,0,9,3,1,1,764,18,8,2
"TNFRSF4",17,31,2,2,7,0,5,0,13,96,0,8,8,7,2,73,7,0,1,53,3,6,4,1,11,4,4,1,1019,17,270,0
"SDF4",151,195,5,37,22,2,5,7,193,26,3,4,13,7,61,38,23,3,13,44,2,3,4,1,42,5,10,11,115,195,241,19
"B3GALT6",7,7,1,5,6,0,0,0,5,0,0,0,0,2,2,3,2,0,0,2,1,0,0,0,1,0,1,0,8,12,14,2
"FAM132A",0,0,1,0,1,0,0,0,4,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,88,48,0
"RP5-902P8.12",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"UBE2J2",51,65,5,11,11,0,4,0,39,9,1,0,5,2,32,21,18,2,8,20,1,3,2,2,15,1,5,12,52,83,65,3
"RP5-902P8.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SCNN1D",1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
"ACAP3",12,23,1,6,4,0,3,0,14,1,0,0,1,1,7,11,2,0,2,5,0,0,0,0,6,0,2,1,6,44,21,2
"PUSL1",15,19,3,2,4,0,1,0,16,3,0,0,1,0,9,3,2,0,1,3,0,0,0,0,2,0,0,1,9,27,16,2
"CPSF3L",54,57,7,8,4,3,2,1,37,13,1,0,5,0,25,28,18,2,0,26,3,1,1,3,12,0,4,15,40,121,57,2
"CPTP",12,16,2,5,5,0,3,0,8,4,1,0,1,2,10,11,5,1,0,12,0,1,1,0,5,1,4,3,14,45,38,3
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0
"DVL1",4,5,1,1,0,0,2,0,6,0,0,0,0,0,1,2,2,1,1,1,1,0,0,0,2,0,1,0,2,59,22,1
"MXRA8",1,495,1,1,0,0,0,10,413,0,1,0,0,0,1,0,2,8,0,0,0,0,0,0,43,0,0,0,0,2,2,3
