"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"FO538757.2",14,77,0,1,6,6,1,0,2,0,9,1,5,244,8
"AP006222.2",25,133,0,0,6,4,0,4,0,0,16,0,5,93,8
"RP4-669L17.10",1,4,0,0,1,0,0,0,0,0,0,0,0,3,0
"RP11-206L10.9",2,9,0,0,0,1,0,1,0,0,0,0,0,30,1
"LINC00115",6,15,0,1,1,0,0,0,0,0,4,1,1,30,1
"FAM41C",4,9,0,0,0,0,0,1,0,0,2,1,1,21,0
"RP11-54O7.1",0,14,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-54O7.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,185,0,0,0,0,0,11,0,0,0,0,0,5,1
"NOC2L",7,98,1,1,1,5,1,7,1,0,15,1,5,430,14
"KLHL17",2,6,0,0,0,0,0,1,0,0,2,0,0,33,1
"PLEKHN1",3,18,0,0,4,1,0,0,1,0,0,0,4,167,2
"PERM1",0,4,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-54O7.17",0,4,0,0,0,0,0,0,0,0,1,0,0,10,0
"HES4",1,155,0,0,0,0,0,8,0,0,59,0,0,157,11
"ISG15",343,1274,1,1,70,56,13,152,3,4,123,18,39,1855,73
"AGRN",9,111,1,0,0,1,0,3,0,0,38,1,1,950,25
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
"C1orf159",3,27,0,0,0,0,0,1,1,0,3,0,0,60,0
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-465B22.8",0,7,0,0,0,0,0,0,0,0,1,0,0,181,1
"TTLL10",0,1,0,0,0,0,0,0,0,0,0,0,0,5,0
"TNFRSF18",0,8,0,2,11,19,3,0,2,4,0,3,121,73,1
"TNFRSF4",2,6,0,0,14,12,1,3,2,0,2,0,130,14,90
"SDF4",75,723,1,6,15,8,3,13,1,2,50,1,16,892,48
"B3GALT6",10,40,0,0,0,0,0,0,0,0,1,0,1,87,3
"FAM132A",0,9,0,0,0,1,0,0,0,0,0,0,0,68,10
"RP5-902P8.12",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"UBE2J2",20,114,0,1,3,4,4,6,0,1,7,2,5,230,17
"RP5-902P8.10",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"SCNN1D",0,6,0,0,0,0,0,0,0,0,1,0,0,25,0
"ACAP3",10,69,0,0,2,2,2,4,0,0,10,0,1,75,2
"PUSL1",9,40,0,0,1,1,1,1,1,0,4,0,1,59,3
"CPSF3L",19,148,0,0,2,4,4,8,3,1,13,2,4,361,15
"CPTP",4,46,0,0,1,0,2,4,0,0,2,0,0,112,8
"TAS1R3",0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
"DVL1",5,22,0,0,0,1,0,4,0,0,4,0,3,290,10
"MXRA8",4,1319,0,0,0,0,0,50,0,0,66,1,3,46,1
"AURKAIP1",148,516,0,3,22,20,8,29,4,5,74,10,34,1696,71
"CCNL2",9,131,0,0,3,5,1,2,0,0,18,1,5,392,18
"MRPL20",113,426,1,14,20,11,9,23,1,0,55,7,20,1110,44
"RP4-758J18.13",1,4,0,0,0,0,0,0,0,0,0,1,0,9,1
"ANKRD65",0,39,0,0,0,0,0,2,0,0,1,0,0,14,8
"RP4-758J18.10",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"VWA1",2,39,0,0,0,1,1,8,0,0,6,0,0,319,121
"ATAD3C",1,16,1,0,1,0,0,1,0,0,2,0,1,41,6
"ATAD3B",12,23,0,0,2,2,2,0,0,1,6,0,4,133,12
"ATAD3A",11,49,1,0,0,3,1,1,0,0,13,1,1,152,5
"TMEM240",0,2,0,0,0,0,0,0,0,0,0,0,0,9,0
"SSU72",70,349,4,2,10,9,10,12,3,0,35,5,19,775,28
"RP5-832C2.5",2,6,0,0,1,0,2,0,0,0,0,0,0,11,2
"C1orf233",5,29,0,0,0,0,0,0,0,0,1,0,1,115,2
"RP11-345P4.9",2,19,0,0,0,0,1,2,0,0,4,1,0,30,0
"MIB2",7,52,0,0,1,4,3,4,1,0,3,0,3,188,8
"MMP23B",10,1148,0,1,0,1,0,4,0,2,14,0,1,50,2
"CDK11B",29,63,1,0,2,3,6,3,0,1,7,0,6,292,14
"RP11-345P4.10",0,3,0,0,0,0,1,0,0,0,0,0,0,8,0
"SLC35E2B",9,83,0,1,1,3,2,4,1,0,14,0,5,215,5
"CDK11A",8,41,0,0,0,3,3,5,2,0,6,2,7,149,3
"SLC35E2",0,5,0,0,0,0,1,0,1,0,0,0,0,17,0
"NADK",26,45,0,1,3,0,0,2,0,0,2,1,0,234,10
"GNB1",85,290,1,10,5,5,0,12,4,0,24,15,9,783,49
"RP1-140A9.1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"CALML6",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"TMEM52",0,4,0,0,0,1,0,0,0,0,0,0,0,50,0
"CFAP74",0,0,0,0,0,0,0,0,0,0,2,0,0,9,0
"RP11-547D24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,8,2
"GABRD",0,1,0,0,0,0,0,0,0,0,4,0,0,20,9
"PRKCZ",1,13,0,0,0,0,0,0,1,1,0,0,1,165,4
"RP5-892K4.1",1,0,0,0,0,0,1,0,0,0,0,0,0,3,1
"RP11-181G12.2",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAAP20",89,496,4,2,12,10,5,25,1,1,53,10,11,925,51
"RP11-181G12.4",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"SKI",20,164,0,2,2,2,1,4,0,0,13,1,1,145,15
"MORN1",1,6,0,0,0,0,0,0,0,0,1,0,0,40,1
"RER1",100,488,0,4,11,9,4,24,2,1,56,8,12,1133,32
"PEX10",8,57,0,0,0,1,1,2,0,0,2,0,0,159,3
"PLCH2",0,2,0,0,0,0,0,0,0,0,0,0,2,56,0
"PANK4",2,19,0,0,0,2,0,2,1,0,5,0,2,43,0
"RP3-395M20.12",4,3,0,1,1,3,2,0,0,0,4,2,4,91,1
"RP3-395M20.8",3,1,0,0,0,2,1,0,1,0,0,0,0,100,2
"TNFRSF14",54,75,0,3,8,5,6,7,5,4,16,5,10,523,27
"RP3-395M20.9",0,2,0,0,0,0,0,0,1,0,0,0,1,27,0
"FAM213B",5,21,0,0,0,3,0,0,0,0,1,0,0,430,13
"MMEL1",2,1,0,0,0,0,0,0,0,0,0,0,1,90,0
"TTC34",0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
"LINC00982",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PRDM16",0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-22L13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ARHGEF16",0,5,0,0,0,0,0,1,0,0,1,0,0,283,0
"RP11-168F9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"MEGF6",1,37,0,0,0,0,0,0,0,0,4,1,1,179,1
"RP11-46F15.2",0,2,0,0,0,0,0,1,0,0,1,0,0,5,1
"TPRG1L",8,52,0,0,0,1,0,4,0,0,5,0,0,251,6
"WRAP73",11,34,0,0,1,5,0,3,0,0,5,1,3,154,7
"TP73",0,1,0,0,0,0,0,0,0,0,1,0,0,17,0
"TP73-AS1",3,24,0,0,1,1,0,2,0,0,1,0,0,0,1
"SMIM1",3,27,0,0,8,0,0,3,0,0,1,0,0,124,1
"LRRC47",7,72,0,0,2,2,1,5,0,0,4,1,5,192,3
"CEP104",10,55,0,0,0,1,1,6,0,0,10,1,6,124,5
"DFFB",4,7,0,0,0,0,0,0,0,0,0,0,0,26,1
"C1orf174",14,65,0,1,4,1,1,3,1,0,4,2,3,136,7
