"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Double-Negative Tcells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"FO538757.2",3,1,5,0,12,5,0,5,14,2,4,1,7,2,2,41,1,2,3,2,1
"AP006222.2",6,0,7,0,10,2,1,4,4,1,2,1,0,1,0,14,0,0,1,0,1
"RP4-669L17.10",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"RP11-206L10.9",2,0,3,0,4,2,0,0,2,0,0,0,0,0,0,5,0,1,1,0,0
"FAM87B",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00115",1,0,0,0,2,1,0,0,1,2,0,2,1,0,0,12,0,0,0,0,0
"FAM41C",0,1,0,0,2,0,0,0,0,2,0,2,0,0,0,7,0,0,0,0,0
"SAMD11",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NOC2L",4,3,6,1,21,1,2,2,14,6,1,3,4,0,1,71,0,0,1,0,1
"KLHL17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"PLEKHN1",0,0,0,1,0,3,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0
"HES4",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,0,0,1
"ISG15",47,2,50,0,195,32,0,2,45,35,4,5,21,6,7,63,3,7,21,7,18
"AGRN",0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,17,0,0,0,0,2
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"C1orf159",1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
"TNFRSF18",0,0,0,0,0,127,0,0,8,2,0,1,2,6,17,4,0,4,0,10,0
"TNFRSF4",0,0,3,0,4,5,0,0,27,3,0,0,11,1,2,0,0,9,2,8,3
"SDF4",7,0,11,0,94,8,3,8,27,11,2,2,13,3,3,170,2,5,0,1,6
"B3GALT6",0,0,2,0,4,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0
"FAM132A",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,5
"UBE2J2",4,1,7,0,20,10,1,4,7,9,5,3,7,1,3,59,0,1,4,1,0
"ACAP3",0,0,5,0,9,1,0,1,3,4,0,0,0,1,2,12,1,1,0,0,0
"PUSL1",2,0,1,0,6,1,0,1,2,3,0,0,0,0,0,18,0,0,0,0,0
"CPSF3L",2,1,6,1,25,4,0,4,11,11,0,0,4,0,1,68,0,0,1,1,2
"CPTP",1,2,1,0,6,1,0,1,2,1,0,1,0,0,0,46,0,1,1,0,1
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"DVL1",0,0,0,0,2,0,0,0,2,1,0,0,1,0,0,28,0,0,0,1,1
"MXRA8",0,0,0,0,95,0,0,0,0,0,6,0,0,0,0,1,0,1,0,0,0
"AURKAIP1",25,3,19,1,51,19,1,14,35,16,6,8,11,3,4,529,1,13,11,4,4
"CCNL2",4,2,3,0,28,8,1,5,16,7,2,7,6,0,1,32,1,1,1,0,3
"MRPL20",12,1,26,6,57,17,2,9,43,17,10,4,9,1,5,228,6,8,4,3,3
"RP4-758J18.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ANKRD65",0,0,2,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"VWA1",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,5
"ATAD3C",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"ATAD3B",0,0,1,0,1,3,0,2,2,0,0,3,5,0,0,18,0,0,1,0,0
"ATAD3A",1,0,1,0,3,1,0,0,2,1,0,0,0,0,0,31,0,1,0,0,0
"TMEM240",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SSU72",9,1,13,1,21,13,0,4,45,19,4,5,16,2,5,123,1,3,4,2,0
"RP5-832C2.5",1,0,0,0,3,0,0,0,5,2,0,1,3,0,0,4,0,0,0,1,1
"C1orf233",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP11-345P4.9",0,0,1,0,4,0,0,3,2,0,1,1,1,0,1,10,1,0,1,0,0
"MIB2",0,0,3,0,8,3,1,1,13,4,0,0,3,3,1,38,1,1,1,0,0
"MMP23B",1,0,0,0,79,6,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0
"CDK11B",2,0,6,2,14,8,0,0,17,11,2,2,7,1,1,61,0,3,2,3,3
"RP11-345P4.10",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC35E2B",1,0,2,1,11,4,0,1,7,12,1,2,1,1,3,23,0,0,0,1,2
"RP11-345P4.7",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"CDK11A",3,0,4,0,3,9,1,4,19,11,0,1,5,1,0,48,0,0,5,1,1
"SLC35E2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"NADK",2,0,2,0,5,2,0,1,0,2,1,2,1,0,0,53,0,0,4,0,1
"GNB1",16,0,8,0,28,5,0,4,16,6,2,1,5,0,3,87,0,2,6,0,3
"RP1-140A9.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TMEM52",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
"PRKCZ",0,0,1,1,1,2,0,0,2,2,0,0,2,0,0,22,0,2,0,0,0
"RP5-892K4.1",0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0
"FAAP20",13,1,13,2,43,6,1,13,26,17,4,8,11,1,3,65,1,3,9,0,4
"SKI",2,0,2,0,17,2,0,1,4,2,1,1,1,1,0,7,0,0,0,2,0
"MORN1",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0
"RER1",10,1,14,1,46,14,0,5,34,18,6,5,9,2,4,216,1,7,8,2,1
"PEX10",1,0,3,0,5,2,0,0,5,0,0,0,0,0,0,15,0,1,0,0,0
"PLCH2",0,0,0,0,0,1,0,1,1,1,0,2,3,0,0,2,0,0,0,0,0
"PANK4",2,0,2,0,7,1,1,2,4,2,0,1,1,0,1,12,0,0,0,0,0
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP3-395M20.12",2,1,1,0,0,7,1,3,14,0,0,3,5,1,1,17,0,0,2,0,0
"RP3-395M20.8",0,0,0,0,3,3,0,2,2,2,0,0,1,0,0,30,0,1,0,0,0
"TNFRSF14",4,2,7,2,27,5,1,8,40,17,0,10,18,1,7,71,0,5,4,5,3
"RP3-395M20.9",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0
"FAM213B",2,0,0,0,2,1,0,0,5,0,0,0,2,0,0,41,0,0,0,0,0
"MMEL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
"TTC34",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ARHGEF16",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,63,0,0,0,0,0
"MEGF6",0,0,1,0,2,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0
"RP11-46F15.2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TPRG1L",0,0,1,0,4,3,0,0,2,1,0,0,1,0,1,31,0,0,0,3,1
"WRAP73",2,1,4,1,7,6,2,2,14,5,2,2,4,1,1,17,1,0,2,3,0
"TP73-AS1",0,0,0,0,4,3,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0
"SMIM1",0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"LRRC47",0,1,0,0,11,2,0,1,6,6,2,0,0,0,0,18,0,0,1,1,0
"RP1-286D6.5",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEP104",1,0,1,0,6,2,0,1,7,5,0,0,1,1,0,13,3,0,0,0,0
"DFFB",1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,5,0,0,0,1,0
"C1orf174",2,1,2,0,8,2,0,4,14,3,1,0,0,0,1,30,0,2,2,2,1
"LINC01134",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"NPHP4",1,0,1,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0
"KCNAB2",3,0,4,0,4,2,0,1,7,8,0,2,7,3,0,0,0,0,3,1,1
"RPL22",174,32,249,16,504,229,22,143,748,266,30,171,450,28,61,2255,16,37,83,71,31
"RNF207",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,1,0,0,0,0
"ICMT",0,1,3,0,5,3,0,0,2,3,2,1,0,0,0,32,0,0,0,0,4
"GPR153",1,0,0,0,6,0,0,0,0,0,1,0,0,0,0,37,0,0,0,0,0
"ACOT7",2,0,3,0,8,6,0,0,9,3,0,0,0,0,1,83,0,0,0,0,1
"RP1-202O8.3",0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0
"HES2",0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,24,0,0,0,0,0
"ESPN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0
"TNFRSF25",0,2,0,0,2,0,0,0,23,3,0,0,12,0,1,41,0,0,0,3,0
"PLEKHG5",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0
"NOL9",0,0,2,0,4,1,0,3,4,1,1,0,2,0,1,15,0,0,2,0,0
"ZBTB48",1,0,4,0,4,5,0,1,7,1,0,0,3,0,1,11,0,0,1,0,0
"KLHL21",0,0,1,0,1,2,0,0,2,0,0,0,2,0,0,7,0,0,0,0,0
"PHF13",2,0,0,1,2,0,0,0,3,0,1,2,1,0,0,2,0,0,0,0,1
"THAP3",2,0,1,0,15,2,0,3,6,1,1,2,3,0,2,23,0,1,0,1,0
"DNAJC11",5,0,1,0,2,1,0,1,2,2,0,0,0,0,1,37,0,0,0,0,0
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CAMTA1",17,0,17,0,31,9,1,1,18,7,10,3,11,1,5,216,1,4,5,0,3
"VAMP3",16,0,9,0,23,0,0,0,8,4,2,1,8,0,0,61,0,1,5,1,7
"PER3",0,0,0,0,11,2,0,0,3,2,0,0,0,0,0,6,0,0,0,1,1
"RP3-467L1.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"UTS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TNFRSF9",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PARK7",30,6,47,4,160,69,3,21,83,40,18,17,35,6,13,401,4,9,12,19,10
"ERRFI1",0,0,1,0,43,1,0,0,0,1,1,1,0,0,0,13,0,0,0,0,4
"SLC45A1",0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"RERE",3,0,1,0,19,1,0,2,9,3,4,3,5,1,0,37,1,0,0,1,3
"RP5-1115A15.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENO1",42,9,89,5,114,72,7,26,148,65,13,23,44,8,21,516,5,9,15,9,6
"ENO1-AS1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"SLC2A5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"GPR157",1,0,0,0,1,0,0,1,2,2,0,0,0,0,0,14,0,0,1,0,0
"MIR34AHG",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H6PD",0,0,0,0,17,3,0,0,5,0,1,1,0,0,1,14,1,1,1,0,0
"SPSB1",0,0,0,0,31,0,0,0,1,1,1,0,0,0,0,17,3,0,0,0,0
"SLC25A33",2,0,1,1,0,0,0,1,1,0,0,1,1,0,0,35,0,0,1,0,1
"TMEM201",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"PIK3CD",0,0,2,0,0,2,0,2,10,4,0,0,2,0,1,0,0,0,5,0,0
"PIK3CD-AS2",0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
"CLSTN1",2,0,2,0,11,1,1,2,4,1,2,0,5,0,2,75,0,1,1,0,0
"CTNNBIP1",2,0,9,0,4,2,0,0,6,2,0,0,1,0,1,13,0,1,1,0,0
"LZIC",2,0,4,0,9,5,0,3,11,4,3,1,2,2,1,32,0,0,0,0,1
"NMNAT1",2,0,2,0,4,2,0,2,3,2,0,0,0,1,1,17,0,0,2,0,0
"RBP7",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4
"UBE4B",5,0,2,0,7,1,0,3,5,2,2,0,1,0,0,14,0,2,2,0,0
"KIF1B",4,0,1,0,9,0,0,1,2,0,2,1,1,0,0,14,0,0,2,0,0
"PGD",9,0,7,0,24,3,0,0,3,1,0,1,2,1,0,63,0,0,11,0,0
"APITD1",0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,20,0,0,1,0,1
"CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
"DFFA",2,0,2,0,8,5,1,1,10,2,2,1,2,1,0,34,0,0,0,1,1
"PEX14",0,1,0,1,6,1,0,0,2,4,1,1,1,0,1,16,0,0,1,0,1
"CASZ1",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,24,0,1,0,0,0
"TARDBP",4,2,9,0,23,13,2,0,10,14,0,4,8,1,1,79,0,4,4,3,0
"SRM",1,0,2,0,18,2,0,1,1,0,0,0,0,0,0,17,0,0,0,0,1
"EXOSC10",5,0,1,0,10,2,0,1,7,5,0,2,1,0,0,21,0,1,0,0,1
"RP4-635E18.7",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"RP4-635E18.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"MTOR",1,0,0,0,1,0,0,0,2,1,0,0,1,0,1,18,1,0,0,0,0
"ANGPTL7",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBIAD1",0,0,1,0,4,0,0,1,8,1,0,2,3,0,0,17,0,2,0,1,0
"FBXO2",0,0,0,0,0,6,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0
"FBXO44",1,1,1,0,14,4,3,3,9,6,0,2,5,2,2,2,0,1,1,1,0
"FBXO6",1,1,2,0,5,1,0,0,5,6,0,0,0,2,3,10,0,0,1,1,0
"MAD2L2",3,0,11,1,24,21,0,1,5,7,0,3,4,2,2,8,0,1,2,0,1
"DRAXIN",0,0,0,0,1,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0
"AGTRAP",6,1,2,0,38,1,0,1,9,2,1,2,2,0,2,19,0,0,10,1,0
"C1orf167",0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"MTHFR",0,0,2,0,2,0,0,0,2,1,0,0,3,0,0,11,0,0,1,0,1
"CLCN6",0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,4,1,0,0,0,0
"NPPA-AS1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"NPPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"KIAA2013",4,0,0,0,10,5,0,1,2,1,0,1,0,1,2,67,1,2,2,1,3
"PLOD1",6,0,2,0,37,1,0,1,0,0,1,0,0,0,0,7,2,0,0,0,1
"MFN2",3,0,0,0,4,0,0,1,4,0,0,2,2,1,0,32,0,0,0,0,0
"MIIP",1,0,2,2,9,4,2,4,9,1,0,1,5,1,2,17,1,0,1,0,0
"TNFRSF8",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TNFRSF1B",21,1,18,1,5,19,2,5,25,5,0,0,8,1,2,5,0,0,18,7,2
