"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"FO538757.2",9,133,2,2,6,2,5,2,1,2,0,14,2,6,2,224,17
"AP006222.2",22,264,0,2,2,0,0,0,2,0,0,27,3,3,5,99,11
"RP4-669L17.10",0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-206L10.9",1,21,0,0,1,0,0,0,0,0,1,1,2,1,0,34,1
"LINC00115",2,26,0,0,0,0,0,0,1,0,1,3,1,1,1,35,6
"FAM41C",2,8,0,0,0,1,0,0,0,0,0,2,0,0,0,21,0
"RP11-54O7.1",0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-54O7.3",0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,301,0,0,0,0,0,0,4,0,0,3,0,0,0,3,5
"NOC2L",18,248,1,1,1,2,6,3,10,6,1,23,6,1,4,503,30
"KLHL17",0,19,0,0,0,0,0,0,0,1,0,1,0,0,0,31,2
"PLEKHN1",0,66,0,0,2,0,3,1,0,1,0,2,0,1,0,155,4
"PERM1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.17",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2
"HES4",2,80,0,0,0,0,0,0,0,0,0,15,1,2,0,80,6
"ISG15",204,1317,0,6,6,1,22,17,14,13,1,155,15,143,60,1105,150
"AGRN",6,157,0,0,0,1,1,0,0,1,0,27,1,4,0,920,56
"RNF223",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,32,0
"C1orf159",4,31,0,1,0,0,0,0,1,1,0,2,0,1,1,78,1
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-465B22.8",1,12,0,1,0,0,0,0,0,0,0,0,2,0,0,193,4
"TTLL10-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0
"TNFRSF18",3,26,0,0,9,1,19,1,0,6,13,1,1,0,148,78,2
"TNFRSF4",2,25,0,0,12,0,10,1,0,10,2,2,4,2,211,16,122
"SDF4",64,1215,1,11,5,1,10,3,10,4,2,64,25,8,19,875,90
"B3GALT6",3,59,0,0,0,0,1,0,0,0,0,5,0,0,0,99,9
"FAM132A",0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,92,22
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"UBE2J2",22,212,1,2,2,1,4,1,9,3,1,20,7,2,7,246,26
"RP5-902P8.10",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"SCNN1D",2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
"ACAP3",5,101,0,0,0,0,0,0,0,0,0,12,4,1,2,99,12
"PUSL1",15,108,0,1,0,0,3,0,1,1,0,11,2,0,4,62,7
"CPSF3L",12,235,0,1,5,0,3,0,7,3,3,29,8,4,9,361,34
"CPTP",2,86,0,1,0,0,1,0,3,2,1,6,9,1,2,127,14
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0
"DVL1",3,68,0,0,0,0,0,0,3,0,0,9,1,3,0,274,10
"MXRA8",5,2436,0,0,1,0,0,1,39,0,0,96,5,1,0,62,5
"AURKAIP1",111,942,3,10,11,1,10,6,17,7,1,109,46,19,24,1937,139
"CCNL2",19,265,0,1,2,2,7,4,1,0,0,14,6,3,2,504,41
"MRPL20",103,817,2,7,8,2,18,4,17,6,4,76,27,15,19,1237,120
"RP4-758J18.13",0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,6,1
"ANKRD65",0,66,0,0,0,0,0,0,5,0,0,1,0,1,0,11,19
"RP4-758J18.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
"VWA1",1,51,0,0,0,0,1,0,3,0,0,5,1,0,0,392,200
"ATAD3C",5,20,0,0,0,0,2,0,0,2,0,0,3,0,1,42,31
"ATAD3B",3,49,0,0,1,0,0,3,0,0,0,7,0,2,2,148,15
"ATAD3A",4,103,0,0,0,0,2,1,2,1,0,14,5,2,1,129,3
"TMEM240",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"SSU72",59,577,0,1,4,1,15,4,8,9,3,44,11,11,14,901,68
"RP5-832C2.5",2,8,1,0,0,1,0,0,0,3,0,1,0,1,0,16,4
"AL645728.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"C1orf233",2,41,0,0,1,0,0,0,0,0,0,2,2,0,0,107,1
"RP11-345P4.9",1,41,0,2,0,0,1,1,0,0,1,0,0,0,0,19,5
"MIB2",3,128,1,0,3,0,2,1,0,0,0,7,7,3,4,219,13
"MMP23B",3,1760,0,1,1,0,0,1,6,1,2,10,3,0,0,63,2
"CDK11B",13,125,1,0,2,1,1,2,2,6,1,8,2,4,2,335,27
"RP11-345P4.10",0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,8,1
"SLC35E2B",5,149,1,0,1,0,4,1,7,1,1,7,3,0,3,196,20
"RP11-345P4.7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"CDK11A",9,69,0,0,2,2,4,0,2,4,1,3,4,2,3,152,15
"SLC35E2",0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1
"NADK",14,90,1,0,2,2,2,1,5,0,1,9,3,5,2,213,18
