"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL22+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FO538757.2",2,0,1,0,0,9,35,4,0,0,4,4,17,5,4,3,2,0,1,4,22,1,2,0,2,8,0
"AP006222.2",1,0,1,0,0,5,31,1,1,1,1,0,3,2,3,1,1,0,0,1,10,3,0,0,0,13,0
"RP4-669L17.10",0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"RP11-206L10.9",0,0,1,0,0,2,4,2,0,0,1,1,1,2,0,0,1,0,2,1,5,0,0,0,0,1,2
"FAM87B",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"LINC00115",0,0,0,0,0,1,2,3,1,0,1,1,4,1,2,0,2,0,0,0,5,0,1,1,0,2,0
"FAM41C",0,1,0,0,0,0,3,2,0,0,0,3,2,1,0,0,1,0,1,1,7,0,1,0,0,2,0
"RP11-54O7.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.2",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,0,0,0,0,1,14,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"SAMD11",0,0,0,0,0,2,128,0,0,0,0,0,0,0,28,0,0,1,0,0,1,0,1,0,0,0,0
"NOC2L",0,6,1,0,0,4,37,10,0,1,10,17,59,22,5,11,5,2,2,3,107,2,7,0,5,30,1
"KLHL17",0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"PLEKHN1",0,3,0,0,0,0,6,1,1,0,0,0,4,1,0,0,1,0,0,0,5,0,0,0,0,0,0
"PERM1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.17",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,3,1,0,0,0,3,0
"HES4",31,1,50,1,0,3,91,34,2,1,32,11,63,27,10,7,18,1,11,19,199,37,0,16,9,105,41
"ISG15",41,28,56,10,1,11,240,136,3,8,15,26,420,196,19,27,62,13,33,64,44,22,10,16,52,556,10
"AGRN",0,0,3,0,0,2,21,3,0,0,2,1,3,3,0,0,0,0,0,0,17,2,0,0,0,42,0
"RP11-54O7.18",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNF223",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
"C1orf159",0,0,0,1,0,1,12,0,0,0,0,0,2,1,0,0,0,0,0,0,13,2,0,0,0,2,0
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,5,0
"TNFRSF18",1,0,3,0,0,0,4,18,2,0,9,3,117,7,0,3,9,0,12,6,5,0,14,0,32,3,0
"TNFRSF4",5,3,1,0,2,0,7,1,4,6,7,1,310,6,1,1,56,0,6,7,8,0,8,1,54,38,0
"SDF4",15,6,20,1,0,22,233,12,0,5,4,11,117,29,12,4,16,6,5,11,225,6,12,1,15,106,4
"B3GALT6",3,1,1,0,0,3,9,1,0,0,1,2,16,3,0,2,6,0,0,1,6,1,0,0,0,7,0
"FAM132A",0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,2,11,1,0,0,0,14,0
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBE2J2",2,1,6,1,0,11,49,10,1,2,3,10,50,27,5,4,7,1,3,2,65,3,7,0,3,27,2
"SCNN1D",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACAP3",2,0,2,0,0,1,21,4,0,0,2,1,13,6,2,0,2,0,1,4,15,0,1,1,0,9,1
"PUSL1",0,1,5,0,0,0,8,2,0,0,1,1,22,5,0,3,6,0,0,3,15,0,2,0,1,5,1
"CPSF3L",5,2,6,0,0,6,67,3,0,6,1,6,41,18,0,3,4,0,4,4,98,6,1,1,3,27,2
"CPTP",0,2,0,1,0,0,14,1,0,1,1,1,6,7,1,0,3,0,0,0,28,1,1,0,1,13,2
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"DVL1",2,0,0,0,0,2,5,0,0,0,1,0,1,0,1,0,0,0,0,0,20,2,1,0,0,5,0
"MXRA8",0,0,0,0,0,56,349,0,0,0,0,0,1,0,31,0,0,0,0,0,0,7,1,0,0,22,2
"AURKAIP1",19,10,26,1,0,23,138,25,6,5,16,24,92,65,10,20,12,5,7,10,448,3,20,5,10,82,8
"CCNL2",2,4,5,1,0,5,70,7,0,5,10,15,70,15,5,12,15,2,1,4,47,2,10,1,6,46,1
"MRPL20",18,7,17,5,0,21,121,26,4,10,13,39,139,53,3,18,21,3,3,13,280,13,17,5,9,56,9
"RP4-758J18.13",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKRD65",0,0,1,0,0,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,0
"VWA1",0,0,0,0,0,33,36,0,0,0,0,0,0,0,4,0,0,0,0,0,7,1,1,0,0,138,0
"ATAD3C",0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,2,0,2,0,0,2,0
"ATAD3B",0,2,4,0,0,3,4,2,0,0,1,2,10,5,1,4,2,0,0,0,26,0,2,0,2,3,0
"ATAD3A",2,0,3,0,0,4,10,4,0,0,0,1,4,5,0,0,0,0,0,1,28,1,0,0,0,12,2
"TMEM240",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SSU72",20,18,27,5,1,21,133,20,1,7,15,45,155,72,10,33,35,3,5,14,274,7,14,3,13,97,4
"RP5-832C2.5",0,0,1,0,0,0,5,0,0,0,0,0,3,5,1,0,4,0,4,0,6,0,1,1,1,5,0
"C1orf233",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"RP11-345P4.9",1,0,4,0,0,6,18,1,0,0,0,1,6,1,0,1,1,0,0,1,10,0,0,0,1,5,0
"MIB2",2,2,6,1,0,4,30,2,1,4,0,6,31,8,2,2,1,0,2,5,67,2,1,0,2,21,2
"MMP23B",0,0,0,0,0,2,168,5,0,0,0,0,5,1,7,0,0,0,1,2,7,0,0,0,0,0,0
"CDK11B",1,4,2,0,0,5,29,14,2,0,7,23,61,26,5,22,8,1,3,6,55,3,6,0,3,26,1
"RP11-345P4.10",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
"SLC35E2B",2,1,1,1,1,4,59,2,0,3,3,6,22,12,5,0,5,3,2,2,36,1,4,0,2,16,1
"RP11-345P4.7",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK11A",1,4,3,3,2,4,32,6,1,1,3,15,58,40,1,12,16,3,1,8,39,1,5,0,7,21,1
"SLC35E2",0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
"NADK",13,0,7,0,0,1,12,0,0,0,3,5,7,3,3,4,1,0,0,1,51,1,2,0,1,17,0
"GNB1",14,2,14,1,3,6,61,7,2,9,7,18,52,20,5,9,6,2,2,2,130,7,3,6,3,81,4
"RP1-140A9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"TMEM52",0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,1
"CFAP74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"GABRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1
"PRKCZ",0,0,2,1,0,1,13,1,0,4,0,3,12,5,2,3,1,1,0,0,40,0,0,0,1,9,0
"RP5-892K4.1",0,0,0,0,0,0,1,1,0,0,1,0,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0
"RP11-181G12.2",0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"FAAP20",17,3,16,1,0,8,123,10,1,3,7,14,45,32,10,14,9,1,3,8,90,7,5,1,5,63,5
"SKI",6,3,2,1,1,2,41,6,0,2,3,7,30,16,6,1,3,1,1,2,23,0,0,0,4,50,0
"MORN1",0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,4,1,1,0,0,2,1
"RER1",12,5,14,3,1,15,124,16,1,0,7,24,92,35,7,13,19,5,4,5,188,5,12,5,10,57,8
"PEX10",4,0,2,0,0,9,26,0,0,1,1,0,7,2,2,1,2,0,0,0,31,1,1,0,2,9,1
"PLCH2",0,0,0,1,0,0,3,1,0,0,0,4,6,3,0,7,1,0,1,1,3,0,0,0,1,0,0
"PANK4",0,1,0,0,0,2,8,1,0,2,0,0,3,0,0,0,1,0,1,0,9,0,0,0,0,1,0
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"RP3-395M20.12",3,0,7,0,0,0,0,5,0,0,0,3,23,8,1,4,3,2,0,4,42,5,0,2,1,7,1
"RP3-395M20.8",2,0,1,2,0,3,1,0,0,0,2,2,4,2,0,0,2,0,0,1,18,1,2,1,0,5,0
"TNFRSF14",18,2,12,1,2,3,62,7,5,7,9,11,92,20,1,14,17,6,3,3,90,1,8,5,8,30,0
"RP3-395M20.9",0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,8,0,0,0,0,0,0
