"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"FO538757.2",2,9,2,0,5,6,0,0,4,1,2,0,2,5,3,0,0,1,3,0,3,2,3,0,2,14,285,5
"AP006222.2",8,13,0,0,0,0,0,0,2,1,1,0,1,2,0,1,0,1,0,1,7,0,1,0,0,0,116,7
"RP4-669L17.10",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,8,0
"RP11-206L10.9",1,1,0,0,2,0,0,0,0,0,0,0,1,4,1,1,0,0,0,3,0,0,0,0,0,2,56,0
"FAM87B",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00115",0,1,0,0,0,0,0,0,1,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,1,60,0
"FAM41C",1,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,20,1
"RP11-54O7.1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-54O7.3",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SAMD11",0,44,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0
"NOC2L",9,25,7,1,21,4,0,3,7,2,0,1,11,21,15,5,4,10,6,3,10,1,5,2,3,28,845,6
"KLHL17",0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0
"PLEKHN1",0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,39,0
"RP11-54O7.17",1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,8,2
"HES4",155,174,1,41,5,2,0,10,6,6,12,3,3,41,2,0,9,10,2,40,64,0,89,1,3,92,271,96
"ISG15",326,508,107,131,290,85,31,15,128,108,65,24,39,265,168,7,62,110,44,94,256,70,549,31,102,708,2125,260
"AGRN",3,18,0,0,1,0,0,3,0,3,0,0,0,1,2,0,0,0,0,1,13,0,2,0,0,0,150,19
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"C1orf159",3,1,0,0,0,1,0,0,1,0,0,0,1,1,2,0,0,1,0,1,1,0,1,0,0,2,66,1
"RP11-465B22.8",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0
"TNFRSF18",1,9,4,2,96,0,1,4,117,34,13,5,0,77,4,0,25,32,14,4,0,1,12,7,17,698,59,6
"TNFRSF4",7,8,2,1,20,0,4,2,77,0,10,3,2,165,2,0,80,5,3,6,3,0,8,12,2,1192,61,74
"SDF4",47,109,4,4,35,11,1,7,29,8,7,3,4,33,15,2,19,7,5,7,30,7,13,7,7,102,1217,59
"B3GALT6",3,9,0,1,1,1,0,0,0,0,0,0,0,2,0,1,1,2,1,0,1,0,2,0,2,4,106,5
"FAM132A",0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,144,8
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"UBE2J2",10,30,3,1,15,7,1,5,8,5,3,0,6,19,10,1,4,0,5,5,14,1,3,0,10,38,547,11
"SCNN1D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ACAP3",7,10,4,0,1,1,0,1,4,0,0,1,1,3,0,0,2,1,0,0,10,0,0,1,1,2,110,6
"PUSL1",6,7,2,0,7,1,0,1,3,1,1,0,0,5,5,0,4,1,1,0,2,0,3,0,0,10,237,5
"CPSF3L",11,29,2,2,12,3,1,2,14,2,3,4,6,16,8,1,3,1,4,4,12,0,8,0,4,22,501,9
"CPTP",3,3,0,1,1,1,0,0,2,1,1,0,1,2,0,0,0,2,0,0,2,6,0,1,2,6,177,2
"TAS1R3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DVL1",3,3,0,0,1,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,3,0,0,1,1,3,144,3
"MXRA8",0,168,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,1,8,7
"AURKAIP1",95,133,10,10,54,20,5,5,28,16,17,9,19,57,32,4,20,12,11,16,41,17,45,20,19,130,3911,98
