"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"RP11-34P13.7",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FO538757.2",1,1,4,0,1,4,50,2,2,1,1,3,1,7,2,2,1,1,0,30,1,3,1,10,0
"AP006222.2",1,0,4,0,0,2,48,1,0,2,0,1,2,0,1,1,1,0,0,9,1,0,0,8,4
"RP4-669L17.10",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP11-206L10.9",0,1,1,0,0,0,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,4,1
"FAM87B",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00115",0,0,2,0,1,0,3,0,0,0,0,0,1,0,1,1,0,0,0,4,0,0,0,0,0
"FAM41C",1,1,2,0,0,2,3,1,0,0,0,1,1,1,0,0,1,0,1,3,0,0,1,3,1
"RP11-54O7.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SAMD11",0,0,0,0,0,1,81,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"NOC2L",3,1,4,1,2,1,51,7,2,1,0,12,17,18,2,8,4,2,2,54,2,6,1,23,2
"KLHL17",0,0,1,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0
"PLEKHN1",0,0,0,0,0,0,4,0,0,0,0,0,6,2,0,0,1,0,0,0,0,0,1,0,0
"PERM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP11-54O7.17",0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,4,1,0,0,7,1
"HES4",5,3,38,0,0,0,48,14,2,9,0,3,14,13,0,12,0,0,10,216,28,0,0,135,27
"ISG15",14,13,23,5,1,4,266,50,11,18,2,15,139,102,0,44,13,10,42,132,23,4,4,207,8
"AGRN",0,0,1,0,0,1,22,0,0,2,0,0,1,2,0,0,0,0,1,24,2,0,0,39,1
"RNF223",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,1,0
"C1orf159",0,0,3,0,0,0,8,0,0,1,0,0,1,1,0,0,0,1,0,9,2,0,0,3,1
"RP11-465B22.8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0
"TTLL10-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0
"TNFRSF18",0,1,1,0,1,0,7,11,0,0,2,1,41,5,0,6,2,4,2,2,0,18,3,4,0
"TNFRSF4",1,0,0,0,0,0,4,0,1,1,0,0,52,1,0,25,3,0,2,2,0,4,9,51,0
"SDF4",6,6,18,3,1,8,331,7,0,11,1,19,43,30,2,21,3,1,11,145,7,8,0,121,7
"B3GALT6",1,2,3,1,0,0,16,1,0,0,0,1,6,6,1,0,1,0,0,6,1,0,0,7,0
"FAM132A",0,0,1,0,0,0,5,0,0,0,0,0,2,1,0,0,0,0,1,11,0,0,0,11,0
"UBE2J2",4,3,7,1,1,3,66,5,0,8,0,4,18,20,2,5,2,0,5,43,4,1,0,26,4
"RP5-902P8.10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SCNN1D",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ACAP3",0,3,2,1,0,2,46,2,0,2,0,7,5,4,0,4,0,0,0,16,1,3,1,8,3
"PUSL1",1,1,2,0,1,0,17,1,0,2,0,3,4,0,0,0,0,0,6,7,0,2,2,3,0
"CPSF3L",2,1,4,0,0,2,78,2,0,7,1,8,13,9,1,6,2,1,1,45,3,2,0,21,3
"CPTP",0,2,1,0,0,0,20,2,0,6,0,3,9,5,5,3,0,0,0,36,0,0,0,11,1
"TAS1R3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"DVL1",3,0,1,0,0,1,11,0,0,0,0,2,2,2,0,0,0,0,0,33,0,0,0,9,0
"MXRA8",0,0,0,0,0,13,375,0,0,0,0,0,1,0,0,0,0,0,1,2,8,0,0,12,6
"AURKAIP1",20,6,31,3,4,4,269,12,2,20,2,49,80,62,2,14,6,1,22,360,7,21,2,118,14
"CCNL2",4,5,6,0,0,2,73,2,0,3,0,7,16,11,0,7,2,1,3,48,2,3,2,29,5
"MRPL20",11,8,18,3,0,2,240,7,2,6,1,26,58,43,0,14,11,2,12,150,7,15,3,64,14
"RP4-758J18.13",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ANKRD65",0,0,1,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0
"VWA1",0,0,0,0,0,17,36,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,98,1
"ATAD3C",0,0,0,0,0,0,4,0,0,0,0,2,2,1,0,0,0,0,0,3,0,2,0,4,0
"ATAD3B",1,0,1,1,0,0,4,4,0,0,0,6,6,1,1,0,1,1,1,13,0,3,0,2,1
"ATAD3A",1,0,4,0,0,2,14,1,0,0,0,3,6,4,0,1,2,0,0,31,1,1,0,11,0
"TMEM240",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SSU72",9,8,28,2,3,9,225,12,1,8,0,33,71,48,2,26,4,4,14,200,8,11,3,72,7
"RP5-832C2.5",0,1,0,0,1,0,7,0,0,1,0,4,5,0,0,2,1,0,0,8,0,0,0,2,0
"C1orf233",0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
"RP11-345P4.9",0,0,1,0,0,0,13,0,0,0,0,0,5,1,0,1,0,0,1,9,0,0,0,2,2
"MIB2",1,4,2,0,3,3,30,3,0,1,0,8,22,12,1,1,4,1,2,52,2,3,2,17,0
"MMP23B",0,1,0,0,0,0,323,1,0,0,0,0,0,6,0,1,0,1,3,3,1,1,0,0,0
"CDK11B",1,1,4,1,0,4,35,4,0,2,0,17,18,9,1,10,0,0,2,54,3,4,0,24,1
"RP11-345P4.10",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
"SLC35E2B",1,1,2,0,1,0,40,1,1,4,0,7,11,6,0,4,2,0,3,19,2,1,0,13,1
"CDK11A",1,2,4,2,0,1,27,11,2,0,0,13,27,20,2,4,2,1,3,51,3,5,0,22,1
"SLC35E2",0,1,1,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0,1,2,0,1,0,1,0
"NADK",2,0,4,0,0,1,23,0,1,0,0,8,1,5,0,0,0,0,1,41,0,3,0,17,1
"GNB1",5,3,14,1,2,7,119,3,3,11,0,10,35,33,2,7,3,0,9,93,2,3,2,94,10
"RP1-140A9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TMEM52",0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,10,1,0,0,2,0
"CFAP74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"GABRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
"PRKCZ",0,2,1,0,0,0,13,1,0,5,0,3,4,7,0,0,0,0,2,47,0,1,0,8,0
"RP5-892K4.1",0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,1,2,0,0,0,0,0
"RP11-181G12.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"FAAP20",12,7,16,0,1,7,186,7,0,5,2,18,37,20,1,9,4,2,8,54,7,6,2,39,6
"SKI",2,3,2,1,0,0,77,3,0,1,0,8,16,13,2,1,3,1,11,21,3,1,1,54,8
"MORN1",0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"RER1",14,6,19,1,3,5,191,11,0,11,0,16,25,37,0,4,3,0,5,131,2,4,1,51,10
"PEX10",1,1,1,0,0,0,24,0,0,5,0,1,2,3,0,0,0,0,0,14,1,4,0,12,1
"PLCH2",0,0,0,0,1,0,0,1,0,0,0,2,2,2,0,1,0,0,0,2,0,0,0,0,0
"PANK4",0,0,0,0,0,0,8,1,0,0,0,1,1,2,1,1,0,0,1,7,0,0,0,3,0
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0
"RP3-395M20.12",1,5,8,2,0,0,3,2,0,6,0,5,12,7,0,5,0,0,6,28,7,3,0,5,0
"RP3-395M20.8",0,0,1,0,0,0,3,1,0,0,0,0,4,2,0,1,0,0,0,22,0,1,0,3,1
"TNFRSF14",7,6,19,0,1,2,90,3,3,7,1,24,28,24,5,16,3,2,5,83,2,2,2,35,1
"RP3-395M20.9",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,7,0,1,0,1,0
"FAM213B",3,1,1,0,0,2,6,2,0,3,0,1,3,3,1,0,0,0,0,30,0,1,1,6,2
"MMEL1",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
"TTC34",0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"LINC00982",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"PRDM16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
"RP11-22L13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ARHGEF16",0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,52,0,1,0,0,1
"MEGF6",0,0,0,0,0,3,5,0,0,4,0,0,1,3,0,0,0,0,0,2,0,1,0,1,0
"RP11-46F15.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TPRG1L",2,2,0,0,0,1,37,0,0,1,0,0,6,4,0,1,0,0,2,31,0,0,0,15,2
"WRAP73",0,2,2,1,0,0,12,2,0,0,0,4,5,6,1,1,1,0,1,13,1,0,1,11,0
"TP73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TP73-AS1",0,1,1,0,0,0,28,0,0,2,0,0,3,1,0,2,0,0,0,0,2,1,0,6,0
"SMIM1",1,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0
"LRRC47",1,2,0,0,0,1,48,3,1,4,1,5,12,10,0,2,0,0,1,31,3,1,0,14,6
"CEP104",0,2,1,0,0,0,23,1,0,1,0,4,12,7,1,1,1,0,2,19,2,1,0,11,0
"DFFB",0,0,0,0,0,1,5,0,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0,3,0
"C1orf174",1,2,3,0,2,1,28,1,0,0,0,4,6,3,0,1,0,0,3,15,0,0,1,7,0
"LINC01134",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"AJAP1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NPHP4",1,0,2,0,0,0,6,0,0,1,0,1,1,1,0,1,0,0,0,2,0,0,0,5,1
