"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FO538757.2",23,8,0,3,0,1,2,0,3,2,4,0,4,1,2,0,3,4,30,17,169,10
"AP006222.2",27,8,0,2,0,0,0,1,1,0,1,0,4,0,0,0,0,9,9,2,42,10
"RP4-669L17.10",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"RP11-206L10.9",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,4,1,8,1
"LINC00115",2,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,12,0,12,2
"FAM41C",3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,1,22,0
"RP11-54O7.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"NOC2L",35,26,3,3,0,5,3,1,24,11,5,0,8,1,3,2,6,14,32,30,378,38
"KLHL17",1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,0
"PLEKHN1",3,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0,0,1,59,2
"PERM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-54O7.17",9,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,19,2
"HES4",137,40,0,9,2,2,0,0,0,16,2,1,5,0,2,0,44,38,161,19,393,36
"ISG15",4680,321,45,148,111,168,64,19,155,557,167,20,104,1,9,5,147,369,2989,667,5166,459
"AGRN",19,19,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0,22,8,1,141,56
"RP11-54O7.18",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"RNF223",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,117,0
"C1orf159",5,5,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,2,1,4,44,3
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"RP11-465B22.8",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,57,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
"TNFRSF18",10,0,0,13,14,2,1,13,4,46,4,1,26,4,2,0,0,0,23,475,23,3
"TNFRSF4",18,2,0,13,1,0,0,9,0,76,1,1,41,0,1,1,9,2,25,867,25,90
"SDF4",164,74,4,22,4,5,5,2,14,53,9,2,20,1,4,2,9,35,115,70,568,106
"B3GALT6",25,5,0,5,0,2,1,0,0,4,0,0,7,0,1,0,5,2,12,7,93,13
"FAM132A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,79,6
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"UBE2J2",34,18,2,2,4,7,2,2,15,15,2,4,18,1,1,0,7,11,41,30,256,25
"RP5-902P8.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCNN1D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1
"ACAP3",14,4,1,1,0,0,1,1,3,4,1,0,2,0,0,0,4,8,11,3,145,19
"PUSL1",18,8,0,1,0,0,0,0,6,4,0,0,2,0,0,0,2,6,7,8,110,9
"CPSF3L",30,13,1,4,2,4,0,1,9,8,2,1,2,0,2,2,8,14,22,30,215,30
"CPTP",8,6,1,0,1,1,0,0,1,2,2,0,3,2,0,0,2,0,5,5,161,14
"TAS1R3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
"DVL1",5,9,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,12,0,214,11
"MXRA8",0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,1,2
"AURKAIP1",337,126,5,46,13,19,7,2,35,52,14,8,36,1,1,3,23,71,251,94,2078,164
"CCNL2",27,10,5,9,4,3,5,2,9,8,3,1,7,0,1,0,4,9,16,26,341,56
"MRPL20",297,87,5,42,8,9,11,0,32,41,12,4,24,2,4,4,24,39,179,101,1247,129
"RP4-758J18.13",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,6,2
"ANKRD65",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15
"VWA1",4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,125,336
"ATAD3C",2,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,2,60,5
"ATAD3B",18,6,1,1,1,0,1,0,5,2,1,0,0,0,0,2,3,3,16,6,184,5
"ATAD3A",24,23,1,4,0,1,1,0,1,1,0,1,3,0,0,0,5,5,15,5,277,22
"TMEM240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"SSU72",214,70,4,26,5,10,9,2,32,49,13,5,25,7,3,4,17,35,175,96,1390,95
"RP5-832C2.5",7,4,0,1,0,0,0,0,0,5,1,0,3,0,0,0,2,0,9,6,35,4
"C1orf233",6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,123,1
"RP11-345P4.9",6,1,0,1,0,1,0,0,2,1,0,0,0,0,0,0,1,4,6,2,23,4
"MIB2",26,2,0,2,0,2,3,0,0,6,1,3,4,0,1,0,4,5,15,8,251,19
"MMP23B",2,52,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,4,0,0,3,1
"CDK11B",22,20,0,1,1,1,2,0,10,4,2,0,7,0,0,1,5,4,22,12,204,20
"RP11-345P4.10",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0
"SLC35E2B",11,14,1,4,1,0,2,0,6,6,4,0,6,0,0,0,3,7,11,11,151,18
"RP11-345P4.7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK11A",26,8,4,3,1,4,3,1,13,13,3,1,9,1,2,0,4,0,25,21,148,15
"SLC35E2",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,1,1,9,1
"NADK",95,8,0,3,1,2,2,0,8,3,3,2,1,0,0,0,9,4,43,8,231,21
"GNB1",261,56,1,30,6,3,6,2,16,22,7,1,13,2,2,2,28,28,250,25,646,152
"TMEM52",1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,123,0
"CFAP74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
"RP11-547D24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"GABRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2
"PRKCZ",1,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,107,8
"RP5-892K4.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"RP11-181G12.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"FAAP20",137,66,1,19,1,5,4,2,19,16,6,3,12,0,1,0,21,35,129,33,452,99
"SKI",23,12,0,2,0,4,3,0,3,7,4,1,0,2,0,1,3,9,36,6,89,39
"MORN1",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,7,2
"RER1",237,71,2,20,4,9,4,3,12,32,11,0,17,1,2,0,17,32,176,53,752,68
"PEX10",22,6,0,3,1,0,1,0,3,2,1,0,0,0,0,0,0,2,12,3,120,15
"PLCH2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,5,0
"PANK4",5,2,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,5,2,16,2
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"RP3-395M20.12",26,1,1,2,0,0,1,0,8,2,0,1,4,0,1,3,0,6,55,14,69,6
"RP3-395M20.8",8,1,0,1,1,0,0,0,3,0,0,0,1,1,0,0,0,0,2,4,43,5
"TNFRSF14",121,10,3,10,3,5,4,2,23,27,6,4,24,1,4,4,5,9,101,61,263,38
"RP3-395M20.9",4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,10,0
"FAM213B",22,5,0,2,1,0,0,0,3,2,0,0,0,0,0,0,0,5,34,3,162,18
"MMEL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0
"TTC34",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00982",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"PRDM16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"RP11-22L13.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"ARHGEF16",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,134,0
"RP11-168F9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MEGF6",3,4,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,1,58,4
