"","CD8aa IELs","cDCs","Double-Negative Tcells","Fibroblasts","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs"
"RP11-34P13.7",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"FO538757.2",2,0,1,7,2,2,17,5,4,4,4,0,3,0,0,0,0,2
"AP006222.2",0,0,0,3,1,1,9,2,3,1,0,0,1,0,0,0,0,6
"RP4-669L17.10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"RP11-206L10.9",0,0,0,0,0,2,1,1,1,2,0,1,1,0,0,0,0,2
"FAM87B",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00115",1,0,0,2,1,1,4,2,3,3,1,1,0,1,1,0,0,0
"FAM41C",0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,0,0,0
"RP11-54O7.3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SAMD11",0,0,0,26,0,0,1,0,0,0,0,0,0,0,0,0,0,3
"NOC2L",6,3,2,22,8,16,52,29,17,37,15,5,12,8,6,1,6,12
"KLHL17",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"PLEKHN1",0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0
"RP11-54O7.17",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"HES4",3,25,1,10,8,3,40,11,8,17,2,4,17,8,0,2,8,6
"ISG15",48,53,25,88,52,27,319,210,23,157,48,28,92,7,6,24,81,102
"AGRN",0,1,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,5
"C1orf159",0,1,0,1,0,0,4,3,2,2,0,0,3,1,0,0,3,0
"RP11-465B22.8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"TTLL10-AS1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TTLL10",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"TNFRSF18",6,15,1,2,9,1,153,14,2,5,3,11,10,2,10,0,72,2
"TNFRSF4",2,10,7,0,1,0,443,17,2,112,1,3,1,2,2,3,294,39
"SDF4",13,20,3,60,7,11,126,47,8,51,7,7,25,11,29,2,19,41
"B3GALT6",2,3,2,4,2,2,30,10,1,10,2,2,3,1,0,0,6,6
"FAM132A",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
"RP5-902P8.12",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"UBE2J2",6,4,1,30,3,11,58,22,10,22,8,3,3,8,4,1,8,14
"RP5-902P8.10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SCNN1D",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"ACAP3",1,1,0,7,2,4,13,3,1,6,1,1,1,2,2,0,2,0
"PUSL1",1,0,0,3,4,4,21,11,0,9,1,0,4,2,3,0,3,0
"CPSF3L",8,4,0,11,3,9,27,9,3,12,3,2,4,4,3,0,2,7
"CPTP",2,0,0,2,1,3,13,3,4,6,1,1,2,3,1,0,1,0
"TAS1R3",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"DVL1",0,0,0,3,1,0,2,2,0,1,1,0,0,3,1,0,0,1
"MXRA8",1,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"AURKAIP1",19,16,4,40,13,28,157,70,29,62,7,11,23,54,19,8,20,26
"CCNL2",13,3,2,22,5,8,42,20,15,15,6,3,6,4,3,1,3,8
"MRPL20",14,7,4,48,17,44,157,70,23,89,16,12,29,20,15,4,21,36
"ANKRD65",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"VWA1",1,0,0,11,1,0,0,0,0,1,0,0,0,2,0,0,0,73
"ATAD3C",0,1,0,1,0,1,0,2,0,0,0,0,2,0,2,0,0,1
"ATAD3B",2,3,0,0,1,6,16,9,1,6,0,2,2,3,5,0,2,2
"ATAD3A",2,2,0,6,0,6,6,5,3,5,1,0,2,2,2,0,3,2
"SSU72",18,14,4,46,13,46,151,96,25,110,18,21,23,14,5,5,22,24
"RP5-832C2.5",1,1,0,2,0,2,10,4,2,4,2,1,3,0,0,1,0,0
"C1orf233",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RP11-345P4.9",1,0,0,5,0,2,4,3,4,5,0,0,1,0,0,0,2,0
"MIB2",8,1,1,9,1,3,19,12,3,10,2,5,6,3,1,1,4,5
"MMP23B",0,0,1,63,1,1,1,1,0,0,0,1,1,0,0,0,0,0
"CDK11B",3,4,4,9,5,23,49,30,14,25,7,6,12,7,1,2,2,3
"RP11-345P4.10",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"SLC35E2B",1,0,2,7,2,4,16,7,3,7,0,0,4,0,2,0,1,1
"RP11-345P4.7",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CDK11A",12,1,5,9,6,20,56,33,17,37,8,6,13,6,3,2,4,8
"SLC35E2",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"NADK",2,3,0,4,0,7,8,8,8,4,1,0,1,2,2,2,2,6
"GNB1",9,16,3,23,3,14,67,28,14,27,3,9,10,13,1,9,13,25
"TMEM52",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
"GABRD",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRKCZ",1,1,0,3,1,3,5,2,1,3,0,0,0,0,0,0,0,3
"RP5-892K4.1",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"RP11-181G12.2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAAP20",3,11,3,43,4,21,61,32,7,30,15,4,12,6,4,2,8,10
"SKI",5,2,1,15,3,14,36,15,4,11,4,0,12,2,1,3,4,18
"MORN1",1,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,1,0
"RER1",11,7,5,37,6,18,74,32,8,32,8,6,12,14,12,5,9,17
"PEX10",1,1,0,3,0,3,4,1,3,4,0,0,0,0,0,0,1,2
"PLCH2",1,0,0,0,2,0,3,0,2,1,0,1,2,0,0,0,0,0
"PANK4",0,0,0,4,0,2,5,0,0,1,0,0,0,2,1,0,0,0
"RP3-395M20.12",5,7,1,0,1,17,36,15,6,9,1,3,5,2,0,0,5,2
"RP3-395M20.8",0,0,0,2,0,5,3,2,0,1,0,0,2,2,1,0,0,2
"TNFRSF14",16,11,2,18,8,30,120,59,22,64,11,8,10,9,8,3,22,18
"RP3-395M20.9",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1
