"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells"
"FO538757.2",20,15,1,4,4,0,7,0,2,2,4,0,9,1,2,2,7,1,47,81
"AP006222.2",23,27,1,0,0,0,3,0,2,0,6,0,1,1,2,0,3,0,11,54
"RP4-669L17.10",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"RP11-206L10.9",0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,15
"FAM87B",5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"LINC00115",4,7,1,1,0,0,0,0,1,0,3,0,3,0,0,0,3,0,7,15
"FAM41C",4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,4
"RP11-54O7.1",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6
"RP11-54O7.3",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1
"NOC2L",20,27,3,3,5,3,7,6,5,2,10,2,18,4,3,4,9,4,51,322
"KLHL17",1,4,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,4,7
"PLEKHN1",3,3,0,0,0,0,2,0,0,0,2,0,1,1,0,0,0,1,14,7
"PERM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-54O7.17",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
"HES4",20,148,0,0,1,0,2,4,0,0,3,0,9,5,54,0,9,0,12,59
"ISG15",375,184,25,16,42,6,47,43,10,11,59,7,85,25,63,14,156,16,445,1222
"AGRN",8,27,0,0,0,0,0,1,0,0,2,0,0,0,9,0,1,0,1,95
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"C1orf159",4,6,1,0,0,1,1,0,1,2,0,0,1,1,0,0,0,0,6,45
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
"TTLL10-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,9
"TNFRSF18",3,4,2,21,0,0,62,8,0,5,7,3,71,2,1,0,1,1,499,12
"TNFRSF4",1,6,0,3,0,1,34,1,0,0,3,3,2,0,0,0,2,0,649,2
"SDF4",79,159,4,2,6,5,19,4,1,3,11,6,39,4,20,5,15,3,125,459
"B3GALT6",9,16,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2,1,11,67
"FAM132A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"UBE2J2",14,52,2,1,1,2,8,3,2,1,10,1,19,3,9,0,15,1,55,153
"SCNN1D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACAP3",6,12,2,0,0,2,0,0,2,2,1,1,4,1,6,0,4,2,13,67
"PUSL1",9,13,0,0,0,0,0,2,0,1,2,0,5,2,0,0,2,0,16,114
"CPSF3L",22,44,6,3,1,4,6,3,4,3,5,2,13,3,5,3,6,1,62,240
"CPTP",7,14,2,1,1,0,4,2,1,1,1,0,2,1,3,2,0,1,20,41
"TAS1R3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"DVL1",6,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,2,92
"MXRA8",1,444,1,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,2,7
"AURKAIP1",179,147,12,4,5,4,14,22,11,5,26,8,39,12,29,15,53,4,193,1054
"CCNL2",9,34,2,4,0,1,5,3,3,0,2,0,5,8,5,2,1,2,67,165
"MRPL20",174,166,7,6,5,1,16,20,9,11,21,10,37,14,22,3,55,6,180,852
"RP4-758J18.13",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ANKRD65",1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP4-758J18.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"VWA1",1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137
"ATAD3C",0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,5,2
"ATAD3B",4,6,1,0,1,0,1,0,0,0,1,0,1,0,3,1,2,2,15,60
"ATAD3A",11,18,3,1,0,0,3,2,1,0,1,0,7,1,7,1,2,1,14,149
"SSU72",111,143,6,5,16,6,16,20,17,7,23,9,39,16,17,0,31,10,211,609
"RP5-832C2.5",5,1,0,0,0,0,0,0,0,0,1,3,2,2,0,0,0,2,18,14
