"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"FO538757.2",1,2,1,1,9,37,0,4,12,12,2,3,3,5,2,0,0,15,0,0,0,2,26,3
"AP006222.2",1,0,0,0,10,50,3,4,4,2,5,2,1,3,0,0,1,8,2,0,0,0,43,5
"RP4-669L17.10",0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"RP11-206L10.9",0,0,0,0,0,6,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,4,3
"FAM87B",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LINC00115",0,0,0,0,0,3,0,0,0,3,0,1,2,0,0,0,0,1,0,1,0,0,2,0
"FAM41C",0,0,0,0,1,5,4,0,3,4,2,0,0,0,0,0,0,2,0,0,0,0,1,0
"RP11-54O7.3",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,0,0,0,3,99,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,0
"NOC2L",1,7,1,2,6,54,19,5,26,45,26,1,20,28,5,4,6,67,1,0,3,7,43,11
"KLHL17",0,0,0,0,0,6,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"PLEKHN1",0,0,0,0,0,5,2,0,0,3,1,0,0,0,0,0,0,2,1,1,0,0,1,0
"PERM1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.17",0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,12,1
"HES4",9,1,15,0,12,51,119,8,25,74,17,13,15,37,1,18,19,97,11,0,0,8,230,78
"ISG15",18,45,39,20,57,383,441,42,64,551,245,13,69,173,23,61,53,115,6,9,7,54,759,15
"AGRN",0,0,0,0,3,21,3,2,1,1,0,4,0,0,0,1,1,11,2,0,0,0,52,1
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0
"C1orf159",0,0,0,0,0,7,0,4,0,3,0,0,1,1,0,0,0,4,0,0,0,0,4,0
"RP11-465B22.8",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"TTLL10",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0
"TNFRSF18",1,1,0,1,0,7,65,0,9,98,4,1,4,7,0,4,17,2,0,9,1,25,8,0
"TNFRSF4",0,0,0,0,2,12,0,9,4,179,2,0,2,36,0,0,5,4,0,4,1,44,147,2
"SDF4",4,14,4,6,28,413,45,25,21,81,25,13,12,31,3,4,10,101,3,5,4,10,220,12
"B3GALT6",1,0,0,0,3,19,1,1,2,11,4,1,2,6,0,0,1,7,0,0,0,0,20,1
"FAM132A",0,0,0,0,0,2,0,0,2,2,2,0,0,0,0,0,1,13,0,0,0,0,7,1
"RP5-902P8.12",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"UBE2J2",0,4,2,1,9,75,16,12,15,26,18,3,3,11,3,1,3,39,2,3,5,7,60,2
"SCNN1D",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ACAP3",0,2,0,0,1,32,2,1,3,4,4,4,1,5,0,0,0,10,0,1,0,0,16,3
"PUSL1",0,3,2,1,0,16,6,2,7,11,2,0,2,4,0,3,1,8,0,0,0,2,12,1
"CPSF3L",3,1,1,0,7,82,10,10,10,34,12,2,5,14,0,2,0,55,1,1,3,5,50,4
"CPTP",0,0,0,0,4,19,6,3,11,10,4,1,4,4,0,1,2,24,0,2,1,0,16,2
"TAS1R3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DVL1",0,0,0,1,1,13,0,1,0,3,0,0,1,0,0,0,0,19,0,0,0,0,15,0
"MXRA8",0,0,0,0,47,312,0,0,0,0,0,17,0,0,0,0,0,1,2,1,0,0,27,7
"AURKAIP1",4,14,11,1,24,261,52,34,51,104,62,11,29,41,2,5,18,351,3,11,14,20,189,19
"CCNL2",2,8,2,1,5,92,23,5,22,41,23,2,16,26,0,5,5,29,0,2,0,6,51,6
"MRPL20",7,13,3,5,40,288,63,34,56,112,37,11,32,56,4,12,20,191,2,10,7,13,200,32
"RP4-758J18.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ANKRD65",0,0,0,0,2,28,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,30,0
"RP4-758J18.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"VWA1",0,0,0,0,40,48,1,0,0,0,0,12,0,0,0,0,0,6,1,0,0,0,267,0
"ATAD3C",1,1,0,1,1,4,4,2,3,0,0,0,0,2,0,2,0,2,0,2,0,1,18,0
"ATAD3B",1,0,0,0,3,8,2,3,2,9,6,0,4,3,0,1,0,30,0,0,0,1,10,1
"ATAD3A",0,2,0,0,2,21,0,2,0,5,1,1,7,2,0,1,0,29,0,1,0,1,16,3
"TMEM240",0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0
"SSU72",4,16,10,9,36,234,51,22,75,126,52,12,37,59,7,5,12,140,2,1,14,12,167,12
"RP5-832C2.5",0,2,0,1,2,7,8,0,12,11,5,1,2,6,0,0,1,9,0,0,0,0,2,2
"C1orf233",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"RP11-345P4.9",1,0,0,0,4,19,0,0,3,5,1,3,2,3,0,0,0,7,0,0,0,0,6,1
"MIB2",0,3,0,1,7,39,12,3,9,24,8,2,6,15,0,2,3,38,0,3,0,2,26,1
"MMP23B",0,0,0,1,0,296,3,1,0,2,2,4,0,1,0,0,1,5,0,1,0,0,2,0
"CDK11B",0,4,2,2,6,64,14,8,36,48,22,1,21,29,0,4,6,44,1,4,2,7,64,4
"RP11-345P4.10",0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"SLC35E2B",0,5,1,0,4,58,9,0,10,10,10,2,10,7,0,2,3,12,0,0,2,3,23,3
"RP11-345P4.7",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
"CDK11A",0,3,2,2,2,36,11,2,30,44,24,1,24,22,2,2,5,19,1,2,1,6,46,0
"SLC35E2",0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"NADK",2,0,0,1,1,25,3,3,16,5,1,1,3,1,0,2,2,25,0,1,0,1,20,2
"GNB1",8,8,7,4,18,131,22,25,27,39,19,8,20,14,0,2,6,81,3,3,5,6,136,12
"RP1-140A9.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CALML6",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"TMEM52",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0
"CFAP74",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABRD",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
"PRKCZ",0,2,0,0,0,32,4,3,1,4,3,0,2,0,0,0,0,22,1,0,0,0,8,2
"RP5-892K4.1",0,0,0,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-181G12.2",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
"FAAP20",6,4,4,3,22,220,17,14,41,47,21,9,27,26,2,1,1,57,4,3,3,8,114,13
"RP11-181G12.4",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SKI",0,3,0,0,8,73,20,11,17,29,16,5,4,8,1,3,2,15,1,0,1,0,110,9
"MORN1",0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0
"RER1",4,4,3,2,16,206,17,16,28,71,23,13,17,27,3,2,9,145,1,6,6,17,113,15
"PEX10",1,1,0,0,2,22,1,1,1,7,4,1,4,3,0,2,1,8,0,0,1,0,25,3
"PLCH2",0,1,0,0,0,0,5,0,6,2,0,0,1,0,0,0,0,0,0,0,0,2,2,0
"PANK4",0,0,0,0,3,8,1,0,7,1,1,1,1,1,0,1,0,8,0,1,0,0,11,1
"HES5",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1
"RP3-395M20.12",1,4,1,0,1,2,12,3,8,17,15,0,4,6,0,1,1,17,2,1,0,2,23,5
"RP3-395M20.8",0,0,0,0,1,4,3,1,7,7,1,0,0,2,0,2,1,14,0,1,0,2,5,1
"TNFRSF14",8,10,4,5,9,77,21,32,41,79,25,1,27,39,3,2,7,39,0,5,1,12,81,0
"RP3-395M20.9",0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,0,5,0
"FAM213B",1,0,0,0,0,11,0,4,1,4,1,1,1,1,0,0,0,18,1,0,0,2,26,3
"MMEL1",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,8,0
"TTC34",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"LINC00982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
