"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"FO538757.2",14,10,2,1,0,3,1,3,1,0,1,1,5,13,2,0,6,1,0,1,2,2,4,0,1,1,0,0,7,116,11
"AP006222.2",26,11,1,2,0,0,0,0,0,2,0,0,3,1,1,0,0,0,0,1,0,0,14,2,1,0,0,0,0,83,14
"RP4-669L17.10",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
"RP11-206L10.9",5,0,0,1,0,0,0,0,1,0,0,0,0,6,1,0,2,0,0,1,0,1,1,1,0,1,0,0,2,9,0
"FAM87B",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LINC00115",3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,16,0
"FAM41C",3,2,1,0,0,0,0,1,0,1,0,0,1,5,1,3,1,0,1,1,0,0,0,0,0,0,0,0,1,17,1
"RP11-54O7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,14,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"NOC2L",39,16,22,11,6,6,6,5,9,15,1,1,29,88,25,9,41,3,7,8,4,6,15,27,3,4,2,2,37,515,28
"KLHL17",2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,6,0
"PLEKHN1",0,1,0,1,2,0,0,0,0,1,0,1,0,4,0,0,1,0,0,0,2,0,1,4,1,0,0,0,2,31,0
