"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs"
"RP11-34P13.7",0,0,0,0,0,0,1,0,0,3,0,2,0,2,0,0,0,0,0,0,0,0,1,0
"FO538757.2",2,0,0,0,0,0,24,3,2,19,4,8,4,14,2,0,2,4,1,0,1,1,1,5
"AP006222.2",0,1,0,0,0,3,18,0,0,7,3,3,2,6,1,0,1,0,1,0,0,2,1,2
"RP4-669L17.10",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"RP11-206L10.9",0,0,0,0,0,0,0,0,1,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0
"FAM87B",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00115",0,1,1,0,0,0,0,1,0,2,4,1,0,2,0,0,2,0,0,0,0,0,0,1
"FAM41C",0,0,0,0,0,0,6,1,1,13,4,5,0,6,0,0,3,1,0,0,0,0,0,7
"RP11-54O7.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,0,0,0,0,1,41,0,0,0,0,0,7,0,0,0,0,2,1,0,0,0,0,0
"NOC2L",2,4,2,3,5,4,27,7,5,55,39,38,2,57,9,5,7,11,2,2,3,10,5,21
"KLHL17",0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,1,0,0,0,1,1,0,0
"PLEKHN1",0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
"PERM1",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.17",1,1,0,0,1,0,1,1,0,0,4,0,0,0,2,0,1,0,0,0,1,0,0,3
"HES4",7,3,20,1,2,7,24,29,16,13,34,23,5,17,12,2,29,6,10,0,23,0,14,34
"ISG15",2,36,36,46,3,6,119,71,6,90,207,193,7,88,24,9,82,10,9,19,43,8,31,279
"AGRN",0,1,0,0,0,1,10,2,0,1,2,2,0,0,1,0,2,3,2,0,0,0,0,35
"RP11-54O7.18",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"RNF223",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
"C1orf159",0,0,0,0,0,1,2,1,0,1,3,1,0,1,2,0,0,0,0,0,0,1,0,1
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"TTLL10-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TTLL10",0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,4
"TNFRSF18",0,4,1,0,1,0,2,43,22,9,80,2,1,1,8,3,25,0,0,7,2,0,71,7
"TNFRSF4",0,0,1,0,0,0,6,1,15,6,152,5,0,1,37,0,2,0,0,3,2,0,121,89
"SDF4",5,15,7,2,3,15,151,21,12,43,68,54,3,36,18,5,19,14,4,12,4,7,15,82
"B3GALT6",0,2,0,1,1,1,12,2,0,8,10,13,0,1,2,0,5,3,0,2,0,0,2,4
"FAM132A",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,16
"UBE2J2",0,2,1,4,0,2,32,5,3,24,22,12,1,17,3,2,6,6,2,2,1,2,4,19
"SCNN1D",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACAP3",0,3,0,0,1,2,28,0,0,3,5,5,0,2,1,0,3,1,1,1,2,0,4,8
"PUSL1",0,2,0,0,0,0,8,2,1,7,10,5,0,14,4,0,3,2,1,0,2,2,2,1
"CPSF3L",3,2,1,0,1,2,39,8,2,16,7,21,1,12,7,1,4,3,0,3,2,6,4,21
"CPTP",1,0,0,2,0,0,6,1,1,9,11,5,0,3,3,1,5,0,0,1,1,5,0,7
"TAS1R3",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"DVL1",0,0,0,0,0,1,3,0,0,1,0,3,0,0,1,0,0,0,0,2,0,0,2,7
"MXRA8",0,0,0,0,0,12,259,0,0,0,0,2,10,1,0,0,0,1,4,0,0,0,0,6
"AURKAIP1",6,23,15,5,7,17,80,22,10,76,61,85,2,43,11,3,30,39,1,23,7,22,24,79
"CCNL2",2,7,0,0,2,3,41,9,7,39,25,22,8,28,5,7,10,9,3,5,2,5,1,26
"MRPL20",8,30,6,4,4,13,115,18,11,86,74,93,7,48,23,6,26,26,3,16,7,21,12,49
"RP4-758J18.13",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKRD65",0,0,1,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"VWA1",0,0,0,0,0,20,16,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,125
"ATAD3C",0,0,0,0,0,0,2,2,0,6,0,3,0,1,0,0,4,0,0,4,0,0,0,1
"ATAD3B",0,0,1,1,0,1,5,1,0,9,5,7,1,12,1,1,2,2,0,3,2,3,0,6
"ATAD3A",0,2,1,1,0,0,6,0,1,2,6,2,1,6,1,1,1,1,0,1,3,4,1,3
"TMEM240",0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SSU72",1,19,7,4,1,6,69,22,11,106,79,119,1,84,24,6,45,17,3,6,13,20,20,63
"RP5-832C2.5",0,1,0,1,0,0,2,0,0,8,4,4,0,8,2,0,0,0,0,1,0,1,1,0
"C1orf233",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"RP11-345P4.9",0,0,1,0,0,2,4,0,0,2,3,3,0,5,4,1,0,3,1,0,1,0,0,2
"MIB2",1,3,2,1,0,0,12,5,1,15,15,20,1,12,3,1,8,4,0,1,0,3,1,17
"MMP23B",0,1,0,0,0,0,217,8,0,2,2,3,6,1,1,1,2,0,0,0,0,0,0,0
"CDK11B",2,4,0,2,0,2,22,2,5,53,26,24,0,59,7,2,11,6,0,1,4,10,3,22
"RP11-345P4.10",0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
"SLC35E2B",1,3,1,1,0,0,23,10,0,18,18,23,1,14,2,1,3,0,1,4,0,4,4,11
"RP11-345P4.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CDK11A",1,14,1,3,1,0,20,10,5,50,25,41,0,55,7,1,17,7,0,6,6,8,9,23
"SLC35E2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NADK",2,2,1,0,1,1,7,2,0,11,3,6,1,24,0,1,2,7,0,2,6,5,0,8
"GNB1",7,22,1,3,5,8,54,13,5,52,58,48,4,33,11,1,12,8,1,4,6,15,7,85
"RP1-140A9.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CALML6",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"TMEM52",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"CFAP74",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"GABRD",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"PRKCZ",1,1,1,2,0,0,2,0,1,8,9,3,0,7,4,0,2,1,0,0,0,0,3,10
"RP5-892K4.1",0,0,0,0,0,0,1,1,0,2,0,1,0,4,0,0,0,1,0,0,0,0,0,0
"RP11-181G12.2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAAP20",9,15,7,2,3,5,89,12,5,41,31,42,3,34,4,3,11,6,1,7,6,7,13,43
"SKI",1,7,1,1,1,3,28,8,3,32,19,24,3,14,6,4,15,0,4,1,4,1,0,32
"MORN1",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
"RER1",6,7,3,1,2,6,91,10,5,46,42,38,4,31,9,2,19,20,1,7,9,11,10,43
"PEX10",2,0,0,0,0,2,14,0,2,4,0,2,0,6,2,0,0,3,1,0,1,1,0,7
"PLCH2",0,1,0,0,0,0,0,2,0,8,1,0,0,3,1,1,1,1,0,0,0,0,1,0
"PANK4",0,0,0,0,0,2,0,0,0,2,3,5,0,2,0,1,0,1,0,1,0,0,0,2
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
"RP3-395M20.12",3,6,2,0,0,1,2,5,0,30,15,18,0,19,6,2,10,0,1,1,7,1,3,4
"RP3-395M20.8",0,1,0,0,0,0,1,1,0,5,7,3,0,2,0,1,2,0,0,0,0,1,1,0
"TNFRSF14",7,18,7,6,2,4,51,6,4,78,59,52,2,70,16,1,11,7,0,14,14,8,21,38
"RP3-395M20.9",0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,1,0
"FAM213B",1,0,0,0,1,0,3,0,1,3,5,2,0,4,0,1,1,0,0,1,1,0,1,8
"MMEL1",0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,2
"TTC34",0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0
"LINC00982",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"PRDM16",0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"ARHGEF16",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0
"MEGF6",0,0,0,0,0,3,11,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,2
"TPRG1L",0,2,0,0,0,0,9,3,0,9,5,4,2,4,1,0,0,3,0,0,0,0,1,10
"WRAP73",0,0,0,1,0,0,14,4,0,9,7,9,2,6,5,0,2,2,1,0,2,3,2,8
"TP73",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TP73-AS1",0,0,0,0,0,1,12,0,1,5,4,1,0,7,1,1,0,0,0,2,0,0,1,6
"SMIM1",0,0,0,0,0,0,8,2,6,1,0,0,1,2,0,0,1,0,0,0,0,0,0,1
"LRRC47",1,2,0,0,3,2,17,1,2,9,7,12,0,7,4,4,6,1,0,1,0,9,2,10
"CEP104",0,3,1,1,0,1,9,0,1,6,7,11,1,7,0,3,1,1,1,3,0,3,0,8
"DFFB",0,1,0,0,0,0,2,0,0,2,1,0,0,1,1,0,2,0,0,0,0,0,0,1
"C1orf174",0,4,1,0,0,2,8,4,1,6,4,11,0,3,3,1,6,2,0,1,1,3,1,2
"LINC01134",0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AJAP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NPHP4",0,0,0,0,0,0,3,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,1
"KCNAB2",1,4,1,1,4,0,4,4,1,8,23,23,0,15,2,2,3,0,0,4,5,3,2,2
"CHD5",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RPL22",42,212,119,43,50,60,1148,220,141,1893,1209,872,80,1514,475,39,308,207,38,128,124,276,233,558
"RP1-120G22.11",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNF207",0,0,0,0,0,0,4,0,0,0,4,0,0,0,1,1,0,4,0,3,1,0,0,1
"ICMT",0,2,0,0,0,0,21,1,0,4,12,7,1,4,2,1,2,1,1,2,0,1,0,11
"GPR153",0,0,0,0,0,1,19,0,3,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0
"ACOT7",0,1,0,0,0,0,7,2,12,1,8,13,0,0,0,0,4,7,0,0,0,5,4,1
"RP1-202O8.3",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
