"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"FO538757.2",12,17,0,1,1,0,0,1,1,4,6,2,3,1,0,0,0,2,6,1,9,126,4
"AP006222.2",36,38,0,0,2,0,1,0,0,7,2,2,2,1,0,0,2,0,2,0,2,55,3
"RP4-669L17.10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"RP11-206L10.9",4,3,0,0,1,0,0,0,1,1,3,2,1,0,0,1,0,0,1,0,1,25,0
"FAM87B",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00115",4,2,1,0,0,1,0,0,1,3,2,1,3,0,0,0,0,0,4,0,1,10,1
"FAM41C",6,3,0,0,2,0,0,0,1,4,3,2,0,0,0,0,1,0,1,1,0,13,0
"RP11-54O7.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"RP11-54O7.3",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NOC2L",35,50,11,8,10,8,12,2,1,34,31,20,11,3,1,1,3,7,7,1,34,267,4
"KLHL17",3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0
"PLEKHN1",0,3,1,0,0,0,3,0,0,1,6,2,1,0,0,0,0,0,0,0,3,10,0
"PERM1",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.17",7,17,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,2,9,0
"HES4",159,235,12,16,8,2,11,3,29,6,104,24,5,6,6,18,18,0,72,4,39,66,2
"ISG15",769,1028,82,71,167,22,29,8,26,96,500,108,59,57,28,4,28,77,296,4,255,684,32
"AGRN",10,39,1,1,0,0,0,0,0,0,2,1,1,0,0,0,8,0,1,1,1,49,11
"RNF223",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0
"C1orf159",1,2,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,19,2
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,29,0
"TTLL10-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0
"TNFRSF18",30,13,6,55,3,4,63,1,20,4,136,11,16,15,5,2,0,2,5,8,334,12,1
"TNFRSF4",55,21,2,8,1,2,65,1,8,1,174,2,57,0,1,8,0,1,16,2,552,12,23
"SDF4",158,263,8,8,13,6,15,0,10,31,88,16,10,1,3,9,9,32,38,3,54,405,33
"B3GALT6",23,23,3,0,3,1,2,0,0,4,10,1,2,2,0,3,1,2,2,0,9,77,2
"FAM132A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
"UBE2J2",40,50,13,6,7,3,8,1,5,26,31,9,5,2,3,1,4,14,8,0,22,186,10
"SCNN1D",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"ACAP3",10,18,3,2,4,0,2,0,0,5,8,3,3,0,2,0,2,4,2,0,5,39,7
"PUSL1",16,20,4,1,7,2,1,0,3,7,15,7,2,4,1,0,1,1,3,0,9,27,1
"CPSF3L",22,55,5,9,7,5,11,0,10,16,31,11,6,5,3,3,6,8,8,0,21,147,6
"CPTP",8,15,2,2,3,3,0,0,0,6,9,1,2,0,0,1,0,3,2,0,5,65,1
"TAS1R3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,4,0
"DVL1",7,10,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,2,0,1,54,1
"MXRA8",0,648,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,7,0
"AURKAIP1",229,239,30,19,42,17,19,2,18,75,125,44,18,12,10,12,12,69,76,6,88,1006,43
"CCNL2",16,53,7,3,13,8,3,0,1,16,25,15,5,2,6,2,6,4,7,0,15,121,3
"MRPL20",196,190,20,10,21,10,17,2,5,66,96,35,22,7,12,2,10,30,53,3,69,793,30
"RP4-758J18.13",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"ANKRD65",0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"RP4-758J18.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"VWA1",2,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,142,127
"ATAD3C",1,7,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,9,0,0,1,15,0
"ATAD3B",12,7,1,2,0,0,1,1,0,3,7,4,0,0,1,0,0,3,5,0,10,27,5
"ATAD3A",12,25,2,4,3,0,2,0,1,4,6,0,2,0,1,1,2,10,7,0,3,119,3
"SSU72",171,197,18,17,37,17,20,4,8,82,105,47,22,5,14,6,16,27,54,0,84,813,24
"RP5-832C2.5",4,0,2,1,0,3,1,0,0,0,6,0,1,0,0,0,0,1,2,0,1,13,1
"C1orf233",2,11,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,25,0
"RP11-345P4.9",6,10,1,0,2,0,0,0,1,3,5,4,0,0,1,0,0,1,2,0,2,12,1
"MIB2",12,29,6,5,12,10,4,0,4,2,22,11,5,1,3,2,1,5,4,1,12,60,6
"MMP23B",1,58,1,1,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,1,2
"CDK11B",27,23,13,5,8,3,4,0,0,16,16,13,7,2,2,2,3,3,3,4,13,115,3
"RP11-345P4.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
"SLC35E2B",8,32,5,0,2,2,1,0,0,6,9,7,4,1,1,0,3,4,3,0,6,68,6
"RP11-345P4.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CDK11A",19,28,14,7,14,7,4,0,5,14,43,17,5,6,0,3,1,4,7,1,22,124,1
"SLC35E2",0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0
"NADK",78,17,4,1,2,3,2,0,2,8,11,1,0,0,1,2,2,4,14,0,9,126,4
"GNB1",163,176,13,10,10,9,5,0,5,36,55,29,7,4,5,11,12,10,60,1,25,298,39
"RP1-140A9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CALML6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM52",2,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,70,0
"CFAP74",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-547D24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GABRD",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
"PRKCZ",2,8,1,2,2,1,1,0,0,3,7,2,1,0,0,0,0,0,0,0,5,98,0
"RP5-892K4.1",1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
"RP11-181G12.2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FAAP20",122,159,20,7,14,9,10,0,3,20,56,12,9,4,5,3,8,16,24,3,28,381,17
"SKI",49,48,16,4,8,3,5,0,4,15,31,12,6,2,3,5,4,2,6,0,15,40,5
"MORN1",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,10,1
"RER1",187,189,21,9,13,13,17,3,8,32,70,21,16,6,3,4,11,34,53,1,62,385,20
"PEX10",13,26,0,0,1,1,0,0,1,3,2,0,1,0,1,0,1,2,1,1,2,67,1
"PLCH2",0,0,1,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,12,0
"PANK4",3,11,0,0,0,0,0,0,1,1,3,3,1,0,0,0,0,0,1,0,3,13,1
"HES5",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"RP3-395M20.12",50,0,2,1,3,4,2,1,0,10,9,7,4,4,4,1,1,1,28,0,7,43,3
"RP3-395M20.8",4,0,2,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,3,0,2,16,0
"TNFRSF14",178,56,10,9,28,28,9,1,7,56,84,25,15,3,10,2,5,6,35,2,64,184,14
"RP3-395M20.9",6,0,0,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,2,6,0
"FAM213B",32,9,0,0,0,2,0,0,1,2,6,1,1,0,0,0,1,1,11,0,7,181,6
"MMEL1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,0
"LINC00982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"PRDM16",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0
"RP11-22L13.1",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ARHGEF16",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0
"MEGF6",3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1
"RP11-46F15.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"TPRG1L",7,19,1,0,1,1,1,0,1,3,8,2,1,0,0,0,0,2,2,0,6,77,2
"WRAP73",8,25,3,2,6,2,2,1,0,6,21,3,2,3,0,1,2,5,6,0,8,83,4
"TP73",0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,2
"TP73-AS1",3,7,0,0,2,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,3,2,2
"SMIM1",3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,7,0
"LRRC47",16,24,4,2,7,0,2,0,0,9,17,6,1,0,2,0,1,2,3,0,11,127,4
"CEP104",12,15,1,1,1,4,3,0,0,6,8,7,2,0,0,0,3,3,3,2,7,70,3
"DFFB",2,3,2,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,20,1
"C1orf174",14,22,8,4,3,1,2,0,4,10,11,5,5,2,3,2,2,3,3,0,11,81,2
"LINC01134",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,1
"LINC01346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP13-614K11.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NPHP4",8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13,3
"KCNAB2",57,3,11,1,9,3,4,1,5,3,24,3,7,2,6,0,0,7,7,0,19,30,0
"CHD5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RPL22",1258,1849,213,100,177,132,220,22,135,1023,1086,262,276,54,83,52,91,171,570,14,722,6279,350
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RNF207",5,15,1,2,1,0,0,0,1,1,5,2,0,0,0,0,0,1,0,0,5,6,0
"ICMT",17,46,3,2,1,1,3,0,0,4,11,6,3,1,1,0,2,3,4,1,9,70,14
"LINC00337",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GPR153",4,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,34,0
"ACOT7",35,21,5,4,10,3,4,0,5,2,17,11,0,1,0,1,1,2,3,2,8,299,17
"RP1-202O8.3",3,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,2,0
"HES2",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,13,0
"ESPN",1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,279,0
"TNFRSF25",11,7,1,9,4,5,16,2,16,1,150,10,26,0,5,0,0,0,0,3,107,33,9
"PLEKHG5",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,19,9
"NOL9",7,10,2,0,4,2,2,0,1,7,9,4,2,0,0,3,1,1,1,0,7,48,3
"ZBTB48",8,10,1,0,3,1,0,0,0,2,6,0,0,1,3,0,0,0,0,0,1,26,2
"KLHL21",46,26,4,0,2,0,2,2,2,1,3,4,2,1,0,1,0,2,10,0,4,30,2
"PHF13",4,12,2,1,1,1,0,0,0,1,2,0,0,0,0,0,3,0,0,1,3,10,0
"THAP3",11,20,2,0,1,0,2,0,2,5,4,1,0,1,0,1,1,5,3,0,2,50,1
"DNAJC11",4,8,0,0,0,0,0,0,1,0,1,2,0,0,1,0,2,1,1,0,3,51,2
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"CAMTA1",137,192,12,7,14,10,12,1,2,34,45,12,11,0,6,7,7,17,53,1,30,489,52
"RP11-338N10.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-338N10.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"VAMP3",77,67,2,6,6,0,3,1,2,9,10,4,3,0,1,2,3,3,25,0,7,215,11
"PER3",15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,15,1
"RP3-467L1.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"UTS2",40,4,13,6,19,7,2,0,4,7,27,12,2,3,5,0,0,0,4,1,24,35,0
"TNFRSF9",63,8,11,28,16,10,9,0,9,0,22,26,0,8,5,0,0,1,19,0,104,5,2
"PARK7",386,521,53,59,103,42,54,3,45,129,299,88,51,13,17,41,42,71,158,7,228,1365,82
"ERRFI1",74,226,4,1,2,1,0,0,0,0,1,5,0,0,1,0,27,0,14,0,2,279,1
