"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"RP11-34P13.7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"FO538757.2",1,0,3,0,0,7,80,3,0,1,0,4,7,0,1,0,1,2,24,1,1,0,0,12,1
"AP006222.2",5,0,0,0,0,6,97,2,2,0,1,3,1,1,0,0,1,0,10,1,0,0,0,27,6
"RP4-669L17.10",1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-206L10.9",0,0,1,0,0,0,8,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,4,1
"FAM87B",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00115",0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,5,1,2,0,0,2,0
"FAM41C",0,0,0,0,0,0,4,1,0,1,0,3,1,0,0,0,0,0,2,0,0,0,0,1,1
"RP11-54O7.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RP11-54O7.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SAMD11",0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"NOC2L",3,3,3,1,0,4,104,6,3,3,3,22,15,3,12,1,2,3,46,2,7,0,6,12,3
