"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs"
"AP006222.2",23,3,11,0,1,2,8,130,3,3,0,0,1,4,28,8,6,0,4,0,0,6,281,14,1,4,3,20
"RP4-669L17.10",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"RP11-206L10.9",0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,10,2,0,0,0,0
"LINC00115",0,0,4,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,1,0,0,1,1
"FAM41C",4,0,6,0,0,1,0,7,1,0,0,0,0,0,11,2,1,0,3,0,0,3,57,4,0,1,0,1
"RP11-54O7.3",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,0,0,0,0,0,3,180,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"NOC2L",11,4,18,0,2,0,9,138,5,3,1,2,2,3,46,9,3,1,12,0,2,6,971,48,0,7,5,14
"KLHL17",0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0,0,0,0
"PLEKHN1",0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,5,0,0,0,0
"RP11-54O7.17",1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"HES4",13,2,40,2,0,1,8,95,3,1,0,0,0,1,15,5,2,0,3,0,1,2,473,6,5,0,0,18
"ISG15",154,27,156,3,8,14,22,552,59,15,3,1,4,10,379,95,10,1,80,2,10,43,387,125,16,17,47,275
"AGRN",0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,5
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
"C1orf159",1,1,1,0,0,1,1,10,0,0,0,1,0,0,3,0,0,0,3,0,1,1,111,0,0,1,0,2
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,32,0,0,0,0,1
"TNFRSF18",0,0,3,0,0,0,0,1,28,2,3,3,0,0,51,1,0,0,9,0,15,17,4,170,0,0,30,2
"TNFRSF4",2,2,7,0,0,1,2,4,1,7,0,4,1,0,105,15,0,0,29,0,5,15,1,74,0,0,42,46
"SDF4",13,3,26,0,0,2,20,374,3,2,0,0,3,5,57,12,4,0,18,1,3,9,1781,122,0,3,11,58
"B3GALT6",3,0,6,0,0,0,2,16,1,2,0,0,0,0,7,0,0,0,1,0,1,3,93,7,0,0,1,3
"FAM132A",0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,110,0,0,0,0,6
"UBE2J2",6,7,27,0,1,3,6,137,6,1,0,0,2,10,79,8,4,0,17,0,1,8,783,49,2,9,4,18
"ACAP3",0,0,2,0,1,1,1,28,1,1,0,0,0,1,10,0,1,0,3,0,0,0,164,7,0,1,1,2
"PUSL1",3,2,12,0,0,1,3,20,1,1,0,0,0,1,18,5,0,1,2,0,0,2,300,15,0,9,1,4
"CPSF3L",2,3,22,1,0,3,10,131,4,0,2,0,1,5,34,19,2,0,19,0,2,2,1042,29,0,13,4,20
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,13,0,0,0,0
"DVL1",1,0,0,0,0,0,0,12,0,1,0,0,0,0,4,0,0,0,1,0,0,0,247,0,0,1,0,5
"MXRA8",0,1,2,0,0,0,32,459,0,0,0,0,0,1,2,2,9,0,0,0,0,0,0,1,0,0,0,1
"AURKAIP1",55,14,82,2,3,9,27,447,18,3,1,0,4,14,141,40,6,2,48,2,7,14,9393,276,7,44,15,77
"CCNL2",3,2,5,0,0,0,4,102,5,0,1,0,1,7,21,4,0,3,8,0,2,3,592,24,0,4,4,11
"MRPL20",84,14,99,2,3,4,34,382,12,11,0,2,10,14,131,36,7,5,34,1,3,18,3826,242,4,33,10,64
"ANKRD65",0,0,0,0,0,0,2,57,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,13
"VWA1",0,0,0,0,0,0,26,94,0,0,0,0,0,0,0,0,2,0,1,0,0,0,86,0,0,0,0,128
"ATAD3C",0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,30,12,0,0,0,1
"ATAD3B",1,0,4,0,0,0,0,12,1,0,0,0,0,0,5,1,1,0,0,0,0,0,279,2,0,0,0,4
"ATAD3A",1,0,3,0,0,0,1,19,2,0,0,0,0,0,9,0,0,0,1,0,0,0,488,7,0,5,0,6
"SSU72",37,17,72,0,0,6,35,320,16,6,0,2,8,14,144,32,1,4,42,0,6,11,2767,129,3,21,10,67
"AL645728.1",0,1,5,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,1,1,0,0,21,4,0,0,0,0
"C1orf233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
"RP11-345P4.9",0,0,2,0,0,0,3,25,0,0,0,0,0,0,6,1,1,0,1,0,0,2,56,2,0,1,0,2
"MIB2",5,4,5,0,3,0,1,51,4,2,0,0,1,1,41,5,0,0,15,0,2,2,558,16,0,6,2,4
"MMP23B",0,0,0,0,0,0,0,237,1,0,0,0,0,0,5,1,7,0,0,0,0,1,17,4,0,0,0,0
"CDK11B",4,2,1,0,0,0,3,42,1,0,0,0,1,5,9,3,0,0,2,0,0,1,386,10,1,5,1,5
"RP11-345P4.10",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
"SLC35E2B",1,0,4,0,0,0,4,53,1,1,0,0,0,1,12,3,1,1,4,0,0,0,346,10,0,2,2,5
"CDK11A",0,1,1,0,0,0,3,7,0,0,0,0,0,0,7,1,0,0,1,1,0,0,40,6,0,1,0,1
"SLC35E2",0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,1,0,0,0,0
"NADK",14,0,7,0,0,0,3,29,1,1,0,0,0,3,14,5,0,2,3,0,1,3,558,18,0,5,1,5
"GNB1",19,5,33,0,0,0,11,84,1,0,0,0,0,4,29,10,1,1,9,0,1,5,1127,22,2,8,4,16
"TMEM52",0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,201,25,0,2,0,0
"PRKCZ",0,3,5,1,1,2,5,19,1,0,0,0,1,0,9,2,2,0,4,0,0,0,408,12,0,0,1,7
"RP5-892K4.1",0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,1,0,0,0,9,0,0,0,0,0
"SKI",4,4,3,0,0,1,2,74,1,0,0,1,1,1,15,5,1,0,1,0,1,2,191,2,0,0,0,11
"MORN1",0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,1,48,1,0,1,0,1
"RER1",85,15,75,1,5,3,27,493,5,9,1,1,12,13,163,25,7,3,33,0,2,25,3901,306,4,34,20,69
"PEX10",2,2,3,0,0,0,3,33,0,1,0,0,1,2,5,2,1,1,0,1,0,0,236,20,0,1,3,10
"PLCH2",0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,1,0,1,1,8,0,0,0,0,0
"PANK4",1,2,4,1,0,1,4,43,1,1,0,0,0,1,11,2,2,0,1,0,0,1,202,9,0,4,0,0
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0
"RP3-395M20.12",3,0,7,0,1,1,0,1,1,0,0,0,0,3,18,2,0,0,1,0,0,2,109,3,0,3,1,1
"RP3-395M20.8",2,1,1,0,0,0,2,2,0,0,0,0,0,0,9,2,0,0,0,0,1,0,246,5,0,1,0,6
"TNFRSF14",19,10,23,0,1,1,4,104,3,1,0,0,1,5,77,12,1,4,21,1,1,4,977,68,1,3,6,18
"RP3-395M20.9",0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,94,1,0,0,1,0
"FAM213B",1,1,2,0,0,1,5,18,0,0,0,0,0,0,5,1,0,0,2,0,0,1,649,4,0,2,1,3
"MMEL1",1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,314,0,0,1,0,2
"PRDM16",0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ARHGEF16",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,1,0,0,0,0
