"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Enteric glia cells","Fibroblasts","gdTcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Regulatory CD4 Tcells","Vascular ECs"
"AP006222.2",1,0,2,1,4,29,11,1,0,8,3,1,2,2,206,0,0,2
"RP11-206L10.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"LINC00115",0,0,1,0,0,0,0,0,0,0,1,0,0,0,28,0,0,0
"FAM41C",0,0,1,0,0,1,3,0,0,0,0,0,1,0,34,0,0,0
"SAMD11",0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,1
"NOC2L",0,1,3,0,2,26,13,1,0,9,1,1,1,4,483,3,1,6
"KLHL17",0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0
"HES4",0,0,9,0,5,17,17,0,0,5,1,2,1,0,303,0,0,10
"ISG15",0,5,45,6,23,110,63,5,0,98,19,6,9,13,840,1,6,66
"AGRN",0,0,0,0,0,2,1,0,0,1,0,0,0,0,73,0,0,3
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0
"C1orf159",0,0,0,0,0,0,2,0,0,0,0,0,0,0,96,0,0,0
"RP11-465B22.8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,202,0,0,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
"TNFRSF18",0,3,1,1,0,0,113,0,0,41,4,3,6,10,7,5,6,0
"TNFRSF4",0,0,1,1,0,0,3,2,0,31,0,1,5,1,1,1,10,32
"SDF4",1,1,4,0,5,90,20,2,0,16,6,2,3,3,1440,7,2,19
"B3GALT6",0,0,4,0,0,5,0,1,0,5,0,0,0,1,64,2,0,1
"FAM132A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,0,0,0
"UBE2J2",0,1,3,1,0,22,14,1,4,18,6,1,3,5,594,2,2,13
"ACAP3",0,0,1,0,1,7,1,0,0,0,2,0,0,1,161,0,0,0
"PUSL1",0,0,0,1,0,9,1,0,0,1,2,0,0,0,220,0,0,0
"CPSF3L",0,2,3,2,2,26,16,0,0,13,3,1,1,3,742,1,19,6
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"DVL1",0,0,0,0,0,6,1,0,0,1,0,0,0,1,191,0,0,1
"MXRA8",0,0,0,0,10,101,0,0,0,0,0,0,0,0,0,0,0,0
"AURKAIP1",1,3,25,1,5,96,53,1,5,42,6,4,3,4,6428,10,3,29
"CCNL2",0,0,1,0,1,13,12,1,0,8,0,0,1,0,497,0,0,8
"MRPL20",1,7,23,4,4,105,36,8,3,46,8,3,2,6,2645,7,1,16
"RP4-758J18.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"ANKRD65",0,0,0,0,0,10,0,0,0,0,0,1,0,1,0,0,0,18
"VWA1",0,0,0,0,12,19,0,0,0,1,0,0,0,0,66,0,0,75
"ATAD3C",0,0,2,0,0,2,3,0,0,3,0,0,1,0,32,0,0,1
"ATAD3B",0,0,0,0,0,3,0,0,0,0,0,0,0,0,157,0,0,1
"ATAD3A",0,0,2,0,0,2,2,0,0,3,0,0,0,0,253,1,0,0
"SSU72",1,7,14,4,4,64,41,3,2,50,8,4,5,7,2169,1,4,7
"AL645728.1",0,0,0,0,0,2,0,0,0,1,0,0,0,0,11,1,0,0
"C1orf233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
"RP11-345P4.9",0,0,1,1,0,5,1,0,0,1,0,0,1,0,54,0,0,0
"MIB2",1,0,0,2,0,10,15,0,0,12,4,0,2,3,426,2,3,1
"MMP23B",0,0,0,0,0,41,12,0,0,1,0,0,0,0,13,3,0,0
"CDK11B",0,0,1,0,1,13,3,0,0,2,3,0,0,0,329,0,0,0
"RP11-345P4.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"SLC35E2B",0,0,0,0,1,14,2,0,0,3,1,1,0,1,271,0,0,3
"CDK11A",0,0,1,0,0,3,0,1,0,2,0,1,0,0,48,0,0,1
"SLC35E2",0,0,0,0,0,2,0,0,0,1,0,0,0,0,17,0,0,0
"NADK",1,0,3,1,0,3,6,0,0,2,0,0,0,0,488,0,1,4
"GNB1",0,1,8,0,0,17,13,0,0,10,0,2,0,3,805,0,1,8
"RP1-140A9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
"TMEM52",0,0,0,0,0,1,0,0,0,0,0,0,0,1,133,0,0,0
"PRKCZ",0,1,0,0,0,5,3,0,0,4,1,0,0,2,332,0,0,0
"RP5-892K4.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
"SKI",0,0,0,0,0,15,4,0,1,6,1,2,1,1,97,1,0,5
"MORN1",0,0,0,0,0,2,1,0,0,0,0,0,0,0,38,0,0,0
"RER1",2,5,19,5,4,78,38,3,0,30,18,1,5,3,2444,10,2,25
"PEX10",0,0,2,0,0,5,2,0,0,0,0,0,0,0,182,0,0,0
"PLCH2",0,0,0,0,0,0,2,0,1,0,2,0,0,0,10,0,0,0
"PANK4",0,0,1,1,2,5,6,0,0,3,2,0,0,0,119,0,1,1
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
"RP3-395M20.12",0,3,5,0,0,0,3,0,0,3,0,1,1,1,151,0,2,2
"RP3-395M20.8",0,0,0,0,0,1,6,1,0,0,0,0,0,0,435,0,0,2
"TNFRSF14",4,1,10,0,1,20,14,0,0,12,2,5,1,7,926,3,3,3
"RP3-395M20.9",0,0,0,0,0,0,0,0,0,0,0,1,0,0,82,0,0,1
"FAM213B",0,0,0,0,0,3,4,0,0,0,0,0,0,0,546,0,0,2
"MMEL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0
"ARHGEF16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,0,0,0
"TPRG1L",0,0,1,0,0,7,1,1,0,0,0,0,0,0,481,0,0,2
"WRAP73",0,1,5,1,0,13,6,0,1,7,1,0,1,0,248,1,0,2
"TP73-AS1",0,0,0,0,0,14,0,0,0,2,0,0,0,0,13,0,0,2
"SMIM1",0,0,0,0,0,8,2,0,0,1,0,0,0,0,12,3,0,0
"LRRC47",0,0,1,1,0,8,5,1,0,5,0,1,0,1,234,0,1,4
"CEP104",0,0,1,0,0,2,2,0,0,2,2,2,1,1,61,0,0,2
"DFFB",0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,0,0,1
"C1orf174",0,1,3,1,0,5,10,0,0,8,0,0,1,0,194,0,0,0
"NPHP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
"KCNAB2",0,1,3,0,0,0,8,0,0,12,1,1,1,1,4,0,2,0
"RPL22",16,41,174,21,7,572,297,48,26,450,99,70,22,41,17471,19,31,113
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
"RNF207",0,0,1,0,0,7,0,0,0,0,0,0,0,1,107,0,0,0
"ICMT",0,1,4,2,0,9,0,0,0,6,0,0,1,2,298,0,0,2
"GPR153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0
"ACOT7",1,2,1,0,0,17,16,2,0,7,3,0,0,0,816,0,0,1
"RP1-202O8.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
"HES2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,267,0,0,0
"ESPN",0,0,0,0,0,0,0,0,0,0,1,0,0,0,485,0,0,0
"TNFRSF25",0,0,0,0,0,0,0,0,0,16,1,3,0,2,119,0,1,2
"PLEKHG5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
"NOL9",0,2,0,0,0,5,0,0,0,0,1,0,0,0,117,0,0,1
"ZBTB48",1,0,2,0,1,5,1,0,0,6,0,3,1,0,157,1,1,3
"KLHL21",0,0,0,0,0,3,2,0,0,0,1,0,0,0,49,0,0,0
"PHF13",0,0,0,0,0,4,2,0,0,0,1,0,0,0,38,0,0,0
"THAP3",0,0,0,0,0,20,4,2,0,7,0,2,0,0,163,0,0,5
"DNAJC11",0,0,0,0,0,4,1,0,0,0,0,0,0,0,341,0,2,1
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
"CAMTA1",0,0,13,0,7,36,15,1,0,20,1,0,2,2,1973,0,0,26
"VAMP3",1,0,7,0,5,20,4,1,0,5,3,0,0,0,492,0,0,17
"PER3",0,1,0,0,2,4,3,1,0,0,0,0,0,0,43,0,0,1
"UTS2",0,2,3,0,0,0,11,1,0,8,2,0,1,4,82,0,0,0
"PARK7",8,17,54,6,4,312,103,14,6,105,30,14,7,16,5484,19,18,81
"ERRFI1",0,0,0,0,0,2,0,0,0,1,0,0,1,1,85,0,1,3
"RERE",0,0,0,0,0,9,2,0,0,8,1,0,1,1,297,0,2,3
"ENO1",17,20,88,8,30,176,317,16,1,236,46,20,18,35,7418,3,19,48
"ENO1-AS1",0,0,0,0,0,1,0,0,0,1,2,0,0,1,13,0,0,0
"SLC2A5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0
"GPR157",0,0,0,0,0,1,0,0,0,0,0,1,0,0,31,0,0,1
"H6PD",0,0,1,0,1,6,1,0,0,0,0,0,0,0,101,0,0,0
"SPSB1",0,0,0,0,0,7,1,0,1,0,0,0,0,0,115,0,0,0
"SLC25A33",0,0,2,0,0,1,2,1,0,4,0,0,0,0,376,0,2,1
"TMEM201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0
"PIK3CD",0,2,3,0,0,1,8,1,0,4,2,0,0,0,1,0,1,3
"CLSTN1",0,0,3,2,1,21,4,0,0,3,0,2,0,0,788,0,0,10
"CTNNBIP1",0,0,7,0,0,10,7,0,0,10,0,0,1,2,378,0,0,9
"LZIC",0,1,0,0,0,11,3,0,0,4,5,0,1,0,323,0,2,1
"NMNAT1",0,0,0,0,0,5,0,0,0,0,0,0,0,0,156,0,0,1
"RBP7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,7
"UBE4B",0,0,3,0,1,7,1,0,0,9,1,0,0,0,90,2,0,0
"KIF1B",0,0,0,0,0,5,0,0,0,0,1,0,0,0,85,0,0,1
"PGD",0,0,4,0,0,12,3,0,0,1,0,0,1,2,519,2,2,5
"APITD1",0,0,2,0,0,6,1,0,0,5,0,0,0,0,225,0,0,4
"DFFA",0,2,0,0,1,13,5,0,2,6,1,2,1,0,348,0,3,12
"PEX14",0,0,0,1,0,1,2,0,0,1,1,0,0,0,109,0,2,0
"CASZ1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,214,0,0,0
"TARDBP",0,0,3,0,1,14,9,0,0,6,4,0,0,0,384,2,2,7
"RP4-635E18.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
"SRM",4,1,11,1,4,61,28,2,2,23,3,5,4,2,553,8,1,17
"EXOSC10",0,0,0,0,1,9,3,0,0,7,1,0,0,1,267,1,0,6
"RP4-635E18.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
"MTOR",0,0,0,0,0,3,1,0,0,1,0,0,0,0,139,0,0,0
"UBIAD1",0,2,0,1,0,8,4,0,0,1,0,0,1,0,156,0,0,5
"FBXO2",0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
"FBXO44",0,1,1,1,0,1,5,0,0,3,1,0,1,1,14,0,0,1
"FBXO6",0,2,2,0,0,6,9,0,0,13,3,0,5,0,80,0,2,0
"MAD2L2",0,3,7,1,0,24,44,0,0,13,5,2,2,3,177,1,0,8
"DRAXIN",0,0,0,0,0,0,3,0,0,0,1,0,1,1,6,0,0,0
"AGTRAP",0,2,5,0,3,53,17,3,0,16,7,0,2,7,306,0,1,12
"C1orf167",0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,1
"MTHFR",0,0,1,0,0,8,2,0,0,3,0,0,0,0,105,0,0,1
"CLCN6",0,0,0,0,0,4,0,0,0,0,0,0,0,0,48,0,0,2
"NPPA-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"KIAA2013",2,0,0,0,0,5,1,0,0,0,0,1,1,0,560,0,0,4
"PLOD1",0,0,2,0,0,23,2,0,0,1,0,0,0,1,103,0,0,5
"MFN2",0,0,1,0,1,6,1,0,0,2,1,0,0,1,200,0,1,3
"MIIP",0,3,5,1,1,12,7,0,2,12,0,1,3,0,208,0,1,0
"TNFRSF1B",0,0,7,3,0,7,11,1,0,14,2,0,0,2,26,0,2,8
"VPS13D",0,0,0,1,0,6,3,0,0,4,0,0,1,0,130,0,0,2
"DHRS3",0,0,1,0,6,11,4,0,0,3,0,0,0,1,346,0,0,12
"PDPN",0,0,0,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0
"PRDM2",0,0,2,0,0,8,5,0,2,9,2,2,2,2,83,0,1,1
"KAZN",0,0,0,0,1,6,0,0,0,0,0,0,0,0,29,0,0,1
"TMEM51",0,1,2,0,0,20,0,0,0,0,0,0,0,0,248,0,0,0
"EFHD2",3,0,9,0,0,9,5,1,0,6,0,1,0,1,1136,0,0,1
