"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"AP006222.2",28,0,9,4,0,0,0,72,4,0,0,0,5,0,14,9,7,0,0,4,166,0,1,2,0,21
"RP11-206L10.9",1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,8,0,0,0,0,0
"LINC00115",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,1,19,0,0,0,0,0
"FAM41C",7,0,0,0,0,0,0,3,1,0,0,0,1,1,2,1,0,0,0,0,14,0,0,0,0,3
"RP11-54O7.3",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SAMD11",0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
"NOC2L",13,2,7,2,2,3,3,51,13,0,0,0,6,3,50,19,3,4,2,10,569,2,1,1,4,16
"KLHL17",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,1,0
"PLEKHN1",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0
"RP11-54O7.17",5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
"HES4",59,1,16,4,0,0,3,60,2,0,0,0,3,0,29,5,6,1,0,4,240,9,0,4,2,27
"ISG15",114,15,32,25,5,4,2,258,54,7,16,5,3,3,363,144,17,18,6,44,2169,6,11,9,47,247
"AGRN",1,0,1,0,0,0,0,11,1,0,0,0,0,0,1,0,0,0,0,0,108,0,0,0,0,17
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
"C1orf159",1,0,0,0,0,0,0,4,2,0,0,0,0,0,3,1,1,0,1,1,126,0,0,0,0,8
"RP11-465B22.8",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0
"TTLL10",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,39,0,0,0,0,4
"TNFRSF18",3,4,3,26,1,0,0,5,46,2,2,11,3,0,77,20,1,4,12,33,3,0,13,5,103,12
"TNFRSF4",6,0,3,1,0,0,0,6,2,0,0,6,6,0,123,6,0,16,5,4,4,0,10,0,202,88
"SDF4",46,5,14,7,0,1,4,181,21,2,2,1,5,2,72,26,10,3,4,18,1755,3,13,2,19,87
"B3GALT6",2,0,3,2,0,0,0,7,2,0,1,0,0,0,6,2,0,1,0,0,46,0,0,0,0,2
"FAM132A",0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,2,380,0,0,0,0,12
"UBE2J2",28,6,6,5,0,0,3,60,17,0,0,1,2,0,48,23,5,1,3,12,653,1,0,1,6,33
"ACAP3",5,0,0,0,0,0,0,11,0,0,0,0,0,0,9,3,2,0,0,0,183,0,1,0,1,4
"PUSL1",10,0,5,1,0,0,0,17,6,0,0,0,1,0,15,5,1,0,0,4,192,0,0,1,1,9
"CPSF3L",10,7,3,3,2,0,0,80,11,1,1,0,0,1,47,21,7,5,3,14,876,1,4,1,7,25
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0
"DVL1",1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,224,0,0,0,0,6
"MXRA8",0,0,0,0,0,0,13,239,0,0,0,0,0,0,2,0,23,0,0,0,0,2,0,0,0,1
"AURKAIP1",126,13,52,17,1,2,7,237,41,3,5,2,14,4,180,87,20,22,7,40,7956,6,20,7,23,120
"CCNL2",8,2,1,2,0,0,0,58,7,1,0,0,5,0,18,14,4,1,0,2,448,2,0,1,3,24
"MRPL20",113,8,29,26,2,2,7,160,39,3,7,2,11,1,142,79,14,17,8,44,2668,4,15,6,16,71
"RP4-758J18.13",0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0
"ANKRD65",1,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37
"VWA1",0,0,0,0,0,0,8,44,0,0,0,0,0,0,0,0,3,0,0,0,48,0,0,0,0,264
"ATAD3C",1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,11,0,2,0,0,1
"ATAD3B",5,1,2,1,0,0,0,5,2,0,0,0,0,1,5,1,2,1,0,0,195,0,0,1,1,6
"ATAD3A",2,1,0,2,0,0,0,12,4,1,1,0,0,0,8,2,0,0,0,1,297,0,2,0,0,8
"SSU72",78,12,38,15,0,3,6,128,32,6,5,1,13,3,152,97,11,16,9,43,2379,2,10,4,24,88
"AL645728.1",0,0,0,1,0,0,0,3,1,0,0,0,0,0,8,2,0,0,0,0,20,0,0,0,0,2
"C1orf233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,1,0,0
"RP11-345P4.9",4,0,2,1,0,0,0,9,1,0,0,0,0,1,1,6,0,2,0,0,52,0,0,0,0,2
"MIB2",3,5,3,3,3,1,0,23,25,1,0,0,2,0,45,22,0,6,5,11,438,0,4,0,3,5
"MMP23B",1,0,0,2,0,0,0,111,6,0,0,0,0,0,4,7,9,1,1,8,20,0,0,0,0,0
"CDK11B",3,1,3,3,0,0,0,19,1,0,0,0,2,0,7,7,1,0,1,1,412,0,1,1,3,9
"SLC35E2B",5,0,1,0,0,0,0,26,4,0,0,0,0,0,9,11,2,2,0,4,242,0,0,0,1,7
"CDK11A",2,1,1,0,0,0,0,6,2,0,0,0,0,0,8,6,0,2,0,2,99,0,2,0,0,3
"SLC35E2",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0
"NADK",31,0,7,1,0,0,0,7,1,1,0,0,1,0,8,6,0,1,2,1,613,0,0,0,0,15
"GNB1",36,7,10,2,0,0,1,39,4,0,1,1,8,0,24,13,3,4,2,6,888,1,0,2,1,23
"TMEM52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,89,0,2,0,1,2
"PRKCZ",2,3,2,3,0,0,3,14,1,0,0,0,1,0,12,7,0,2,0,6,433,0,0,0,1,7
