"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Regulatory CD4 Tcells","Vascular ECs"
"AP006222.2",37,0,9,1,0,1,38,4,2,1,7,11,5,1,0,0,0,111,3,0,11
"RP11-206L10.9",1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,4,0,0,0
"LINC00115",2,1,1,0,0,0,5,2,0,0,0,0,0,0,1,0,0,18,0,0,0
"FAM41C",2,1,4,0,0,0,4,1,0,0,0,1,0,0,0,1,1,29,0,0,1
"SAMD11",0,0,0,0,0,0,46,0,0,0,0,0,2,0,0,0,0,1,0,0,0
"NOC2L",10,4,10,0,1,0,42,10,1,2,33,6,4,0,9,0,3,353,3,4,7
"KLHL17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
"RP11-54O7.17",4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"HES4",10,0,9,0,1,0,14,5,0,0,6,3,5,0,0,0,0,122,0,0,7
"ISG15",138,15,71,4,8,4,135,35,4,0,96,96,4,10,6,8,4,443,7,13,51
"AGRN",1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,60,0,0,2
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
"C1orf159",0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,59,1,0,2
"RP11-465B22.8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0
"TTLL10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0
"TNFRSF18",2,1,2,0,0,0,2,23,0,0,14,6,1,0,2,15,3,5,12,28,4
"TNFRSF4",0,0,1,1,5,0,2,0,1,0,23,2,0,0,2,1,1,0,8,18,25
"SDF4",25,5,14,2,1,1,130,13,2,1,17,19,20,0,6,1,2,824,12,5,23
"B3GALT6",2,0,0,0,0,0,2,3,0,0,4,2,0,0,0,0,0,42,0,1,0
"FAM132A",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,118,0,0,0
"UBE2J2",18,2,6,1,0,2,33,15,1,2,11,16,3,1,1,1,3,312,2,1,13
"ACAP3",2,1,0,0,0,0,9,1,0,0,3,2,0,0,1,0,0,83,0,0,2
"PUSL1",4,1,4,0,0,1,7,1,1,0,3,3,2,0,0,0,2,105,1,1,5
"CPSF3L",16,4,7,0,1,0,33,5,2,0,9,15,1,2,3,2,2,482,2,0,9
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"DVL1",1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,151,0,0,2
"MXRA8",0,0,0,0,0,6,159,0,0,0,0,1,15,0,0,0,0,2,1,0,2
"AURKAIP1",97,7,70,3,3,7,130,32,8,8,48,37,7,1,7,5,4,3340,37,5,39
"CCNL2",8,2,2,0,0,0,31,2,1,1,3,3,1,1,1,0,1,303,5,0,4
"MRPL20",74,6,44,2,3,4,92,28,5,5,36,50,8,3,6,3,5,1231,13,10,40
"ANKRD65",0,0,1,0,0,1,21,0,0,0,0,0,1,0,0,0,0,0,0,0,10
"VWA1",0,0,0,0,0,7,21,0,0,0,0,0,1,0,0,0,0,21,0,0,41
"ATAD3C",5,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,31,4,0,1
"ATAD3B",3,0,1,0,0,0,3,1,0,0,1,1,1,0,0,0,0,116,0,0,2
"ATAD3A",6,0,1,0,0,0,4,0,0,0,1,0,0,0,1,0,0,169,1,0,3
"SSU72",76,9,36,3,0,4,82,27,8,3,40,38,3,3,7,4,0,1115,19,11,35
"AL645728.1",1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,8,0,0,1
"C1orf233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
"RP11-345P4.9",1,0,1,1,0,0,8,2,0,0,0,1,0,0,0,0,0,24,0,0,0
"MIB2",5,3,1,2,0,0,7,8,2,0,18,11,2,0,3,6,0,288,5,0,6
"MMP23B",0,0,1,0,0,0,47,4,0,0,0,5,4,0,0,2,1,10,0,0,0
"CDK11B",3,0,5,3,0,0,7,3,0,0,3,5,0,0,3,1,0,214,0,1,0
"RP11-345P4.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"SLC35E2B",3,0,0,0,0,0,16,5,0,0,2,2,0,0,1,1,0,189,1,0,1
"CDK11A",2,1,3,0,0,0,3,1,0,0,2,2,0,0,1,2,0,41,0,1,0
"SLC35E2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"NADK",27,0,4,0,0,0,8,2,0,1,1,5,0,1,1,1,0,299,3,0,4
"GNB1",31,5,14,2,0,0,29,5,1,1,9,9,7,0,0,2,0,471,0,1,16
"TMEM52",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,72,1,0,0
"PRKCZ",0,1,3,0,0,0,6,1,0,0,4,1,0,0,0,0,0,209,1,1,2
"RP5-892K4.1",0,0,1,0,0,0,1,0,0,1,0,3,0,0,1,0,0,7,0,0,0
"SKI",5,1,1,0,0,0,33,0,0,0,5,2,0,0,0,0,0,78,0,0,3
"MORN1",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,30,0,0,0
