"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs"
"AP006222.2",50,0,1,3,1,0,0,48,7,0,6,2,9,3,4,0,0,7,81,0,0,1,9
"RP11-206L10.9",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0
"LINC00115",1,0,0,0,0,0,0,5,3,0,0,0,2,0,1,0,0,0,18,0,0,0,0
"FAM41C",10,0,2,0,1,0,1,5,2,1,0,0,3,2,0,1,0,0,24,0,0,1,0
"SAMD11",1,0,0,0,0,0,1,76,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"NOC2L",19,4,2,0,3,0,0,47,5,2,0,0,40,5,1,1,4,3,247,9,2,5,8
"KLHL17",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0
"PLEKHN1",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.17",15,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,1
"HES4",92,0,19,0,1,2,1,45,24,0,1,0,23,7,6,2,2,7,208,3,0,5,13
"ISG15",309,40,21,27,45,6,1,265,202,3,3,5,253,97,30,18,8,21,1246,39,52,34,88
"AGRN",2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,28,0,0,0,2
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
"C1orf159",1,0,0,1,0,0,0,2,1,0,0,0,3,1,0,0,0,0,43,0,0,0,0
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,1,0,0
"TNFRSF18",3,1,1,0,1,1,0,3,75,5,4,1,75,1,1,1,4,4,2,49,1,44,9
"TNFRSF4",15,1,3,0,0,0,0,1,2,6,8,0,158,2,0,9,0,0,1,26,0,63,35
