"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs"
"AP006222.2",54,2,18,1,0,3,102,4,0,2,4,17,7,6,4,0,2,205,0,6,18,1,16
"RP11-206L10.9",0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,12,0,0,0,0,1
"LINC00115",2,0,1,0,0,0,9,0,0,0,0,4,1,1,0,0,0,19,0,3,1,0,3
"FAM41C",11,0,4,2,0,0,9,0,0,0,4,5,0,0,0,3,0,47,0,1,8,0,0
"SAMD11",0,0,0,0,0,0,111,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"NOC2L",16,5,11,0,2,2,110,5,0,0,16,37,19,5,9,5,2,611,0,9,26,8,10
"KLHL17",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0
"PLEKHN1",0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
"RP11-54O7.17",15,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0
"HES4",128,0,79,0,0,1,98,8,1,6,0,34,4,13,2,3,4,509,12,3,1,5,21
"ISG15",229,28,159,3,5,4,382,28,12,2,7,201,89,23,5,22,29,371,10,25,9,20,127
"AGRN",1,0,1,0,0,0,19,1,0,0,0,0,0,1,0,0,0,94,0,0,0,0,17
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
"C1orf159",1,0,0,0,0,0,16,0,0,0,0,4,3,0,0,0,1,112,0,0,1,0,0
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,1
"TNFRSF18",0,3,0,0,2,0,3,27,1,0,1,43,11,0,1,6,9,0,0,89,4,30,8
"TNFRSF4",14,2,1,0,3,0,8,6,3,1,1,120,3,0,0,4,7,0,0,44,0,36,120
"SDF4",56,6,19,3,1,6,405,15,4,1,7,49,21,17,2,9,8,1481,5,43,12,9,57
"B3GALT6",5,1,0,0,1,0,5,0,0,0,0,2,4,1,1,1,0,53,0,2,0,0,1
"FAM132A",0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,256,0,0,1,0,9
"UBE2J2",27,4,20,1,1,2,158,13,4,1,6,40,25,3,3,5,2,566,0,24,33,4,12
