"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"AP006222.2",11,5,5,1,3,5,28,5,3,0,0,2,17,31,5,3,2,8,2,0,4,27,5,5,1,5,10
"RP11-206L10.9",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
"LINC00115",1,0,0,0,1,0,4,0,0,0,1,0,1,7,0,0,0,2,0,0,0,2,0,3,0,1,2
"FAM41C",2,2,1,0,1,0,1,1,0,0,0,0,5,5,1,0,1,1,0,1,1,5,0,0,0,1,0
"SAMD11",0,0,0,0,0,0,81,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,3,0,0,0
"NOC2L",6,3,6,0,2,2,45,3,2,3,1,1,20,60,9,1,6,17,1,0,2,113,0,33,2,10,16
"KLHL17",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
"PLEKHN1",0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,1,0,0,4,0,0,0
"HES4",22,0,9,1,2,8,34,5,0,1,2,1,0,16,5,0,0,5,0,0,5,48,3,2,0,5,7
"ISG15",392,45,232,83,33,50,529,74,37,4,14,17,66,941,176,19,5,97,13,9,59,116,17,342,42,222,389
"AGRN",1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,6
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"C1orf159",1,0,2,0,0,0,7,1,0,0,0,0,3,6,3,0,1,0,0,0,2,20,0,3,0,3,0
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5
"TNFRSF18",0,3,0,1,3,0,3,20,3,1,11,0,2,73,18,0,0,5,0,5,7,0,0,152,2,82,3
"TNFRSF4",3,0,0,1,3,2,3,3,11,2,6,1,2,113,14,0,0,25,1,1,5,1,0,87,2,89,117
"SDF4",22,4,12,5,4,3,123,9,5,3,2,2,24,103,14,3,2,14,2,0,9,241,1,134,5,10,62
"B3GALT6",4,0,4,0,0,0,8,2,1,0,0,0,4,5,0,0,0,2,0,0,0,10,0,0,0,0,3
"FAM132A",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,30,0,0,0,0,4
"UBE2J2",17,6,6,1,2,4,54,2,2,0,1,0,14,71,9,2,2,17,1,0,7,99,0,34,7,10,14
"ACAP3",1,0,1,0,0,0,4,0,0,0,0,0,2,10,1,0,0,0,0,0,1,15,0,5,1,2,2
"PUSL1",0,0,3,1,1,0,20,1,0,0,0,0,4,13,9,0,1,3,1,0,2,56,0,8,4,5,2
"CPSF3L",9,2,5,0,3,1,49,7,4,1,1,0,15,67,9,1,1,12,1,2,5,130,1,11,5,6,17
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
"DVL1",0,0,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,0,2,0,1,6
"MXRA8",0,0,0,0,0,13,195,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,3,1,0,0,0
"AURKAIP1",74,19,57,7,7,14,156,21,7,7,1,4,54,193,44,5,2,62,9,1,22,1231,3,202,22,28,98
"CCNL2",7,1,3,0,1,1,31,8,1,4,2,2,18,29,2,1,1,5,2,2,2,57,0,19,0,6,19
"MRPL20",44,13,37,1,5,10,97,16,10,3,2,11,55,198,37,4,4,53,7,5,29,420,1,132,13,22,49
"ANKRD65",2,0,0,0,0,0,29,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,53
"VWA1",0,0,0,0,0,9,21,0,0,0,0,0,1,0,0,2,0,0,0,0,0,13,0,1,0,0,171
"ATAD3C",1,1,3,0,0,0,3,0,0,0,0,0,2,3,1,0,0,3,0,0,3,1,0,12,0,0,2
