"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs"
"AP006222.2",5,2,8,1,0,0,24,5,0,1,2,9,2,3,0,1,0,0,1,146,2,1,1,1
"RP11-206L10.9",0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0
"LINC00115",0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,1,0,37,0,0,0,0
"FAM41C",0,0,0,0,0,0,1,2,0,2,1,1,0,0,0,3,0,0,0,31,0,2,0,0
"SAMD11",0,0,0,0,0,1,65,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"NOC2L",0,3,4,0,1,0,18,5,1,3,14,32,6,1,7,11,0,0,3,545,4,5,3,1
"KLHL17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
"PLEKHN1",0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.17",0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,26,1,0,0,0
"HES4",8,0,28,0,0,1,47,2,4,2,4,17,2,5,1,0,1,3,1,405,0,0,0,5
"ISG15",20,33,73,10,23,1,132,39,5,2,17,240,33,3,12,26,4,5,8,1951,6,3,41,25
"AGRN",0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,67,0,0,0,1
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0
"C1orf159",0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,1,0,0,2,83,0,3,2,2
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0
"TTLL10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,1
"TNFRSF18",1,0,0,0,1,0,2,90,26,4,3,52,0,0,1,8,0,5,5,6,10,0,30,0
"TNFRSF4",4,0,1,0,2,0,5,1,12,1,0,70,0,0,1,16,0,0,0,8,5,0,41,4
"SDF4",10,2,20,0,0,2,109,5,11,2,17,25,2,2,2,5,0,2,4,1318,7,1,6,7
"B3GALT6",1,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,33,0,0,0,1
"FAM132A",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,769,0,0,0,0
"UBE2J2",5,1,4,1,1,0,25,12,0,2,6,30,9,0,1,5,0,4,1,510,4,6,3,6
"ACAP3",0,1,0,0,0,0,7,1,0,1,2,3,1,1,0,1,0,0,0,130,0,0,1,0
"PUSL1",0,2,3,0,0,0,6,2,0,0,0,14,1,0,2,4,0,0,1,218,0,4,0,0
"CPSF3L",3,1,6,0,1,0,29,8,4,1,8,18,4,2,0,5,2,1,2,597,5,2,2,3
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0
"DVL1",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,219,0,0,0,0
