"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"AP006222.2",137,0,14,0,1,0,3,52,3,1,0,1,0,6,21,4,3,5,0,2,0,58,39,2,0,0,0,9
"RP4-669L17.10",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
"RP11-206L10.9",7,0,2,0,0,0,0,5,0,0,0,1,0,1,4,1,0,0,0,0,0,8,5,1,0,0,0,0
"LINC00115",2,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,2
"FAM41C",34,2,6,0,0,0,0,5,0,0,0,0,1,0,6,1,0,1,0,0,0,13,12,0,0,0,0,1
"RP11-54O7.1",3,0,2,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,9,0,0,0,0,1,0
"SAMD11",2,1,0,0,0,0,1,207,0,0,0,1,0,0,0,0,19,0,0,0,0,0,2,0,0,0,0,1
"NOC2L",67,4,28,2,1,0,2,133,4,8,2,6,0,10,77,24,4,13,1,10,4,267,152,7,3,3,11,22
"KLHL17",1,1,0,0,0,0,0,3,0,1,0,1,0,0,3,0,0,0,0,1,0,4,6,1,0,0,0,1
"PLEKHN1",1,1,0,0,1,0,0,8,1,0,0,1,0,0,4,6,0,0,0,0,0,0,8,0,0,0,0,0
"RP11-54O7.17",71,0,10,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,1,0,1
"HES4",234,0,51,0,0,0,3,88,5,4,2,1,1,0,23,7,10,2,0,1,0,85,8,42,0,0,1,23
