"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"RP11-34P13.7",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0
"AP006222.2",120,0,13,0,0,3,6,60,0,2,0,1,0,56,14,8,13,12,35,1,2,2,8,1,95,1,22,2,5,8
"RP4-669L17.10",1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,5,0,0,0,0,0
"RP11-206L10.9",2,0,1,0,0,0,0,5,0,0,0,0,0,4,1,0,1,1,4,0,0,0,2,0,15,0,1,0,1,0
"FAM87B",2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"LINC00115",2,0,0,0,0,0,0,5,0,1,0,0,0,2,2,0,1,4,6,0,0,0,0,0,11,1,1,0,1,1
"FAM41C",15,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,2,6,0,1,1,2,0,18,0,1,0,1,0
"RP11-54O7.1",0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,4,1,0,1,0,0,3,0,1,0,0,0
"SAMD11",4,1,0,0,0,0,11,240,0,0,0,0,0,3,1,1,39,1,1,2,0,1,0,0,58,0,1,0,0,0
"NOC2L",80,13,22,0,1,2,7,100,0,7,0,1,2,140,76,27,7,62,263,13,7,3,58,0,456,4,52,9,23,12
"KLHL17",5,0,0,0,0,0,1,4,0,1,0,0,0,2,0,0,1,1,1,0,0,0,2,1,10,0,0,0,1,0
"PLEKHN1",1,1,0,0,0,0,0,2,0,1,0,2,0,3,5,2,0,1,8,0,0,0,1,0,41,0,2,0,2,0
"RP11-54O7.17",79,0,2,0,0,0,1,3,0,0,0,0,0,0,3,3,0,0,1,0,1,0,1,0,20,1,1,1,0,0
"HES4",702,11,54,1,1,1,22,97,0,10,1,0,1,18,87,31,23,5,174,3,10,4,32,18,265,22,13,1,24,18
"ISG15",925,71,87,5,5,13,96,608,1,46,3,7,0,287,473,261,46,96,646,26,24,18,163,10,1760,52,116,25,142,62
"AGRN",15,1,2,0,0,1,1,16,0,0,0,0,0,5,0,1,0,2,5,0,0,0,1,0,16,1,0,0,1,4
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"C1orf159",11,0,3,0,1,2,0,11,0,0,1,1,0,8,3,0,2,3,14,0,0,0,12,1,37,0,1,0,0,1
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,3,0,0,0,0,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,1,0,2,0,3,0,1,0,0,1
"TNFRSF18",106,8,12,5,4,2,5,33,4,8,2,15,1,40,127,32,5,14,83,1,29,7,5,0,2455,6,16,3,69,7
"TNFRSF4",84,3,5,0,0,0,1,42,6,4,2,6,1,26,215,12,2,13,172,0,5,2,6,1,960,2,12,2,126,24
