"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NKT cells","Normal Epithelial cells","Regulatory CD4 Tcells","Vascular ECs"
"AP006222.2",17,0,8,8,90,2,1,0,5,0,8,1,0,29,0,18
"LINC00115",1,1,0,0,2,0,0,0,1,0,0,0,0,2,0,0
"FAM41C",8,0,0,0,7,0,2,0,1,0,0,0,0,11,0,1
"SAMD11",1,0,0,0,117,0,0,0,1,1,5,0,0,0,0,2
"NOC2L",9,1,3,1,62,4,1,0,7,4,2,6,0,88,0,21
"KLHL17",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"HES4",11,0,1,3,57,0,1,0,0,1,8,0,0,40,0,13
"ISG15",59,7,15,8,280,3,3,3,35,10,9,19,1,32,3,94
"AGRN",0,0,0,0,11,0,0,0,1,0,0,0,0,11,0,5
"C1orf159",1,0,0,0,4,0,0,1,0,0,0,0,0,13,0,0
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
"TNFRSF18",0,0,0,2,5,12,0,0,11,1,0,1,0,0,1,4
"TNFRSF4",5,0,0,5,16,5,0,0,18,5,0,3,0,0,0,87
"SDF4",13,1,7,4,178,2,4,0,6,4,6,5,0,216,5,29
"B3GALT6",7,2,1,0,6,0,0,0,1,0,0,1,0,8,0,0
"FAM132A",0,0,0,0,1,0,0,0,0,0,0,0,0,33,0,10
"UBE2J2",7,1,4,2,74,0,2,0,4,3,7,2,2,98,0,23
"ACAP3",4,0,0,0,19,0,1,0,0,0,0,1,0,14,0,1
"PUSL1",3,1,3,0,19,0,0,0,1,0,1,0,0,28,0,4
"CPSF3L",15,0,8,1,59,2,0,1,7,3,9,1,1,112,0,24
"DVL1",0,1,0,1,3,0,0,0,0,0,0,0,0,30,0,1
"MXRA8",2,0,0,24,271,0,1,0,2,0,8,0,0,1,0,1
"AURKAIP1",50,4,20,19,229,0,2,8,45,6,9,5,1,870,3,55
"CCNL2",5,3,3,5,56,0,3,1,0,0,3,2,0,55,0,3
"MRPL20",43,2,11,9,197,9,4,4,20,3,15,2,3,318,0,42
"ANKRD65",0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,10
"VWA1",1,1,0,10,20,0,0,0,0,0,3,0,0,3,0,135
"ATAD3C",2,0,0,0,11,0,0,0,0,0,0,0,0,10,0,0
"ATAD3B",2,0,0,0,2,0,1,0,0,0,0,0,0,20,1,1
"ATAD3A",2,0,1,0,16,1,2,0,1,0,0,0,0,47,0,8
"SSU72",29,5,16,13,127,2,13,0,25,7,6,14,1,361,6,43
"AL645728.1",1,1,0,0,5,0,0,0,1,0,0,0,0,3,0,2
"C1orf233",1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"RP11-345P4.9",4,0,0,2,17,0,0,0,0,0,0,0,0,7,0,1
"MIB2",1,2,0,0,11,4,0,0,14,4,0,1,0,75,0,9
"MMP23B",0,0,1,0,66,0,0,0,0,1,6,0,0,0,0,0
"CDK11B",3,0,1,1,22,0,0,2,5,0,2,1,0,44,0,7
"SLC35E2B",1,1,2,0,11,0,0,0,1,0,1,0,0,25,0,2
"CDK11A",3,1,0,0,12,1,0,0,2,0,0,1,0,16,0,4
"NADK",19,0,3,1,12,0,0,0,2,0,0,0,0,57,0,5
"GNB1",14,1,10,3,40,0,0,0,7,0,4,6,1,122,0,16
"TMEM52",0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0
"PRKCZ",1,0,0,0,9,0,0,0,1,0,0,0,0,39,0,1
"RP5-892K4.1",0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0
"SKI",2,0,0,2,31,0,0,0,4,0,4,0,0,19,0,6
"MORN1",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
