"","individual","sample","cell_type","state","n_reactions","CMS"
"31_scrEXT001_Regulatory CD4 Tcells","31","scrEXT001","Regulatory CD4 Tcells","Tumour",7046,"CMS1"
"31_scrEXT001_Memory CD8 Tcells","31","scrEXT001","Memory CD8 Tcells","Tumour",4949,"CMS1"
"31_scrEXT001_Naive CD4 Tcells","31","scrEXT001","Naive CD4 Tcells","Tumour",4838,"CMS1"
"31_scrEXT001_Proliferative CD4 Tcells","31","scrEXT001","Proliferative CD4 Tcells","Tumour",4933,"CMS1"
"31_scrEXT001_IL17+ CD4 Tcells","31","scrEXT001","IL17+ CD4 Tcells","Tumour",5227,"CMS1"
"31_scrEXT001_Memory CD4 Tcells","31","scrEXT001","Memory CD4 Tcells","Tumour",6870,"CMS1"
"31_scrEXT002_Regulatory CD4 Tcells","31","scrEXT002","Regulatory CD4 Tcells","Tumour",7204,"CMS1"
"31_scrEXT002_Memory CD8 Tcells","31","scrEXT002","Memory CD8 Tcells","Tumour",6576,"CMS1"
"31_scrEXT002_Naive CD4 Tcells","31","scrEXT002","Naive CD4 Tcells","Tumour",5861,"CMS1"
"31_scrEXT002_Follicular CD4 Tcells","31","scrEXT002","Follicular CD4 Tcells","Tumour",5810,"CMS1"
"31_scrEXT002_Proliferative CD4 Tcells","31","scrEXT002","Proliferative CD4 Tcells","Tumour",4850,"CMS1"
"31_scrEXT002_Proliferative CD8 Tcells","31","scrEXT002","Proliferative CD8 Tcells","Tumour",6100,"CMS1"
"31_scrEXT002_Memory CD4 Tcells","31","scrEXT002","Memory CD4 Tcells","Tumour",6289,"CMS1"
"31_scrEXT003_Memory CD8 Tcells","31","scrEXT003","Memory CD8 Tcells","Normal Matched",6341,"Normal Matched"
"31_scrEXT003_Memory CD4 Tcells","31","scrEXT003","Memory CD4 Tcells","Normal Matched",6615,"Normal Matched"
"31_scrEXT003_Naive CD4 Tcells","31","scrEXT003","Naive CD4 Tcells","Normal Matched",4983,"Normal Matched"
