HG	Boundary_Reaction	HMDB	concentration	Name
m00157s	HMR_9134	HMDB0000011	702.5	(R)-3-hydroxybutanoate
m00309s	EX_12HPET[e]	HMDB0004243	0.00145	12(S)-HPETE
m00341s	EX_M00341[e]	HMDB0002823	0.004	13,16,19-docosatrienoic acid
m00353s	HMR_9210	HMDB0003141	0.0066	13-cis-retinoyl-glucuronide
m00536s	HMR_9104	HMDB0000699	0.43	1-methylnicotinamide
m00580s	HMR_9268	HMDB0003069	0.0291	20alpha-hydroxy-4-pregnen-3-one
m00620s	HMR_9214	HMDB0001438	9001.12475714286	25-Hydroxyvitamin D2
m00648s	HMR_9216	HMDB0000008	42.225	2-Hydroxybutyrate
m00665s	HMR_9217	HMDB0000379	0.0795	2-Methylcitrate
m00730s	HMR_9218	HMDB0000318	0.00766666666666667	3,4-dihydroxyphenylethyleneglycol
m00970s	HMR_9091	HMDB0000112	0.21	4-aminobutyrate
m00998s	HMR_9223	HMDB0006468	0.217	4-Hydroxy-debrisoquine
m01003s	HMR_9224	HMDB0000020	9.88144444444444	4-hydroxyphenylacetate
m01033s	HMR_9228	HMDB0000017	0.02095	4-Pyridoxate
m01069s	HMR_9229	HMDB0002961	0.0019422	5-alpha-dihydrotestosterone
m01100s	HMR_9100	HMDB0001562	0.0025	5-formyl-THF
m01107s	HMR_9094	HMDB0000472	0.018	5-Hydroxy-L-tryptophan
m01115s	HMR_9234	HMDB0001396	0.3	5-methyl-THF
m01249s	HMR_9242	HMDB0000990	1	Acetaldehyde
m01252s	HMR_9086	HMDB0000042	46.735	Acetate
m01253s	HMR_9132	HMDB0000060	152.058333333333	Acetoacetate
m01256s	HMR_9243	HMDB0001659	65.0333333333333	Acetone
m01279s	HMR_9253	HMDB0000034	0.47	Adenine
m01280s	HMR_9254	HMDB0000050	1.3435	Adenosine
m01285s	HMR_9255	HMDB0001341	160	ADP
m01290s	HMR_9095	HMDB0000068	0.0007375	adrenaline
m01291s	EX_adrn[e]	HMDB0002226	4.07275	Adrenic acid
