"","Gene_stable_ID","Transcript_stable_ID","Protein_stable_ID","UniProtKB_Swiss_Prot_ID","Gene_name","NCBI_gene_ID"
"1","ENSG00000000419","ENST00000371582","ENSP00000360638","","DPM1",8813
"2","ENSG00000000419","ENST00000371584","ENSP00000360640","","DPM1",8813
"3","ENSG00000000419","ENST00000371588","ENSP00000360644","O60762","DPM1",8813
"4","ENSG00000000419","ENST00000413082","ENSP00000394921","","DPM1",8813
"5","ENSG00000000938","ENST00000374003","ENSP00000363115","P09769","FGR",2268
"6","ENSG00000000938","ENST00000374004","ENSP00000363116","P09769","FGR",2268
"7","ENSG00000000938","ENST00000374005","ENSP00000363117","P09769","FGR",2268
"8","ENSG00000000938","ENST00000399173","ENSP00000382126","P09769","FGR",2268
"9","ENSG00000000938","ENST00000457296","ENSP00000407670","","FGR",2268
"10","ENSG00000001036","ENST00000002165","ENSP00000002165","Q9BTY2","FUCA2",2519
"11","ENSG00000001036","ENST00000451668","ENSP00000398119","","FUCA2",2519
"12","ENSG00000001084","ENST00000229416","ENSP00000229416","P48506","GCLC",2729
"13","ENSG00000001084","ENST00000504525","ENSP00000421228","","GCLC",2729
"14","ENSG00000001084","ENST00000505197","ENSP00000427403","","GCLC",2729
"15","ENSG00000001084","ENST00000509541","ENSP00000495056","","GCLC",2729
"16","ENSG00000001084","ENST00000513939","ENSP00000424211","","GCLC",2729
"17","ENSG00000001084","ENST00000514004","ENSP00000421908","","GCLC",2729
"18","ENSG00000001084","ENST00000616923","ENSP00000482756","","GCLC",2729
"19","ENSG00000001084","ENST00000643939","ENSP00000495686","","GCLC",2729
"20","ENSG00000001084","ENST00000650454","ENSP00000497574","","GCLC",2729
"21","ENSG00000001630","ENST00000003100","ENSP00000003100","","CYP51A1",1595
"22","ENSG00000001630","ENST00000422867","ENSP00000394268","","CYP51A1",1595
"23","ENSG00000001630","ENST00000450723","ENSP00000406757","Q16850","CYP51A1",1595
"24","ENSG00000002549","ENST00000226299","ENSP00000226299","P28838","LAP3",51056
"25","ENSG00000002549","ENST00000509583","ENSP00000423350","","LAP3",51056
"26","ENSG00000002549","ENST00000513105","ENSP00000424724","","LAP3",51056
"27","ENSG00000002549","ENST00000606142","ENSP00000476028","P28838","LAP3",51056
