"gene","gene_symbol","reaction","pathways"
"ENSG00000147576","ADHFE1","MAR03905","Glycolysis / Gluconeogenesis"
"ENSG00000172955","ADH6","MAR03905","Glycolysis / Gluconeogenesis"
"ENSG00000180011","ZADH2","MAR03905","Glycolysis / Gluconeogenesis"
"ENSG00000187758","ADH1A","MAR03905","Glycolysis / Gluconeogenesis"
"ENSG00000196344","ADH7","MAR03905","Glycolysis / Gluconeogenesis"
"ENSG00000196616","ADH1B","MAR03905","Glycolysis / Gluconeogenesis"
"ENSG00000197894","ADH5","MAR03905","Glycolysis / Gluconeogenesis"
"ENSG00000198099","ADH4","MAR03905","Glycolysis / Gluconeogenesis"
"ENSG00000248144","ADH1C","MAR03905","Glycolysis / Gluconeogenesis"
"ENSG00000117448","AKR1A1","MAR03907","Glycolysis / Gluconeogenesis"
"ENSG00000131069","ACSS2","MAR04097","Glycolysis / Gluconeogenesis"
"ENSG00000111058","ACSS3","MAR04099","Glycolysis / Gluconeogenesis"
"ENSG00000154930","ACSS1","MAR04099","Glycolysis / Gluconeogenesis"
"ENSG00000131069","ACSS2","MAR04108","Glycolysis / Gluconeogenesis"
"ENSG00000131069","ACSS2","MAR04133","Glycolysis / Gluconeogenesis"
"ENSG00000091140","DLD","MAR04137","Glycolysis / Gluconeogenesis"
"ENSG00000110435","PDHX","MAR04137","Glycolysis / Gluconeogenesis"
"ENSG00000131828","PDHA1","MAR04137","Glycolysis / Gluconeogenesis"
"ENSG00000163114","PDHA2","MAR04137","Glycolysis / Gluconeogenesis"
"ENSG00000150768","DLAT","MAR04137","Glycolysis / Gluconeogenesis"
"ENSG00000168291","PDHB","MAR04137","Glycolysis / Gluconeogenesis"
"ENSG00000111716","LDHB","MAR04281","Glycolysis / Gluconeogenesis"
"ENSG00000134333","LDHA","MAR04281","Glycolysis / Gluconeogenesis"
"ENSG00000151116","UEVLD","MAR04281","Glycolysis / Gluconeogenesis"
"ENSG00000166796","LDHC","MAR04281","Glycolysis / Gluconeogenesis"
"ENSG00000166800","LDHAL6A","MAR04281","Glycolysis / Gluconeogenesis"
"ENSG00000171989","LDHAL6B","MAR04281","Glycolysis / Gluconeogenesis"
"ENSG00000111716","LDHB","MAR04388","Glycolysis / Gluconeogenesis"
"ENSG00000134333","LDHA","MAR04388","Glycolysis / Gluconeogenesis"
"ENSG00000151116","UEVLD","MAR04388","Glycolysis / Gluconeogenesis"
"ENSG00000166796","LDHC","MAR04388","Glycolysis / Gluconeogenesis"
"ENSG00000166800","LDHAL6A","MAR04388","Glycolysis / Gluconeogenesis"
"ENSG00000171989","LDHAL6B","MAR04388","Glycolysis / Gluconeogenesis"
"ENSG00000006534","ALDH3B1","MAR04283","Glycolysis / Gluconeogenesis"
"ENSG00000108602","ALDH3A1","MAR04283","Glycolysis / Gluconeogenesis"
"ENSG00000132746","ALDH3B2","MAR04283","Glycolysis / Gluconeogenesis"
"ENSG00000184254","ALDH1A3","MAR04283","Glycolysis / Gluconeogenesis"
"ENSG00000072210","ALDH3A2","MAR08357","Glycolysis / Gluconeogenesis"
"ENSG00000111275","ALDH2","MAR08357","Glycolysis / Gluconeogenesis"
"ENSG00000137124","ALDH1B1","MAR08357","Glycolysis / Gluconeogenesis"
"ENSG00000143149","ALDH9A1","MAR08357","Glycolysis / Gluconeogenesis"
"ENSG00000164904","ALDH7A1","MAR08357","Glycolysis / Gluconeogenesis"
"ENSG00000067057","PFKP","MAR04379","Glycolysis / Gluconeogenesis"
"ENSG00000141959","PFKL","MAR04379","Glycolysis / Gluconeogenesis"
"ENSG00000152556","PFKM","MAR04379","Glycolysis / Gluconeogenesis"
"ENSG00000067057","PFKP","MAR04301","Glycolysis / Gluconeogenesis"
"ENSG00000141959","PFKL","MAR04301","Glycolysis / Gluconeogenesis"
"ENSG00000152556","PFKM","MAR04301","Glycolysis / Gluconeogenesis"
"ENSG00000160226","CFAP410","MAR04301","Glycolysis / Gluconeogenesis"
"ENSG00000109107","ALDOC","MAR04355","Glycolysis / Gluconeogenesis"
"ENSG00000136872","ALDOB","MAR04355","Glycolysis / Gluconeogenesis"
"ENSG00000149925","ALDOA","MAR04355","Glycolysis / Gluconeogenesis"
"ENSG00000285043","AC093512.2","MAR04355","Glycolysis / Gluconeogenesis"
"ENSG00000067225","PKM","MAR04358","Glycolysis / Gluconeogenesis"
"ENSG00000121900","TMEM54","MAR04358","Glycolysis / Gluconeogenesis"
"ENSG00000143627","PKLR","MAR04358","Glycolysis / Gluconeogenesis"
"ENSG00000143630","HCN3","MAR04358","Glycolysis / Gluconeogenesis"
"ENSG00000180011","ZADH2","MAR04360","Glycolysis / Gluconeogenesis"
"ENSG00000074800","ENO1","MAR04363","Glycolysis / Gluconeogenesis"
"ENSG00000108515","ENO3","MAR04363","Glycolysis / Gluconeogenesis"
"ENSG00000111674","ENO2","MAR04363","Glycolysis / Gluconeogenesis"
"ENSG00000164708","PGAM2","MAR04365","Glycolysis / Gluconeogenesis"
"ENSG00000171314","PGAM1","MAR04365","Glycolysis / Gluconeogenesis"
"ENSG00000172331","BPGM","MAR04365","Glycolysis / Gluconeogenesis"
"ENSG00000226784","PGAM4","MAR04365","Glycolysis / Gluconeogenesis"
"ENSG00000096006","CRISP3","MAR04368","Glycolysis / Gluconeogenesis"
"ENSG00000102144","PGK1","MAR04368","Glycolysis / Gluconeogenesis"
"ENSG00000154305","MIA3","MAR04368","Glycolysis / Gluconeogenesis"
"ENSG00000170950","PGK2","MAR04368","Glycolysis / Gluconeogenesis"
"ENSG00000119640","ACYP1","MAR04370","Glycolysis / Gluconeogenesis"
"ENSG00000170634","ACYP2","MAR04370","Glycolysis / Gluconeogenesis"
"ENSG00000164708","PGAM2","MAR04371","Glycolysis / Gluconeogenesis"
"ENSG00000171314","PGAM1","MAR04371","Glycolysis / Gluconeogenesis"
