ID,Plasmax,HPLM,RPMI.1640,Blood_SMDB
MAR09061,0.51,0.43,0,0.35861
MAR09066,64,0.11,1149,0.085805
MAR09062,41,0.05,379,0.053135
MAR09070,6,0.02,0.15,0.021723
MAR09065,33,0.04,0,0.140735
MAR09071,98,0.08,136,0.065419
MAR09063,0.65,0.55,2055,0.587715
MAR09067,0.33,0.3,133,0.456676
MAR09038,0.12,0.11,97,0.120661
MAR09039,0.14,0.07,382,0.06371
MAR09040,0.17,0.16,382,0.13328
MAR09041,0.22,0.2,219,0.187738
MAR09042,0.03,0.03,101,0.2150466
MAR09043,68,0.08,91,0.06945
MAR09068,0.36,0.2,174,0.198863
MAR09069,0.14,0.15,286,0.1397
MAR09044,0.24,0.14,168,0.147783
MAR09045,78,0.06,25,0.0610829
MAR09064,74,0.08,111,0.077788
MAR09046,0.23,0.22,171,0.216567
MAR10206,41,0.02,0,0.0228
MAR09201,55,0.04,0,0.041892
MAR09363,65,0.1,0.2077,0.081457
MAR09853,9,0,0,0.008808
MAR08386,13,0.02,0.1527,0.021565
MAR09087,0.08,0.01,0,0.078271
MAR09025,0.02,0,0,0.0195
MAR10196,0.07,0.09,0,0.08957
MAR08644,6,0,0,0.00323
MAR09351,37,25,0.0033,0.089835
MAR09418,0.13,0.09,0,0.103561
MAR09341,72,0.07,0,0.072545
MAR09086,42,0.04,0,0.046735
MAR09243,55,0.06,0,0.0650333
MAR09920,5,0,0,0.006473
MAR09286,114,0.13,0,0.125713
MAR09292,46,0.04,0,0.040938
MAR09290,37,0.04,0,0.050453
MAR09460,74,75,0,0.060582
MAR09318,33,0.05,0,0.103173
MAR09139,0,0.04,0,0.0395
MAR09140,0,0.06,0,0.059303
MAR09034,5.56,5,11111,4.687664
MAR09085,82,0.12,0,0.140733
MAR09216,31,0.05,0,0.042225
MAR09134,77,0.05,0,0.7025
MAR10185,0.02,0,0,0.0205
MAR09358,5,0.01,0,0.006322
MAR09135,0.5,1.6,0,1.612554
MAR09136,0.5,1.6,0,0.00913
MAR09132,41,0,0,0.1520583
MAR09133,0.1,0.05,0,0.072693
MAR09415,23,0.02,0,0.014275
MAR09437,2,0,0,0.001135
MAR09075,0.27,0.35,0,0.2830244
MAR09438,3,5,0,3.7490856
MAR09439,3,0,0,0.009107
MAR11420,0.0500026,0.04,0,0.0385
MAR09150,127686,114.8,108781,103.044444
