ID,Blood_SMDB
MAR09061,1000
MAR09066,1000
MAR09062,1000
MAR09070,1000
MAR09065,1000
MAR09071,1000
MAR09063,1000
MAR09067,1000
MAR09038,1000
MAR09039,1000
MAR09040,1000
MAR09041,1000
MAR09042,1000
MAR09043,1000
MAR09068,1000
MAR09069,1000
MAR09044,1000
MAR09045,1000
MAR09064,1000
MAR09046,1000
MAR10206,1000
MAR09201,1000
MAR09363,1000
MAR09853,1000
MAR08386,1000
MAR09087,1000
MAR09025,1000
MAR10196,1000
MAR08644,1000
MAR09351,1000
MAR09418,1000
MAR09341,1000
MAR09086,1000
MAR09243,1000
MAR09920,1000
MAR09286,1000
MAR09292,1000
MAR09290,1000
MAR09460,1000
MAR09318,1000
MAR09139,1000
MAR09140,1000
MAR09034,1000
MAR09085,1000
MAR09216,1000
MAR09134,1000
MAR10185,1000
MAR09358,1000
MAR09135,1000
MAR09136,1000
MAR09132,1000
MAR09133,1000
MAR09415,1000
MAR09437,1000
MAR09075,1000
MAR09438,1000
MAR09439,1000
MAR11420,1000
MAR09150,1000
MAR11906,1000
MAR09074,1000
MAR09078,1000
MAR09072,1000
MAR09096,1000
MAR09145,1000
MAR09028,1000
MAR09158,1000
MAR09109,1000
MAR09083,1000
MAR09146,1000
MAR09361,1000
MAR09378,1000
MAR09144,1000
MAR09143,1000
MAR09159,1000
MAR09269,1000
MAR09167,1000
MAR09035,1000
MAR09036,1000
MAR09147,1000
MAR09151,1000
MAR09153,1000
MAR09441,1000
MAR09442,1000
MAR09048,1000
MAR09047,1000
MAR09079,1000
MAR10179,1000
MAR13051,1000
MAR09210,1000
MAR09104,1000
MAR09268,1000
MAR09214,1000
MAR09217,1000
MAR09218,1000
MAR09091,1000
MAR09223,1000
MAR09224,1000
MAR09228,1000
MAR09229,1000
MAR09100,1000
MAR09094,1000
MAR09234,1000
MAR09242,1000
MAR09253,1000
MAR09254,1000
MAR09255,1000
MAR09095,1000
MAR00566,1000
MAR09259,1000
MAR09261,1000
MAR09152,1000
MAR09262,1000
MAR09263,1000
MAR09264,1000
MAR00568,1000
MAR00569,1000
MAR04929,1000
MAR09260,1000
MAR09273,1000
MAR09809,1000
MAR09215,1000
MAR09275,1000
MAR00618,1000
MAR09220,1000
MAR10026,1000
MAR09280,1000
MAR09285,1000
MAR13056,1000
MAR04927,1000
MAR10432,1000
MAR00704,1000
MAR09058,1000
MAR09701,1000
MAR09702,1000
MAR09293,1000
MAR09279,1000
MAR09295,1000
MAR09291,1000
MAR09098,1000
MAR09299,1000
MAR09815,1000
MAR09301,1000
MAR09302,1000
MAR09296,1000
MAR09310,1000
MAR09685,1000
MAR00573,1000
MAR00576,1000
MAR09092,1000
MAR09454,1000
MAR00571,1000
MAR00567,1000
MAR00583,1000
MAR00701,1000
MAR09129,1000
MAR09314,1000
MAR09452,1000
MAR09099,1000
MAR09084,1000
MAR09453,1000
MAR01939,1000
MAR09076,1000
MAR00626,1000
MAR09340,1000
MAR09168,1000
MAR09342,1000
MAR09283,1000
MAR09281,1000
MAR04151,1000
MAR09350,1000
MAR09352,1000
MAR09348,1000
MAR09354,1000
MAR09239,1000
MAR09811,1000
MAR00619,1000
MAR09161,1000
MAR09694,1000
MAR09360,1000
MAR09362,1000
MAR10027,1000
MAR09270,1000
MAR09241,1000
MAR10434,1000
MAR09219,1000
MAR09365,1000
MAR09366,1000
MAR09368,1000
MAR00621,1000
MAR09369,1000
MAR04164,1000
MAR09373,1000
MAR09137,1000
MAR00620,1000
MAR13058,1000
MAR09372,1000
MAR09090,1000
MAR00702,1000
MAR09376,1000
MAR12141,1000
MAR09377,1000
MAR00637,1000
MAR09073,1000
MAR09142,1000
MAR09149,1000
MAR09381,1000
MAR09093,1000
MAR09382,1000
MAR09813,1000
MAR00650,1000
MAR00577,1000
MAR09387,1000
MAR09690,1000
MAR00611,1000
MAR00617,1000
MAR00662,1000
MAR09391,1000
MAR13060,1000
MAR09037,1000
MAR11405,1000
MAR09393,1000
MAR09808,1000
MAR04203,1000
MAR04213,1000
MAR04217,1000
MAR09395,1000
MAR09396,1000
MAR09397,1000
MAR09398,1000
MAR11426,1000
MAR09691,1000
MAR09404,1000
MAR09405,1000
MAR09401,1000
MAR09406,1000
MAR09131,1000
MAR09412,1000
MAR11427,1000
MAR09715,1000
MAR11947,1000
MAR00639,1000
MAR00695,1000
MAR09416,1000
MAR09284,1000
MAR09282,1000
MAR04146,1000
MAR09429,1000
MAR09421,1000
MAR09420,1000
MAR09432,1000
MAR09433,1000
MAR09423,1000
MAR09424,1000
MAR13061,1000
MAR09427,1000
MAR09435,1000
MAR09810,1000
MAR09693,1000
MAR09138,1000
MAR00659,1000
MAR01946,1000
MAR01965,1000
MAR04144,1000
MAR11424,1000
MAR04859,1000
MAR04889,1000
MAR04918,1000
MAR08959,1000
MAR08646,1000
MAR08962,1000
MAR09010,1000
MAR09011,1000
MAR09012,1000
MAR09013,1000
MAR09026,1000
MAR11404,1000
MAR09843,1000
MAR09851,1000
MAR09858,1000
MAR09852,1000
MAR09857,1000
MAR09855,1000
MAR09859,1000
MAR09845,1000
MAR09846,1000
MAR09848,1000
MAR09849,1000
MAR11400,1000
MAR09850,1000
MAR09854,1000
MAR09856,1000
MAR11428,1000
MAR09861,1000
MAR10492,1000
MAR09919,1000
MAR09921,1000
MAR09923,1000
MAR09925,1000
MAR11351,1000
MAR10474,1000
MAR10180,1000
MAR10184,1000
MAR10186,1000
MAR10427,1000
MAR10190,1000
MAR10193,1000
MAR10428,1000
MAR10195,1000
MAR10198,1000
MAR10200,1000
MAR10431,1000
MAR10202,1000
MAR10208,1000
MAR10209,1000
MAR10210,1000
MAR10211,1000
MAR10213,1000
MAR10214,1000
MAR10145,1000
MAR10216,1000
MAR10217,1000
MAR10218,1000
MAR10219,1000
MAR10224,1000
MAR10225,1000
MAR10226,1000
MAR10228,1000
MAR10243,1000
MAR10247,1000
MAR10255,1000
MAR10256,1000
MAR10262,1000
MAR10301,1000
MAR10321,1000
MAR10339,1000
MAR10347,1000
MAR11422,1000
MAR10436,1000
MAR11419,1000
MAR10439,1000
MAR10441,1000
MAR10490,1000
MAR10491,1000
MAR11348,1000
MAR11391,1000
MAR11393,1000
MAR11431,1000
MAR11432,1000
MAR11438,1000
MAR11439,1000
MAR11440,1000
MAR11441,1000
MAR11446,1000
MAR11448,1000
MAR11457,1000
MAR11848,1000
MAR11855,1000
MAR11856,1000
MAR11863,1000
MAR11864,1000
MAR11865,1000
MAR11867,1000
MAR11868,1000
MAR11869,1000
MAR11870,1000
MAR11871,1000
MAR11875,1000
MAR11934,1000
MAR11930,1000
MAR11912,1000
MAR11927,1000
MAR11961,1000
MAR11957,1000
MAR11933,1000
MAR11962,1000
MAR11952,1000
MAR11918,1000
MAR11965,1000
MAR11836,1000
MAR11839,1000
MAR11847,1000
MAR11850,1000
MAR11858,1000
MAR11860,1000
MAR11879,1000
MAR11881,1000
MAR11887,1000
MAR11889,1000
MAR11895,1000
MAR11901,1000
MAR11904,1000
MAR11916,1000
MAR11920,1000
MAR11922,1000
MAR11925,1000
MAR11929,1000
MAR11932,1000
MAR11936,1000
MAR11940,1000
MAR11942,1000
MAR11945,1000
MAR11951,1000
MAR11959,1000
MAR13031,1000
MAR11967,1000
MAR11969,1000
MAR11971,1000
MAR11866,1000
MAR11891,1000
MAR09203,1000
MAR09868,1000
MAR09088,1000
MAR11954,1000
MAR11842,1000
MAR09411,1000
MAR01984,1000
MAR01986,1000
MAR09436,1000
MAR09842,1000
MAR10426,1000
MAR11481,1000
MAR11876,1000
MAR11519,1000
MAR10188,1000
MAR09276,1000
MAR10429,1000
MAR10240,1000
MAR11466,1000
MAR10246,1000
MAR11301,1000
MAR10249,1000
MAR04943,1000
MAR04148,1000
MAR04899,1000
MAR11568,1000
MAR09865,1000
MAR09729,1000
MAR12693,1000
MAR10496,1000
MAR09862,1000
MAR09924,1000
MAR04150,1000
MAR04173,1000
MAR09303,1000
MAR11974,1000
MAR08967,1000
MAR08966,1000
MAR10191,1000
MAR09113,1000
MAR09375,1000
MAR09288,1000
MAR09410,1000
MAR09343,1000
MAR09317,1000
MAR09399,1000
MAR01922,1000
MAR09863,1000
MAR11953,1000
MAR09400,1000
MAR04096,1000
MAR09294,1000
MAR11902,1000
MAR10475,1000
MAR11821,1000
MAR04380,1000
MAR10345,1000
MAR11823,1000
MAR09122,1000
MAR04334,1000
MAR09160,1000
MAR11956,1000
MAR11917,1000
MAR10495,1000
MAR11914,1000
MAR09165,1000
MAR04895,1000
MAR11897,1000
MAR04153,1000
MAR04178,1000
MAR12233,1000
MAR04234,1000
MAR10230,1000
MAR10235,1000
MAR09367,1000
MAR10346,1000
MAR09103,1000
MAR11893,1000
MAR09461,1000
MAR00666,1000
MAR13067,1000
MAR09222,1000
MAR09221,1000
MAR12007,1000
MAR10181,1000
MAR11911,1000
MAR04409,1000
MAR09336,1000
MAR10227,1000
MAR10233,1000
MAR11908,1000
MAR12114,1000
MAR11884,1000
MAR09308,1000
MAR00603,1000
MAR11833,1000
MAR09163,1000
MAR09097,1000
MAR10234,1000
MAR11830,1000
MAR10232,1000
MAR11909,1000
MAR10215,1000
MAR12128,1000
MAR11907,1000
MAR04815,1000
MAR04897,1000
MAR11949,1000
MAR04869,1000
MAR04822,1000
