"reaction","metabolite"
"MAR09061","Alanine"
"MAR09066","Arginine"
"MAR09062","Asparagine"
"MAR09070","aspartate"
"MAR09065","Cysteine"
"MAR09071","glutamate"
"MAR09063","Glutamine"
"MAR09067","Glycine"
"MAR09038","Histidine"
"MAR09039","Isoleucine"
"MAR09040","Leucine"
"MAR09041","Lysine"
"MAR09042","Methionine"
"MAR09043","Phenylalanine"
"MAR09068","Proline"
"MAR09069","Serine"
"MAR09044","Threonine"
"MAR09045","tryptophan"
"MAR09064","Tyrosine"
"MAR09046","Valine"
"MAR10206","(S)-2-aminobutanoate"
"MAR09201","Citrulline"
"MAR09363","Cystine"
"MAR09853","Homocysteine"
"MAR08386","trans-4-hydroxy-L-proline"
"MAR09087","Ornithine"
"MAR09025","5-oxoproline"
"MAR10196","Acetyl-glycine"
"MAR08644","Carnosine"
"MAR09351","GSH"
"MAR09418","Taurine"
"MAR09341","Betaine"
"MAR09086","Acetate"
"MAR09243","Acetone"
"MAR09920","O-Acetylcarnitine"
"MAR09286","Citrate"
"MAR09292","L-Carnitine"
"MAR09290","Creatine"
"MAR09460","Creatinine"
"MAR09318","Formate"
"MAR09139","Fructose"
"MAR09140","Galactose"
"MAR09034","Glucose"
"MAR09085","Glycerol"
"MAR09216","2-Hydroxybutyrate"
"MAR09134","(R)-3-hydroxybutanoate"
"MAR10185","3-Hydroxyisobutyrate"
"MAR09358","Hypoxanthine"
"MAR09135","L-Lactate"
"MAR09136","D-Lactate"
"MAR09132","Acetoacetate"
"MAR09133","Pyruvate"
"MAR09415","Succinate"
"MAR09437","Uracil"
"MAR09075","urate"
"MAR09438","Urea"
"MAR09439","Uridine"
"MAR11420","NH4+"
"MAR09150","Chloride"
"MAR11906","peroxynitrite"
"MAR09074","Sulfate"
"MAR09078","HCO3-"
"MAR09072","Pi"
"MAR09096","Fe3+"
"MAR09145","Pantothenate"
"MAR09028","anthranilate"
"MAR09158","Ascorbate"
"MAR09109","Biotin"
"MAR09083","Choline"
"MAR09146","Folate"
"MAR09361","Inositol"
"MAR09378","nicotinamide"
"MAR09144","Pyridoxine"
"MAR09143","Riboflavin"
"MAR09159","Thiamin"
"MAR09269","aquacob(III)alamin"
"MAR09167","lipoic acid"
"MAR09035","Linoleate"
"MAR09036","Linolenate"
"MAR09147","retinol"
"MAR09151","alpha-Tocopherol"
"MAR09153","Gamma-Tocopherol"
"MAR09441","Vitamin D2"
"MAR09442","Vitamin D3"
"MAR10179","12(S)-HPETE"
"MAR13051","13,16,19-docosatrienoic acid"
"MAR09210","13-cis-retinoyl-glucuronide"
"MAR09104","1-methylnicotinamide"
"MAR09268","20alpha-hydroxy-4-pregnen-3-one"
"MAR09214","25-Hydroxyvitamin D2"
"MAR09217","2-Methylcitrate"
"MAR09218","3,4-dihydroxyphenylethyleneglycol"
"MAR09091","4-aminobutyrate"
"MAR09223","4-Hydroxy-debrisoquine"
"MAR09224","4-hydroxyphenylacetate"
"MAR09228","4-Pyridoxate"
"MAR09229","5-alpha-dihydrotestosterone"
