"REACTION","SUBSYSTEM"
"HMR_0154","Acyl-CoA hydrolysis"
"HMR_0189","Acyl-CoA hydrolysis"
"HMR_0193","Acyl-CoA hydrolysis"
"HMR_0197","Acyl-CoA hydrolysis"
"HMR_0201","Acyl-CoA hydrolysis"
"HMR_0206","Acyl-CoA hydrolysis"
"HMR_0210","Acyl-CoA hydrolysis"
"HMR_0214","Acyl-CoA hydrolysis"
"HMR_0223","Acyl-CoA hydrolysis"
"HMR_0230","Acyl-CoA hydrolysis"
"HMR_0234","Acyl-CoA hydrolysis"
"HMR_0238","Acyl-CoA hydrolysis"
"HMR_0242","Acyl-CoA hydrolysis"
"HMR_0246","Acyl-CoA hydrolysis"
"HMR_0250","Acyl-CoA hydrolysis"
"HMR_0256","Acyl-CoA hydrolysis"
"HMR_0260","Acyl-CoA hydrolysis"
"HMR_0264","Acyl-CoA hydrolysis"
"HMR_0268","Acyl-CoA hydrolysis"
"HMR_0272","Acyl-CoA hydrolysis"
"HMR_0276","Acyl-CoA hydrolysis"
"HMR_0280","Acyl-CoA hydrolysis"
"HMR_0284","Acyl-CoA hydrolysis"
"HMR_0290","Acyl-CoA hydrolysis"
"HMR_0294","Acyl-CoA hydrolysis"
"HMR_0298","Acyl-CoA hydrolysis"
"HMR_0302","Acyl-CoA hydrolysis"
"HMR_0306","Acyl-CoA hydrolysis"
"HMR_0310","Acyl-CoA hydrolysis"
"HMR_0314","Acyl-CoA hydrolysis"
"HMR_0320","Acyl-CoA hydrolysis"
"HMR_0324","Acyl-CoA hydrolysis"
"HMR_0328","Acyl-CoA hydrolysis"
"HMR_0332","Acyl-CoA hydrolysis"
"HMR_0338","Acyl-CoA hydrolysis"
"HMR_0342","Acyl-CoA hydrolysis"
"HMR_0346","Acyl-CoA hydrolysis"
"HMR_0350","Acyl-CoA hydrolysis"
"HMR_0354","Acyl-CoA hydrolysis"
"HMR_0358","Acyl-CoA hydrolysis"
"HMR_0362","Acyl-CoA hydrolysis"
"HMR_0366","Acyl-CoA hydrolysis"
"HMR_0370","Acyl-CoA hydrolysis"
"HMR_0374","Acyl-CoA hydrolysis"
"HMR_0378","Acyl-CoA hydrolysis"
"HMR_0382","Acyl-CoA hydrolysis"
"HMR_0386","Acyl-CoA hydrolysis"
"HMR_0390","Acyl-CoA hydrolysis"
"HMR_0394","Acyl-CoA hydrolysis"
"HMR_0398","Acyl-CoA hydrolysis"
"HMR_0402","Acyl-CoA hydrolysis"
"HMR_0406","Acyl-CoA hydrolysis"
"HMR_0410","Acyl-CoA hydrolysis"
"HMR_0414","Acyl-CoA hydrolysis"
"HMR_0418","Acyl-CoA hydrolysis"
"HMR_0422","Acyl-CoA hydrolysis"
"HMR_0426","Acyl-CoA hydrolysis"
"HMR_0430","Acyl-CoA hydrolysis"
"HMR_0434","Acyl-CoA hydrolysis"
"HMR_0438","Acyl-CoA hydrolysis"
"HMR_3009","Acyl-CoA hydrolysis"
"HMR_3475","Acyl-CoA hydrolysis"
"HMR_3476","Acyl-CoA hydrolysis"
"HMR_3477","Acyl-CoA hydrolysis"
"HMR_0001","Acylglycerides metabolism"
"HMR_0002","Acylglycerides metabolism"
"HMR_0003","Acylglycerides metabolism"
"HMR_0005","Acylglycerides metabolism"
"HMR_0449","Acylglycerides metabolism"
"HMR_0604","Acylglycerides metabolism"
"HMR_0605","Acylglycerides metabolism"
"HMR_0665","Acylglycerides metabolism"
"HMR_0667","Acylglycerides metabolism"
"HMR_0668","Acylglycerides metabolism"
"HMR_0669","Acylglycerides metabolism"
"HMR_0670","Acylglycerides metabolism"
"HMR_0671","Acylglycerides metabolism"
"HMR_0672","Acylglycerides metabolism"
"HMR_0679","Acylglycerides metabolism"
"HMR_0680","Acylglycerides metabolism"
"HMR_0681","Acylglycerides metabolism"
"HMR_0682","Acylglycerides metabolism"
"HMR_0683","Acylglycerides metabolism"
"HMR_0684","Acylglycerides metabolism"
"HMR_7588","Acylglycerides metabolism"
"4OHBUTm","Alanine, aspartate and glutamate metabolism"
"HMR_3802","Alanine, aspartate and glutamate metabolism"
"HMR_3804","Alanine, aspartate and glutamate metabolism"
"HMR_3811","Alanine, aspartate and glutamate metabolism"
"HMR_3813","Alanine, aspartate and glutamate metabolism"
"HMR_3822","Alanine, aspartate and glutamate metabolism"
"HMR_3827","Alanine, aspartate and glutamate metabolism"
"HMR_3829","Alanine, aspartate and glutamate metabolism"
"HMR_3831","Alanine, aspartate and glutamate metabolism"
"HMR_3862","Alanine, aspartate and glutamate metabolism"
"HMR_3865","Alanine, aspartate and glutamate metabolism"
"HMR_3870","Alanine, aspartate and glutamate metabolism"
"HMR_3873","Alanine, aspartate and glutamate metabolism"
"HMR_3890","Alanine, aspartate and glutamate metabolism"
"HMR_3892","Alanine, aspartate and glutamate metabolism"
"HMR_3899","Alanine, aspartate and glutamate metabolism"
"HMR_3903","Alanine, aspartate and glutamate metabolism"
"HMR_4109","Alanine, aspartate and glutamate metabolism"
"HMR_4114","Alanine, aspartate and glutamate metabolism"
"HMR_4115","Alanine, aspartate and glutamate metabolism"
"HMR_4118","Alanine, aspartate and glutamate metabolism"
"HMR_4172","Alanine, aspartate and glutamate metabolism"
"HMR_4196","Alanine, aspartate and glutamate metabolism"
"HMR_4197","Alanine, aspartate and glutamate metabolism"
"HMR_4285","Alanine, aspartate and glutamate metabolism"
"HMR_4287","Alanine, aspartate and glutamate metabolism"
"HMR_4690","Alanine, aspartate and glutamate metabolism"
"HMR_4693","Alanine, aspartate and glutamate metabolism"
"HMR_6780","Alanine, aspartate and glutamate metabolism"
"HMR_6968","Alanine, aspartate and glutamate metabolism"
"HMR_6969","Alanine, aspartate and glutamate metabolism"
"HMR_6970","Alanine, aspartate and glutamate metabolism"
"HMR_6971","Alanine, aspartate and glutamate metabolism"
"HMR_6972","Alanine, aspartate and glutamate metabolism"
"HMR_7641","Alanine, aspartate and glutamate metabolism"
"HMR_7642","Alanine, aspartate and glutamate metabolism"
"HMR_8626","Alanine, aspartate and glutamate metabolism"
"HMR_8628","Alanine, aspartate and glutamate metabolism"
"HMR_8654","Alanine, aspartate and glutamate metabolism"
"HMR_9802","Alanine, aspartate and glutamate metabolism"
"ECGISOr","Alkaloids Biosynthesis"
"PECGONCOATr","Alkaloids Biosynthesis"
"HMR_3986","Amino sugar and nucleotide sugar metabolism"
"HMR_3988","Amino sugar and nucleotide sugar metabolism"
"HMR_4124","Amino sugar and nucleotide sugar metabolism"
"HMR_4158","Amino sugar and nucleotide sugar metabolism"
"HMR_4159","Amino sugar and nucleotide sugar metabolism"
"HMR_4299","Amino sugar and nucleotide sugar metabolism"
"HMR_4300","Amino sugar and nucleotide sugar metabolism"
"HMR_4494","Amino sugar and nucleotide sugar metabolism"
"HMR_4524","Amino sugar and nucleotide sugar metabolism"
"HMR_4525","Amino sugar and nucleotide sugar metabolism"
"HMR_4526","Amino sugar and nucleotide sugar metabolism"
"HMR_4527","Amino sugar and nucleotide sugar metabolism"
"HMR_4528","Amino sugar and nucleotide sugar metabolism"
"HMR_4529","Amino sugar and nucleotide sugar metabolism"
"HMR_4530","Amino sugar and nucleotide sugar metabolism"
"HMR_4531","Amino sugar and nucleotide sugar metabolism"
"HMR_4532","Amino sugar and nucleotide sugar metabolism"
"HMR_4533","Amino sugar and nucleotide sugar metabolism"
"HMR_4534","Amino sugar and nucleotide sugar metabolism"
"HMR_4536","Amino sugar and nucleotide sugar metabolism"
"HMR_4628","Amino sugar and nucleotide sugar metabolism"
"HMR_4629","Amino sugar and nucleotide sugar metabolism"
"HMR_4631","Amino sugar and nucleotide sugar metabolism"
"HMR_7696","Amino sugar and nucleotide sugar metabolism"
"HMR_7697","Amino sugar and nucleotide sugar metabolism"
"HMR_7698","Amino sugar and nucleotide sugar metabolism"
"HMR_8366","Amino sugar and nucleotide sugar metabolism"
"HMR_8367","Amino sugar and nucleotide sugar metabolism"
"HMR_8368","Amino sugar and nucleotide sugar metabolism"
"HMR_8371","Amino sugar and nucleotide sugar metabolism"
"HMR_8372","Amino sugar and nucleotide sugar metabolism"
"HMR_8373","Amino sugar and nucleotide sugar metabolism"
"HMR_8375","Amino sugar and nucleotide sugar metabolism"
"HMR_8376","Amino sugar and nucleotide sugar metabolism"
"HMR_8377","Amino sugar and nucleotide sugar metabolism"
"HMR_8672","Amino sugar and nucleotide sugar metabolism"
"HMR_8674","Amino sugar and nucleotide sugar metabolism"
"HMR_8675","Amino sugar and nucleotide sugar metabolism"
"HMR_5130","Aminoacyl-tRNA biosynthesis"
"HMR_5131","Aminoacyl-tRNA biosynthesis"
"HMR_5132","Aminoacyl-tRNA biosynthesis"
"HMR_5133","Aminoacyl-tRNA biosynthesis"
"HMR_5134","Aminoacyl-tRNA biosynthesis"
"HMR_5135","Aminoacyl-tRNA biosynthesis"
