"","GSM1621305","GSM1621306","GSM1621307","GSM1621308","GSM1621309","GSM1621310","GSM1621311"
"26",0,0,0,0,0,0,0
"314",1,0,0,0,0,0,0
"8639",1,0,0,0,0,0,0
"1591",0,0,0,0,0,0,0
"1594",0,0,0,0,0,0,0
"10993",0,0,0,1,1,1,1
"6818",1,1,1,1,1,1,1
"89874",0,0,0,0,0,0,0
"55293",0,0,1,0,0,0,1
"3945",1,1,1,1,1,1,1
"92483",0,0,0,0,0,0,0
"160287",0,1,0,0,1,0,0
"3948",0,1,1,1,1,0,0
"3939",1,1,1,1,1,1,1
"134526",0,0,0,0,0,0,0
"51",0,0,1,1,1,0,1
"95",1,0,1,1,1,0,0
"50",1,1,1,1,1,1,1
"48",0,1,1,0,0,1,0
"8309",0,0,0,0,0,0,0
"52",0,0,0,1,1,1,1
"55",0,0,0,0,0,0,0
"788",1,1,1,1,1,0,1
"9194",1,0,0,0,0,1,0
"55902",1,1,1,1,1,0,0
"9123",0,0,0,1,0,1,1
"6566",1,0,0,1,1,1,1
"57835",0,0,0,0,0,0,0
"65985",1,1,1,1,1,1,1
"8671",0,0,0,0,0,0,0
"438",0,0,0,1,1,0,0
"1571",0,0,0,0,0,0,0
"4967",0,1,0,0,0,1,1
"100",1,1,1,1,1,1,1
"8050",1,1,1,1,1,1,1
"1738",0,1,1,0,0,1,1
"3177",1,0,1,1,0,0,0
"1743",1,1,1,1,1,1,1
"126",0,0,0,0,0,0,0
"205",0,0,1,1,1,0,0
"128",0,0,1,0,0,1,0
"204",1,0,1,1,1,0,0
"130",0,0,0,0,0,0,0
"127",0,0,0,0,0,1,0
"131",0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0
"26289",1,0,0,1,1,1,1
"137872",1,1,1,1,1,1,1
"1312",0,0,1,1,1,0,1
"50808",1,0,0,0,1,1,1
"262",1,1,1,1,1,1,1
"117247",0,0,0,0,0,0,0
"222",0,0,0,0,0,0,0
"113",1,1,1,1,1,1,0
"218",1,0,1,1,0,1,0
"108",0,0,0,0,0,0,0
"220",0,0,0,0,0,0,0
"221",0,1,0,1,1,1,0
"114",0,0,0,0,0,0,0
"111",0,1,0,0,1,1,1
"3242",0,0,0,0,0,0,0
"115",1,1,0,0,0,1,0
"18",1,1,0,1,0,0,0
"109",0,0,1,1,1,0,0
"55811",0,0,0,0,0,0,0
"196883",1,0,0,1,1,0,0
"2531",1,0,1,0,1,1,1
"107",0,0,0,1,1,1,0
"23498",0,0,0,0,1,0,1
"112",1,0,0,0,0,1,1
"55268",1,1,1,1,1,1,1
"51166",0,0,0,0,0,0,0
"2030",0,0,0,0,1,1,1
"883",0,0,1,0,1,0,0
"1644",0,0,0,0,0,0,0
"4129",0,0,0,0,0,0,1
"9154",0,1,1,0,1,0,1
"64078",0,0,0,0,0,0,0
"4128",0,0,0,0,0,0,0
"9153",1,0,0,1,0,1,1
"10165",1,0,0,0,1,1,0
"55315",0,0,1,1,1,0,0
"8604",1,1,1,1,1,0,0
"245972",0,1,0,0,0,1,0
"2572",0,0,0,0,0,0,0
"9114",1,1,1,1,1,1,1
"11164",1,1,1,1,1,1,1
"2571",0,0,0,0,0,0,0
"952",1,1,1,1,1,1,1
"51380",1,1,1,1,1,1,1
"1375",1,1,1,1,1,1,1
"533",1,1,1,1,1,1,1
"2805",0,1,0,1,0,1,1
"50617",0,0,0,0,0,0,0
"1374",1,1,0,1,0,0,1
"2806",1,1,1,1,1,1,1
"8659",0,1,1,1,0,1,0
"126129",0,0,0,0,0,0,0
"10312",1,1,1,1,1,1,1
"6817",1,1,1,1,1,1,1
"535",0,1,0,0,1,0,1
"127124",1,1,1,1,1,0,0
"523",0,1,0,0,0,1,1
"1376",0,1,1,0,0,0,0
"6799",1,1,1,1,1,1,1
"9060",1,0,0,0,0,0,0
"8992",1,1,1,1,1,1,1
"9061",1,1,1,1,1,1,1
"158",1,1,1,1,1,1,1
"9550",1,1,1,1,1,1,1
"4363",0,0,0,1,1,0,1
"529",1,1,1,1,1,1,1
"6822",0,0,0,0,0,0,0
"6573",1,1,1,1,1,0,0
"146712",1,0,0,1,0,1,0
"528",0,0,0,0,1,1,0
"316",0,0,0,0,0,0,0
"10678",1,1,1,1,1,1,1
"6571",0,0,0,0,0,0,0
"6570",0,0,0,0,0,0,0
"10331",0,1,0,0,1,0,0
"51382",0,0,0,0,1,1,1
"2348",0,0,0,0,0,0,0
"90423",0,1,1,0,1,0,1
"534",0,1,1,0,0,0,1
"374907",1,1,0,1,1,0,0
"2352",0,0,0,0,0,0,0
"51606",1,1,1,1,1,1,1
"11041",0,0,1,1,1,0,0
"93010",0,0,0,0,0,0,0
"9296",1,1,1,1,1,1,1
"79369",0,1,0,0,0,1,1
"4125",1,1,1,1,1,1,1
"954",0,0,1,0,0,1,0
"79814",1,1,1,1,1,1,1
"53947",0,0,0,1,1,0,0
"51146",1,1,0,0,0,0,0
"28",0,0,1,0,1,1,1
"953",0,0,0,0,0,0,0
"206358",0,0,0,0,1,1,1
"957",0,0,1,0,0,1,1
"56895",0,1,0,0,0,1,1
"6540",0,1,0,1,0,1,0
"137964",1,0,1,0,1,0,0
"129642",1,0,1,0,1,1,0
"956",0,0,0,0,0,0,0
"955",0,1,0,1,1,1,0
"6539",0,0,0,0,0,0,0
"56894",1,0,0,0,0,0,1
"10555",1,1,0,1,1,0,0
"55326",0,1,0,1,0,1,0
"10554",1,1,1,1,1,1,1
"6529",0,0,0,0,0,0,0
"6538",0,0,0,0,0,0,0
