"","GSM2859418","GSM2859446","GSM3045787","GSM3045788","GSM3319762","GSM3319763","GSM3319799","GSM3319800","GSM3319836","GSM3319837","GSM3319871","GSM3319872","GSM1414746","GSM1414747","GSM1414748","GSM1414749","GSM1414750","GSM1414751"
"26",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"314",0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1
"8639",1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0
"1591",1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"1594",0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0
"10993",1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1
"6818",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0
"89874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55293",0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1
"3945",1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"92483",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"160287",0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
"3948",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"3939",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"134526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"51",1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0
"95",0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0
"50",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"48",1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0
"8309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"55",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"788",1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
"9194",1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1
"55902",0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1
"9123",0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
"6566",1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1
"57835",0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1
"65985",1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0
"8671",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"438",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"1571",0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1
"4967",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"100",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"8050",0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0
"1738",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"3177",1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1
"1743",1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0
"126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"205",1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0
"128",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"204",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"130",1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"127",0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0
"131",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26289",0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0
"137872",0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1
"1312",1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1
"50808",0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1
"262",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"117247",0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1
"222",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"113",1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1
"218",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"108",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"220",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"221",0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
"114",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"111",0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1
"3242",0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0
"115",1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1
"18",1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0
"109",0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1
"55811",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"196883",1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1
"2531",0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1
"107",0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
"23498",0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
"112",0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0
"55268",1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1
"51166",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2030",1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0
"883",0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1
"1644",1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
"4129",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"9154",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64078",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4128",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"9153",1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1
"10165",1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0
"55315",0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0
"8604",1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0
"245972",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"2572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9114",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
