"","x"
"26",0
"314",0
"8639",0
"1591",0
"1594",1
"10993",1
"6818",0
"89874",0
"55293",0
"3945",3
"92483",0
"160287",0
"3948",0
"3939",3
"134526",0
"51",0
"95",0
"50",3
"48",0
"8309",0
"52",3
"55",0
"788",3
"9194",0
"55902",0
"9123",0
"6566",0
"57835",0
"65985",1
"8671",1
"438",0
"1571",0
"4967",2
"100",3
"8050",1
"1738",3
"3177",0
"1743",3
"126",0
"205",1
"128",2
"204",3
"130",0
"127",0
"131",0
"124",0
"125",0
"26289",0
"137872",0
"1312",1
"50808",3
"262",3
"117247",1
"222",0
"113",1
"218",1
"108",1
"220",0
"221",0
"114",0
"111",0
"3242",0
"115",0
"18",0
"109",0
"55811",0
"196883",0
"2531",1
"107",0
"23498",0
"112",3
"55268",0
"51166",0
"2030",1
"883",0
"1644",0
"4129",0
"9154",1
"64078",2
"4128",0
"9153",1
"10165",1
"55315",0
"8604",2
"245972",0
"2572",0
"9114",2
"11164",2
"2571",1
"952",1
"51380",0
"1375",0
"533",1
"2805",2
"50617",0
"1374",0
"2806",3
"8659",0
"126129",0
"10312",2
"6817",0
"535",0
"127124",0
"523",3
"1376",1
"6799",0
"9060",0
"8992",1
"9061",2
"158",3
"9550",2
"4363",2
"529",2
"6822",0
"6573",0
"146712",0
"528",1
"316",1
"10678",1
"6571",1
"6570",0
"10331",0
"51382",2
"2348",1
"90423",1
"534",0
"374907",1
"2352",1
"51606",2
"11041",1
"93010",0
"9296",2
"79369",0
"4125",2
"954",0
"79814",0
"53947",1
"51146",0
"28",0
"953",0
"206358",0
"957",0
"56895",1
"6540",1
"137964",2
"129642",1
"956",0
"955",0
"6539",3
"56894",0
"10555",2
"55326",1
"10554",1
"6529",0
"6538",1
"10449",2
"38",1
"64850",0
"377841",1
"3032",3
"292",3
"293",3
"64902",0
"3030",3
"189",0
"291",0
"39",3
"30",2
"32",0
"9197",0
"4126",0
"3073",0
"3074",2
"79611",1
"10606",3
"8706",0
"84532",0
"64841",0
"55577",3
"5238",0
"8705",0
"9487",0
"10317",0
"162417",0
"43",0
"6572",1
"84002",0
"47",2
"570",0
"3141",0
"54187",1
"140679",0
"26503",0
"54",2
"8424",0
"51205",0
"53630",0
"140838",0
"622",1
"36",2
"34",3
"84129",0
"23743",0
"80724",0
"635",3
"27034",1
"10599",0
"28976",0
"1244",0
"35",2
"3712",1
"1607",0
"8714",0
"28234",0
"644",3
"1468",0
"8402",3
"64849",0
"645",1
"9488",2
"1610",1
"10380",1
"686",0
"1645",1
"2745",2
"1109",0
"8884",3
"80704",0
"51022",1
"51733",0
"7108",0
"6718",1
"8528",0
"6510",2
"50814",1
"3295",1
"6307",2
"6509",2
"1632",2
"56301",1
"492",0
"10455",1
"490",2
"6520",2
"1633",3
"211",2
"493",2
"6319",2
"9415",1
"491",0
"23464",0
"3992",0
"212",0
"8694",0
"847",3
"84649",0
"1716",2
"6546",2
"6547",0
"54407",2
"6541",1
"6543",1
"6515",2
"59272",0
"84889",0
"6517",0
"81539",2
"340024",0
"6513",2
"55089",0
"1718",2
"2538",0
"1581",0
"57818",1
"92579",0
"1373",0
"873",3
"11254",0
"57393",0
"6542",0
"84706",0
"1717",0
"2875",0
"8560",1
"10423",1
"123099",0
"92745",2
"10991",1
"1040",0
"11309",3
"8760",1
"284273",0
"6783",0
"1723",0
"10327",3
"10390",2
"56994",2
"1807",0
"64781",3
"1809",1
"8854",1
"1808",3
"10087",0
"23539",0
"6565",0
"9023",0
"224",0
"501",0
"2224",2
"1103",1
"29958",0
"60386",0
"223",3
"216",0
"162466",1
"84920",0
"5130",0
"9468",0
"6579",0
"217",0
"219",0
"79087",1
"239",0
"6555",0
"6554",0
"26002",0
"1621",2
"8647",0
"247",2
"7299",1
"55349",1
"6530",1
"246",0
"6531",1
"6581",0
"240",0
"231",3
"8574",3
"23600",0
"1119",0
"1120",1
"5224",0
"60482",1
"6582",1
"115286",0
"5223",3
"6584",0
"669",2
"271",2
"6820",0
"4597",0
"51071",1
"10948",1
"19",0
"272",0
"1806",2
"270",0
"7083",2
"290",1
"1118",2
"7084",0
"54682",0
"27159",0
"3704",3
"279",1
"277",1
"1854",3
"10682",2
"9058",1
"276",1
"278",0
"1892",3
"549",2
"11136",0
"6519",0
"1962",0
"280",2
"6576",3
"1891",3
"1160",0
"11001",1
"1159",0
"548596",0
"1152",0
"1158",0
"5172",0
"65010",0
"10998",0
"113451",0
"53919",0
"9057",1
"384",2
"28231",0
"54675",1
"10257",0
"10559",1
"445",2
"28232",0
"55907",2
"2108",1
"8034",0
"2109",3
"83884",0
"10166",1
"8824",1
"410",2
"2110",0
"51805",1
"55500",2
"427",0
"55224",0
"51004",0
"10229",0
"9962",0
"2181",0
"9245",0
"2650",2
"51301",1
"2182",1
"9963",0
"2180",1
"192134",0
"386757",1
"80150",1
"51703",1
"81616",0
"23305",1
"440",1
"6535",0
"1384",1
"116285",0
"6583",1
"5167",1
"790",3
"5169",2
"54898",0
"6511",0
"1431",3
"6785",0
"6505",0
"54677",1
"60481",2
"6507",2
"79071",0
"1579",0
"6512",0
"2194",0
"6506",1
"376497",1
"10999",2
"525",0
"11000",0
"230",3
"226",3
"527",1
"8140",1
"229",1
"23545",1
"5207",0
"526",3
"23428",0
"5208",1
"1036",0
"245973",0
"5210",1
"8789",1
"5209",2
"124935",0
"2203",0
"2235",1
"23657",1
"57379",1
"2629",0
"10840",1
"26301",0
"79901",0
"978",3
"7371",0
"83549",0
"7915",0
"125061",1
"4329",1
"51727",3
"1719",2
"129607",0
"2356",2
"2731",1
"29988",1
"275",0
"2653",0
"1609",0
"155184",1
"2651",0
"6514",0
"6518",1
"8525",2
"66035",0
