"";"x"
"26";1
"314";0
"8639";0
"1591";0
"1594";2
"10993";0
"6818";0
"89874";0
"55293";0
"3945";3
"92483";0
"160287";0
"3948";0
"3939";1
"134526";0
"51";0
"95";0
"50";3
"48";1
"8309";0
"52";3
"55";0
"788";2
"9194";1
"55902";0
"9123";1
"6566";1
"57835";0
"65985";0
"8671";1
"438";0
"1571";0
"4967";3
"100";3
"8050";2
"1738";3
"3177";0
"1743";3
"126";0
"205";0
"128";3
"204";2
"130";0
"127";0
"131";0
"124";0
"125";0
"26289";1
"137872";0
"1312";2
"50808";3
"262";3
"117247";0
"222";0
"113";0
"218";0
"108";0
"220";0
"221";1
"114";0
"111";0
"3242";0
"115";0
"18";1
"109";0
"55811";0
"196883";0
"2531";0
"107";0
"23498";0
"112";0
"55268";0
"51166";0
"2030";0
"883";0
"1644";0
"4129";0
"9154";0
"64078";1
"4128";0
"9153";0
"10165";1
"55315";2
"8604";1
"245972";0
"2572";0
"9114";1
"11164";3
"2571";0
"952";1
"51380";1
"1375";0
"533";1
"2805";2
"50617";0
"1374";1
"2806";3
"8659";0
"126129";0
"10312";2
"6817";0
"535";0
"127124";0
"523";1
"1376";0
"6799";0
"9060";0
"8992";1
"9061";0
"158";2
"9550";2
"4363";1
"529";2
"6822";0
"6573";1
"146712";0
"528";0
"316";0
"10678";1
"6571";1
"6570";0
"10331";0
"51382";1
"2348";0
"90423";0
"534";0
"374907";1
"2352";1
"51606";2
"11041";1
"93010";0
"9296";2
"79369";0
"4125";2
"954";0
"79814";2
"53947";0
"51146";0
"28";0
"953";0
"206358";1
"957";0
"56895";0
"6540";0
"137964";2
"129642";0
"956";0
"955";0
"6539";1
"56894";0
"10555";0
"55326";1
"10554";1
"6529";0
"6538";0
"10449";1
"38";0
"64850";0
"377841";0
"3032";3
"292";3
"293";3
"64902";0
"3030";3
"189";0
"291";0
"39";3
"30";2
"32";0
"9197";0
"4126";1
"3073";0
"3074";2
"79611";0
"10606";3
"8706";0
"84532";2
"64841";1
"55577";3
"5238";0
"8705";0
"9487";0
"10317";0
"162417";0
"43";0
"6572";0
"84002";0
"47";2
"570";0
"3141";0
"54187";2
"140679";0
"26503";0
"54";0
"8424";0
"51205";0
"53630";0
"140838";1
"622";1
"36";2
"34";3
"84129";0
"23743";0
"80724";0
"635";1
"27034";1
"10599";0
"28976";2
"1244";0
"35";2
"3712";1
"1607";0
"8714";1
"28234";0
"644";2
"1468";0
"8402";3
"64849";0
"645";2
"9488";1
"1610";0
"10380";2
"686";0
"1645";2
"2745";3
"1109";0
"8884";2
"80704";0
"51022";0
"51733";0
"7108";0
"6718";0
"8528";0
"6510";0
"50814";0
"3295";1
"6307";1
"6509";0
"1632";3
"56301";0
"492";0
"10455";2
"490";2
"6520";2
"1633";3
"211";1
"493";0
"6319";0
"9415";0
"491";0
"23464";0
"3992";0
"212";0
"8694";0
"847";3
"84649";0
"1716";2
"6546";0
"6547";0
"54407";2
"6541";1
"6543";0
"6515";1
"59272";0
"84889";0
"6517";0
"81539";1
"340024";0
"6513";1
"55089";0
"1718";0
"2538";0
"1581";0
"57818";0
"92579";0
"1373";1
"873";2
"11254";0
"57393";0
"6542";0
"84706";0
"1717";0
"2875";0
"8560";1
"10423";2
"123099";0
"92745";1
"10991";0
"1040";0
"11309";1
"8760";1
"284273";0
"6783";0
"1723";0
"10327";3
"10390";1
"56994";2
"1807";0
"64781";3
"1809";0
"8854";0
"1808";2
"10087";0
"23539";0
"6565";0
"9023";0
"224";1
"501";0
"2224";2
"1103";0
"29958";0
"60386";1
"223";3
"216";0
"162466";0
"84920";0
"5130";1
"9468";0
"6579";0
"217";0
"219";0
"79087";1
"239";0
"6555";0
"6554";0
"26002";0
"1621";2
"8647";0
"247";0
"7299";0
"55349";1
"6530";0
"246";0
"6531";0
"6581";0
"240";1
"231";3
"8574";3
"23600";0
"1119";0
"1120";1
"5224";0
"60482";0
"6582";0
"115286";0
"5223";3
"6584";0
"669";2
"271";1
"6820";0
"4597";0
"51071";0
"10948";1
"19";0
"272";2
"1806";0
"270";0
"7083";0
"290";0
"1118";0
"7084";1
"54682";0
"27159";0
"3704";3
"279";1
"277";1
"1854";3
"10682";2
"9058";0
"276";1
"278";0
"1892";3
"549";0
"11136";0
"6519";0
"1962";0
"280";2
"6576";3
"1891";3
"1160";0
"11001";0
"1159";0
"548596";0
"1152";0
"1158";0
"5172";0
"65010";0
"10998";0
"113451";0
"53919";0
"9057";2
"384";0
"28231";0
"54675";0
"10257";0
"10559";1
"445";1
"28232";0
"55907";2
"2108";2
"8034";0
"2109";2
"83884";0
"10166";0
"8824";0
"410";1
"2110";0
"51805";0
"55500";0
"427";1
"55224";0
"51004";0
"10229";0
"9962";0
"2181";0
"9245";0
"2650";0
"51301";0
"2182";0
"9963";0
"2180";1
"192134";0
"386757";0
"80150";0
"51703";2
"81616";0
"23305";0
"440";2
"6535";0
"1384";0
"116285";0
"6583";1
"5167";0
"790";2
"5169";1
"54898";0
"6511";0
"1431";3
"6785";0
"6505";0
"54677";0
"60481";1
"6507";1
"79071";0
"1579";0
"6512";0
"2194";1
"6506";1
"376497";0
"10999";0
"525";0
"11000";1
"230";3
"226";2
"527";1
"8140";1
"229";1
"23545";1
"5207";0
"526";3
"23428";0
"5208";0
"1036";0
"245973";0
"5210";0
"8789";0
"5209";1
"124935";0
"2203";1
"2235";2
"23657";0
"57379";1
"2629";0
"10840";0
"26301";0
"79901";0
"978";0
"7371";1
"83549";1
"7915";1
"125061";0
"4329";2
"51727";3
"1719";0
"129607";0
"2356";1
"2731";1
"29988";1
"275";1
"2653";0
"1609";0
"155184";0
"2651";0
"6514";0
"6518";0
"8525";1
"66035";0
"55343";0
"7264";3
"160428";0
"8836";0
"4522";2
"25902";1
"1608";0
"79017";2
"2519";0
"2997";0
"160851";1
"9162";0
"2184";0
"8527";3
"8908";0
"2271";2
"2992";1
"2523";0
"8526";0
"2998";0
"2525";0
"2687";0
"6470";1
"1606";3
"6472";3
"10690";0
"9334";0
"8704";0
"2717";0
"8703";1
"2632";0
"2683";2
"2820";0
"5832";1
"2990";1
"9563";0
"8372";0
"3290";0
"2539";0
"3291";0
"3292";0
"26035";0
"2542";1
"2593";0
"54480";0
"2132";0
"7923";2
"3294";0
"2131";0
"51478";0
"9514";0
"3283";0
"2720";0
"3284";0
"27087";0
"4758";0
"80270";0
"57026";0
"5476";2
"135152";0
"2588";0
"26229";2
"2581";1
"4669";0
"3421";3
"2583";0
"55454";1
"3420";3
"3340";0
"8509";2
"9348";0
"55790";0
"64579";0
"3419";2
"79586";0
"3417";0
"2137";0
"3418";3
"22856";0
"337876";0
"7173";0
"2135";2
"2134";0
"55568";0
"56606";0
"2590";0
"154091";0
"3425";0
"2591";0
"144195";0
"11182";0
"114805";0
"6523";0
"587";1
"8693";0
"63917";0
"50614";0
"8501";0
"2589";1
"178";2
"51809";0
"55586";0
"114134";1
"117248";0
"11227";0
"6526";0
"11226";0
"79695";0
"79623";0
"3422";1
"91734";0
"26290";0
"81031";0
"126792";1
"5837";0
"5836";0
"5834";3
"160728";0
"8801";3
"11285";0
"8802";3
"2729";0
"8972";0
"2618";3
"2730";0
"8803";1
"10723";1
"9990";1
"2746";3
"6560";0
"2747";2
"5019";3
"10841";0
"57468";0
"3795";0
"1629";1
"27165";0
"594";1
"2744";3
"8564";0
"3938";0
"593";1
"26873";0
"79751";0
"83733";0
"4942";1
"2639";1
"53";1
"3931";1
"7372";1
"57084";0
"1811";0
"246213";0
"57030";0
"387775";0
"10861";0
"1836";0
"124637";0
"51179";0
"54363";0
"366";1
"1583";1
"2628";0
"1584";0
"1585";0
"11283";1
"9380";3
"1586";0
"2713";0
"4047";1
"1588";0
"29124";0
"5321";0
"2710";0
"1576";0
"2712";0
"1178";0
"51268";0
"1056";0
"3029";1
"6536";0
"1589";0
"1593";0
"3990";0
"1548";0
"80339";0
"4023";0
"5226";3
"1553";0
"11343";1
"1562";0
"27232";0
"1558";0
"57678";0
"50487";0
"284098";0
"1559";0
"93183";1
