"","x"
"ENSG00000000419",1
"ENSG00000000938",0
"ENSG00000001036",0
"ENSG00000001084",1
"ENSG00000001630",0
"ENSG00000002549",3
"ENSG00000002587",0
"ENSG00000002726",0
"ENSG00000003137",0
"ENSG00000003987",0
"ENSG00000003989",0
"ENSG00000004455",2
"ENSG00000004468",1
"ENSG00000004660",0
"ENSG00000004779",1
"ENSG00000004799",0
"ENSG00000004809",0
"ENSG00000004864",0
"ENSG00000004939",0
"ENSG00000005022",3
"ENSG00000005075",1
"ENSG00000005187",0
"ENSG00000005249",0
"ENSG00000005381",0
"ENSG00000005421",0
"ENSG00000005469",0
"ENSG00000005471",0
"ENSG00000005483",1
"ENSG00000005882",0
"ENSG00000006062",0
"ENSG00000006071",0
"ENSG00000006432",0
"ENSG00000006530",2
"ENSG00000006534",0
"ENSG00000006625",2
"ENSG00000006756",0
"ENSG00000006757",0
"ENSG00000006837",0
"ENSG00000007001",0
"ENSG00000007047",0
"ENSG00000007168",3
"ENSG00000007171",0
"ENSG00000007216",0
"ENSG00000007264",0
"ENSG00000007350",0
"ENSG00000007541",0
"ENSG00000008086",0
"ENSG00000008118",0
"ENSG00000008128",1
"ENSG00000008130",0
"ENSG00000008300",0
"ENSG00000008311",0
"ENSG00000008394",0
"ENSG00000008513",2
"ENSG00000009413",1
"ENSG00000010219",0
"ENSG00000010256",3
"ENSG00000010379",0
"ENSG00000010404",0
"ENSG00000010671",0
"ENSG00000010810",1
"ENSG00000011009",1
"ENSG00000011052",1
"ENSG00000011083",0
"ENSG00000011198",0
"ENSG00000011405",0
"ENSG00000011485",0
"ENSG00000011566",0
"ENSG00000012232",0
"ENSG00000012660",1
"ENSG00000012779",0
"ENSG00000012983",0
"ENSG00000013288",0
"ENSG00000013375",0
"ENSG00000013392",0
"ENSG00000013441",1
"ENSG00000013503",0
"ENSG00000014138",0
"ENSG00000014257",0
"ENSG00000014641",1
"ENSG00000015413",0
"ENSG00000015520",0
"ENSG00000015532",0
"ENSG00000016391",0
"ENSG00000016864",2
"ENSG00000017260",0
"ENSG00000017483",0
"ENSG00000017797",0
"ENSG00000018280",0
"ENSG00000018510",0
"ENSG00000018625",0
"ENSG00000019186",0
"ENSG00000021461",0
"ENSG00000021488",0
"ENSG00000021826",0
"ENSG00000023041",1
"ENSG00000023228",2
"ENSG00000023330",1
"ENSG00000023572",0
"ENSG00000023697",1
"ENSG00000023839",0
"ENSG00000023909",2
"ENSG00000025423",0
"ENSG00000025708",1
"ENSG00000025800",1
"ENSG00000026103",1
"ENSG00000026652",0
"ENSG00000027075",1
"ENSG00000027644",0
"ENSG00000027847",0
